,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Panthers,-37.00,-17.04,-13.83,-4.41,-7.73,-19.08,-14.23,-7.83,0.00,0.61,-1.87,7.17,2.05,0.44,-7.18
Saints,37.00,19.08,14.23,7.83,0.00,17.04,13.83,4.41,7.73,-0.61,-7.17,1.87,-0.44,-2.05,7.18
