,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Bears,6.00,-12.59,-9.91,-2.00,0.00,15.20,17.84,-2.79,13.51,2.68,-4.17,1.15,0.77,2.64,2.29
Titans,-6.00,-15.20,-17.84,2.79,-13.51,12.59,9.91,2.00,0.00,-2.68,-1.15,4.17,-2.64,-0.77,-2.29
