,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Colts,-2.00,7.56,2.72,7.50,-3.18,-16.76,-15.81,-4.88,-2.93,2.53,-4.70,6.37,3.64,2.47,-5.25
Texans,2.00,16.76,15.81,4.88,2.93,-7.56,-2.72,-7.50,3.18,-2.53,-6.37,4.70,-2.47,-3.64,5.25
