,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Raiders,-11.00,-14.87,-1.04,-13.83,-15.24,5.13,2.84,-1.87,0.00,0.65,-3.21,5.84,4.71,-2.13,-4.56
Chargers,11.00,-5.13,-2.84,1.87,0.00,14.87,1.04,13.83,15.24,-0.65,-5.84,3.21,2.13,-4.71,4.56
