,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Jaguars,-3.00,-4.76,6.23,-8.58,-4.99,-5.83,-11.41,4.05,0.00,7.59,-1.83,2.84,6.57,-3.39,3.40
Dolphins,3.00,5.83,11.41,-4.05,0.00,4.76,-6.23,8.58,4.99,-7.59,-2.84,1.83,3.39,-6.57,-3.40
