,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Bengals,-6.00,-3.62,-7.91,4.29,-3.10,-0.36,1.95,-2.59,0.00,-2.22,-2.82,4.09,4.79,-8.42,0.14
Patriots,6.00,0.36,-1.95,2.59,0.00,3.62,7.91,-4.29,3.10,2.22,-4.09,2.82,8.42,-4.79,-0.14
