,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Bills,7.00,13.51,12.81,2.43,-5.18,-3.22,0.96,-4.18,4.38,-2.25,-11.91,7.95,0.88,-0.31,1.14
Cardinals,-7.00,3.22,-0.96,4.18,-4.38,-13.51,-12.81,-2.43,5.18,2.25,-7.95,11.91,0.31,-0.88,-1.14
