,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Buccaneers,18.00,22.08,27.71,-4.74,0.00,-9.77,-4.73,-7.04,0.00,6.66,-6.79,5.81,0.30,-1.50,8.84
Commanders,-18.00,9.77,4.73,7.04,0.00,-22.08,-27.71,4.74,0.00,-6.66,-5.81,6.79,1.50,-0.30,-8.84
