Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
2,9:01,2,11,MIA 30,3,3,Tua Tagovailoa pass complete short right to Jonnu Smith for 10 yards (tackle by Terrel Bernard and Dorian Williams),0.320,0.960
2,8:19,3,1,MIA 40,3,3,De'Von Achane left guard for 10 yards (tackle by Damar Hamlin),0.960,2.260
2,7:39,1,10,MIA 50,3,3,Tua Tagovailoa pass complete short left to Odell Beckham for 6 yards (tackle by Rasul Douglas and Dorian Williams),2.260,2.520
2,6:59,2,4,BUF 44,3,3,Tua Tagovailoa pass complete short right to De'Von Achane for 8 yards (tackle by Taron Johnson),2.520,3.180
2,6:22,1,10,BUF 36,3,3,Malik Washington left end for 9 yards (tackle by Damar Hamlin),3.180,3.850
2,6:01,2,1,BUF 27,3,3,Raheem Mostert up the middle for 5 yards (tackle by Terrel Bernard and Eli Ankou),3.850,4.110
2,5:26,1,10,BUF 22,3,3,De'Von Achane right tackle for 9 yards (tackle by Taylor Rapp),4.110,5.060
2,4:48,2,1,BUF 13,3,3,De'Von Achane left tackle for -1 yards (tackle by A.J. Epenesa and Austin Johnson),5.060,4.150
2,4:23,,,,,,Timeout #1 by Buffalo Bills,,
2,4:23,3,2,BUF 14,3,3,De'Von Achane up the middle for 5 yards (tackle by Gregory Rousseau and Taylor Rapp),4.150,5.140
2,3:41,1,9,BUF 9,3,3,Penalty on Austin Jackson: False Start 5 yards (accepted) (no play),5.140,4.440
2,3:26,1,14,BUF 14,9,3,Tua Tagovailoa pass complete short left to De'Von Achane for 14 yards touchdown,4.440,7.000
2,3:20,,,BUF 15,10,3,Jason Sanders kicks extra point good,0.000,0.000
2,3:20,,,MIA 35,10,3,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,3:20,1,10,BUF 30,10,3,Josh Allen pass incomplete short right intended for Dalton Kincaid,0.940,0.390
2,3:15,2,10,BUF 30,10,3,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Jordyn Brooks and Anthony Walker),0.390,0.630
2,2:34,3,3,BUF 37,10,3,Josh Allen pass complete short right to Mack Hollins for 5 yards (tackle by Cam Smith),0.630,1.730
2,2:00,1,10,BUF 42,10,3,Josh Allen pass incomplete short right intended for Mack Hollins. Penalty on Cam Smith: Defensive Pass Interference 13 yards (accepted) (no play),1.730,2.590
2,1:55,1,10,MIA 45,10,3,Josh Allen pass complete short left to James Cook for 5 yards (tackle by Jalen Ramsey),2.590,2.720
2,1:25,2,5,MIA 40,10,3,Josh Allen pass incomplete short left intended for James Cook. Penalty on Cam Smith: Defensive Holding 5 yards (accepted) (no play),2.720,3.250
2,1:18,1,10,MIA 35,10,3,Josh Allen pass complete short left to Mack Hollins for 13 yards (tackle by Jordan Poyer),3.250,4.110
2,1:01,1,10,MIA 22,10,3,Josh Allen pass incomplete short right intended for James Cook,4.110,3.500
2,0:56,2,10,MIA 23,10,3,Josh Allen pass complete short right to Khalil Shakir for -3 yards (tackle by Marcus Maye),3.500,2.540
2,0:50,,,,,,Timeout #2 by Buffalo Bills,,
2,0:50,3,12,MIA 25,10,3,Josh Allen scrambles right tackle for 14 yards (tackle by Calais Campbell),2.540,4.840
2,0:41,,,,,,Timeout #3 by Buffalo Bills,,
2,0:41,1,10,MIA 11,10,3,Josh Allen pass incomplete short right intended for Khalil Shakir. Penalty on Dion Dawkins: Offensive Holding 10 yards (accepted) (no play),4.840,4.170
2,0:35,1,20,MIA 21,10,3,Josh Allen scrambles right guard for no gain touchdown. Penalty on O'Cyrus Torrence: Offensive Holding 10 yards (accepted) (no play),4.170,3.510
2,0:27,1,30,MIA 31,10,3,Josh Allen pass incomplete short right intended for Khalil Shakir,3.510,1.590
2,0:22,2,30,MIA 31,10,3,Josh Allen pass incomplete short right intended for Dalton Kincaid,1.590,0.960
2,0:18,3,30,MIA 31,10,3,Josh Allen pass incomplete short right,0.960,1.320
2,0:12,4,30,MIA 31,10,6,Tyler Bass 49 yard field goal good,1.320,3.000
2,0:07,,,BUF 35,10,6,Tyler Bass kicks off 66 yards returned by D'Wayne Eskridge for 33 yards (tackle by Ja'Marcus Ingram),0.000,1.070
2,0:02,1,10,MIA 32,10,6,Tua Tagovailoa kneels for -1 yards,1.070,0.390
3,15:00,,,BUF 35,10,6,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIA 30,10,6,Raheem Mostert left end for 7 yards (tackle by Taylor Rapp),0.940,1.340
3,14:19,2,3,MIA 37,10,6,Tua Tagovailoa pass complete short left to Raheem Mostert for 15 yards (tackle by Taylor Rapp and Dorian Williams),1.340,2.390
3,13:51,1,10,BUF 48,10,6,Raheem Mostert right tackle for 7 yards. Raheem Mostert fumbles (forced by Taron Johnson) recovered by Kaiir Elam at BUF-36 (tackle by Taron Johnson),2.390,-1.330
3,13:43,1,10,BUF 36,10,6,Josh Allen pass complete short right to Dalton Kincaid for 6 yards (tackle by Jordyn Brooks),1.330,1.600
3,13:03,2,4,BUF 42,10,6,Josh Allen pass complete short right to Dawson Knox for 5 yards (tackle by Siran Neal),1.600,2.060
3,12:18,1,10,BUF 47,10,6,James Cook right guard for 8 yards (tackle by Calais Campbell and Jordan Poyer),2.060,2.600
3,11:34,2,2,MIA 45,10,6,James Cook up the middle for 2 yards (tackle by Calais Campbell),2.600,2.720
3,10:54,1,10,MIA 43,10,6,Ty Johnson up the middle for 17 yards (tackle by Jordan Poyer),2.720,3.840
3,10:09,1,10,MIA 26,10,6,James Cook up the middle for 7 yards (tackle by Neil Farrell),3.840,4.270
3,9:37,2,3,MIA 19,10,6,Josh Allen pass complete short left to Khalil Shakir for 13 yards (tackle by Kendall Fuller),4.270,5.830
