Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
2,15:00,2,6,IND 24,0,0,Jonathan Taylor left tackle for 1 yard (tackle by Harrison Phillips),0.270,-0.300
2,14:25,3,5,IND 25,0,0,Joe Flacco pass incomplete short middle intended for Michael Pittman (defended by Camryn Bynum),-0.300,-1.700
2,14:18,4,5,IND 25,0,0,Rigoberto Sanchez punts 50 yards out of bounds,-1.700,-0.610
2,14:10,1,10,MIN 25,0,0,Cam Akers right tackle for 12 yards (tackle by Julian Blackmon),0.610,1.400
2,13:34,1,10,MIN 37,0,0,Cam Akers right guard for 4 yards (tackle by Kenny Moore),1.400,1.400
2,12:57,2,6,MIN 41,0,0,Sam Darnold pass complete short right to Cam Akers for no gain (tackle by E.J. Speed),1.400,0.700
2,12:19,3,6,MIN 41,0,0,Sam Darnold pass complete short left to T.J. Hockenson for no gain (tackle by Zaire Franklin). Penalty on Cam Robinson: Offensive Holding 10 yards (accepted) (no play),0.700,-0.620
2,11:49,3,16,MIN 31,0,0,Justin Jefferson pass complete short right to Aaron Jones for 22 yards (tackle by Nick Cross),-0.620,2.460
2,11:06,1,10,IND 47,6,0,Sam Darnold sacked by Grover Stewart for -10 yards. Sam Darnold fumbles (forced by Grover Stewart) recovered by Kenny Moore at MIN-38 and returned for 38 yards touchdown,2.460,-7.000
2,10:56,,,MIN 15,7,0,Matt Gay kicks extra point good,0.000,0.000
2,10:56,,,IND 35,7,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,10:56,1,10,MIN 30,7,0,Aaron Jones right tackle for 3 yards (tackle by DeForest Buckner and Samuel Womack),0.940,0.800
2,10:15,2,7,MIN 33,7,0,Sam Darnold pass complete short left to Josh Oliver for 14 yards (tackle by E.J. Speed and Zaire Franklin),0.800,2.060
2,9:40,1,10,MIN 47,7,0,Sam Darnold pass complete short left to Josh Oliver for 8 yards (tackle by Jaylon Jones and Nick Cross),2.060,2.600
2,9:15,2,2,IND 45,7,0,Aaron Jones left tackle for 1 yard (tackle by Zaire Franklin),2.600,2.020
2,8:37,3,1,IND 44,7,0,Aaron Jones up the middle for no gain (tackle by E.J. Speed),2.020,0.330
2,7:59,,,,,,Timeout #1 by Minnesota Vikings,,
2,7:59,4,1,IND 44,7,0,Sam Darnold up the middle for 2 yards (tackle by DeForest Buckner),0.330,2.790
2,7:26,1,10,IND 42,7,0,Sam Darnold sacked by Grover Stewart for no gain,2.790,2.240
2,6:44,2,10,IND 42,7,0,Sam Darnold pass complete short left to Cam Akers for 7 yards (tackle by E.J. Speed and Jaylon Jones),2.240,2.480
2,6:06,3,3,IND 35,7,0,Sam Darnold pass incomplete short right intended for Justin Jefferson,2.480,0.990
2,5:50,4,3,IND 35,7,0,Will Reichard 53 yard field goal no good,0.990,-1.800
2,5:46,1,10,IND 43,7,0,Joe Flacco pass incomplete deep left intended for Ashton Dulin,1.800,1.250
2,5:40,2,10,IND 43,7,0,Joe Flacco pass complete short right to Josh Downs for 12 yards (tackle by Andrew Van Ginkel),1.250,2.590
2,5:04,1,10,MIN 45,7,0,Jonathan Taylor up the middle for 2 yards (tackle by Jonathan Bullard and Camryn Bynum),2.590,2.310
2,4:26,2,8,MIN 43,7,0,Joe Flacco pass complete short right to Alec Pierce for 16 yards (tackle by Camryn Bynum),2.310,3.780
