Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
2,9:21,3,4,DAL 37,3,7,Tyler Allgeier left tackle for no gain (tackle by Juanyeh Thomas). Penalty on Jake Matthews: Offensive Holding 10 yards (accepted) (no play),2.280,0.960
2,9:02,3,14,DAL 47,3,7,Kirk Cousins pass complete short left to Kyle Pitts for 11 yards (tackle by Eric Kendricks),0.960,0.890
2,8:34,,,,,,Timeout #2 by Dallas Cowboys,,
2,8:34,4,3,DAL 36,3,13,Kirk Cousins pass complete short right to Darnell Mooney for 36 yards touchdown,0.890,7.000
2,8:28,,,DAL 15,3,14,Younghoe Koo kicks extra point good,0.000,0.000
2,8:28,,,ATL 35,3,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,8:28,1,10,DAL 30,3,14,Rico Dowdle right tackle for 2 yards (tackle by Kaden Elliss and Nathan Landman),0.940,0.660
2,7:57,2,8,DAL 32,3,14,Rico Dowdle left end for 11 yards (tackle by Justin Simmons and Arnold Ebiketie),0.660,1.800
2,7:27,1,10,DAL 43,3,14,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by AJ Terrell),1.800,1.930
2,7:07,2,5,DAL 48,3,14,CeeDee Lamb right end for 18 yards (tackle by DeAundre Alford),1.930,3.310
2,6:29,1,10,ATL 34,3,14,Dak Prescott pass incomplete short right intended for Jake Ferguson,3.310,2.770
2,6:26,2,10,ATL 34,3,14,Penalty on DAL: Delay of Game 5 yards (accepted) (no play),2.770,2.090
2,6:10,2,15,ATL 39,3,14,Dak Prescott scrambles left end for 22 yards (tackle by AJ Terrell),2.090,4.440
2,5:32,1,10,ATL 17,3,14,Rico Dowdle left tackle for 15 yards (tackle by Mike Hughes). Penalty on Zach Harrison: Illegal Use of Hands / Defense 1 yard (accepted),4.440,6.970
2,5:11,1,1,ATL 1,3,14,Penalty on Tyler Smith: False Start 5 yards (accepted) (no play),6.970,5.830
2,4:52,1,6,ATL 6,3,14,Rico Dowdle left end for 3 yards (tackle by Kaden Elliss),5.830,5.530
2,4:11,2,3,ATL 3,9,14,Dak Prescott pass complete short right to Rico Dowdle for 3 yards touchdown,5.530,7.000
2,4:01,,,ATL 15,10,14,Brandon Aubrey kicks extra point good,0.000,0.000
2,4:01,,,DAL 35,10,14,Brandon Aubrey kicks off 63 yards returned by Ray-Ray McCloud for 21 yards (tackle by Hunter Luepke and Nick Vigil),0.000,0.480
2,3:55,1,10,ATL 23,10,14,Kirk Cousins aborted snap recovered by Bijan Robinson at ATL-21,0.480,-0.340
2,3:10,2,12,ATL 21,10,14,Kirk Cousins pass complete short right to Darnell Mooney for 4 yards (tackle by Caelen Carson and DeMarvion Overshown),-0.340,-0.490
2,2:27,3,8,ATL 25,10,14,Kirk Cousins pass complete short left to Ray-Ray McCloud for 10 yards. Ray-Ray McCloud fumbles (forced by Eric Kendricks) recovered by Ray-Ray McCloud at ATL-35,-0.490,1.270
2,2:00,1,10,ATL 35,10,14,Tyler Allgeier left tackle for 4 yards (tackle by Chauncey Golston),1.270,1.260
2,1:30,2,6,ATL 39,10,14,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Trevon Diggs),1.260,0.560
2,1:26,3,6,ATL 39,10,14,Kirk Cousins sacked by Carl Lawson for -6 yards,0.560,-1.180
2,1:19,,,,,,Timeout #3 by Dallas Cowboys,,
2,1:19,4,12,ATL 33,10,14,Bradley Pinion punts 62 yards returned by KaVontae Turpin for 18 yards (tackle by Avery Williams and Charlie Woerner),-1.180,-0.480
2,1:06,1,10,DAL 23,10,14,Dak Prescott pass complete short left to Hunter Luepke for 7 yards (tackle by Kaden Elliss),0.480,0.880
2,0:49,2,3,DAL 30,10,14,Dak Prescott pass complete short left to CeeDee Lamb for 10 yards (tackle by Jessie Bates),0.880,1.600
2,0:24,1,10,DAL 40,10,14,Dak Prescott pass complete short left to Jake Ferguson for 3 yards (tackle by Justin Simmons),1.600,1.460
2,0:09,2,7,DAL 43,10,14,Dak Prescott spiked the ball,1.460,0.760
