Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
2,7:56,1,10,GNB 35,7,3,Josh Jacobs left guard for 8 yards (tackle by Kerby Joseph and Terrion Arnold),1.270,1.800
2,7:20,2,2,GNB 43,7,3,Josh Jacobs left end for 5 yards (tackle by Alex Anzalone and Jack Campbell),1.800,2.130
2,6:42,1,10,GNB 48,7,3,Jordan Love pass incomplete short right intended for Jayden Reed (defended by Carlton Davis),2.130,1.580
2,6:39,2,10,GNB 48,7,3,Jordan Love pass complete short middle to Chris Brooks for no gain (tackle by Alex Anzalone and Jack Campbell). Penalty on Jordan Morgan: Offensive Holding 10 yards (accepted) (no play),1.580,0.230
2,6:17,2,20,GNB 38,7,3,Jordan Love pass incomplete deep left intended for Bo Melton. Penalty on Brian Branch: Disqualification / Defense 15 yards (accepted) (no play),0.230,2.460
2,6:10,1,10,DET 47,7,3,Penalty on Brian Branch: Unsportsmanlike Conduct / Defense 15 yards (accepted) (no play),2.460,3.450
2,6:10,1,10,DET 32,7,3,Penalty on Romeo Doubs: False Start 5 yards (accepted) (no play),3.450,3.120
2,6:10,1,15,DET 37,7,3,Jordan Love pass complete short right to Jayden Reed for 9 yards (tackle by Carlton Davis),3.120,3.440
2,5:35,2,6,DET 28,7,3,Jordan Love pass incomplete short middle,3.440,2.740
2,5:31,3,6,DET 28,7,3,Jordan Love pass incomplete short left intended for Tucker Kraft,2.740,1.610
2,5:28,4,6,DET 28,7,3,Brandon McManus 46 yard field goal no good,1.610,-1.330
2,5:23,1,10,DET 36,7,3,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 26 yards (tackle by Javon Bullard),1.330,3.050
2,4:44,1,10,GNB 38,7,3,Jared Goff pass complete short right to David Montgomery for 3 yards (tackle by Eric Wilson),3.050,2.910
2,4:09,2,7,GNB 35,7,3,Jared Goff pass complete short left to David Montgomery for 6 yards (tackle by Edgerrin Cooper and Keisean Nixon),2.910,3.010
2,3:26,3,1,GNB 29,7,3,Jared Goff pass complete short right to Allen Robinson for 2 yards (tackle by Keisean Nixon),3.010,3.780
2,2:45,1,10,GNB 27,7,3,Jared Goff pass complete short middle to Tim Patrick for 9 yards (tackle by Edgerrin Cooper),3.780,4.530
2,2:00,2,1,GNB 18,7,3,David Montgomery right tackle for 8 yards (tackle by Quay Walker and Kingsley Enagbare),4.530,4.910
2,1:12,,,,,,Timeout #1 by Detroit Lions,,
2,1:12,1,10,GNB 10,7,3,David Montgomery left end for 3 yards (tackle by Tedarrell Slaton and Xavier McKinney),4.910,4.760
2,1:07,,,,,,Timeout #1 by Green Bay Packers,,
2,1:07,2,7,GNB 7,7,3,David Montgomery up the middle for -2 yards (tackle by Rashan Gary and Isaiah McDuffie),4.760,3.360
