Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
2,13:50,1,10,SEA 14,0,0,Geno Smith sacked by Jared Verse for -8 yards,-0.280,-1.360
2,13:09,2,18,SEA 6,0,0,Geno Smith pass complete short middle to Zach Charbonnet for 24 yards (tackle by Kamren Curl and Quentin Lake),-1.360,0.940
2,12:25,1,10,SEA 30,0,0,Kenneth Walker up the middle for no gain (tackle by Christian Rozeboom). Penalty on Laken Tomlinson: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
2,12:01,1,20,SEA 20,0,0,Kenneth Walker left guard for 10 yards (tackle by Michael Hoecht and Jaylen McCollough),0.280,0.390
2,11:14,2,10,SEA 30,0,0,Connor Williams aborted snap recovered by Geno Smith at SEA-10,0.390,-4.110
2,10:28,3,33,SEA 7,0,0,Geno Smith left guard for 3 yards (tackle by Kobie Turner),-4.110,-2.490
2,9:40,4,30,SEA 10,0,0,Penalty on Michael Dickson: Delay of Game 5 yards (accepted) (no play),-2.490,-2.490
2,9:38,4,35,SEA 5,0,0,Michael Dickson punts 62 yards returned by Xavier Smith for 4 yards (tackle by K'Von Wallace and Drake Thomas),-2.490,-1.400
2,9:25,1,10,LAR 37,0,0,Matthew Stafford pass complete short right to Hunter Long for 4 yards (tackle by Tyrel Dodson and Devon Witherspoon),1.400,1.400
2,8:48,2,6,LAR 41,0,0,Matthew Stafford pass complete short right to Puka Nacua for 11 yards (tackle by Tyrel Dodson),1.400,2.390
2,8:08,1,10,SEA 48,0,0,Matthew Stafford pass complete short left to Tyler Johnson for 6 yards (tackle by Coby Bryant),2.390,2.660
2,7:34,2,4,SEA 42,0,0,Kyren Williams right end for no gain (tackle by Devon Witherspoon). Penalty on Tyler Johnson: Offensive Holding 10 yards (accepted) (no play),2.660,1.310
2,7:06,2,14,LAR 48,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 19 yards (tackle by Josh Jobe),1.310,3.380
2,6:26,1,10,SEA 33,0,0,Kyren Williams right guard for 8 yards (tackle by Ernest Jones and Boye Mafe),3.380,3.920
2,5:48,2,2,SEA 25,0,0,Kyren Williams right guard for no gain (tackle by Byron Murphy and Tyrel Dodson),3.920,3.200
2,5:05,3,2,SEA 25,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Julian Love),3.200,4.370
2,4:25,1,10,SEA 18,0,0,Matthew Stafford pass incomplete short middle intended for Tyler Johnson (defended by Ernest Jones) (defended by Tyrel Dodson),4.370,3.800
2,4:19,2,10,SEA 18,0,0,Matthew Stafford pass incomplete short left intended for Kyren Williams,3.800,3.050
2,4:14,3,10,SEA 18,0,0,Matthew Stafford aborted snap recovered by Matthew Stafford at SEA-22 and returned for -2 yards (tackle by Leonard Williams),3.050,2.120
2,3:34,4,12,SEA 20,3,0,Joshua Karty 38 yard field goal good,2.120,3.000
2,3:31,,,LAR 35,3,0,Joshua Karty kicks off 65 yards touchback.,0.000,0.940
2,3:31,1,10,SEA 30,3,0,Geno Smith pass complete short middle to Tyler Lockett for 13 yards (tackle by Christian Rozeboom),0.940,1.800
2,2:58,1,10,SEA 43,3,0,Geno Smith pass complete short left to AJ Barner for 6 yards (tackle by Christian Rozeboom),1.800,2.060
2,2:37,2,4,SEA 49,3,0,Geno Smith pass complete short middle to AJ Barner for 6 yards (tackle by Ahkello Witherspoon and Christian Rozeboom),2.060,2.590
2,2:08,1,10,LAR 45,3,0,Geno Smith pass incomplete short left intended for AJ Barner,2.590,2.040
2,2:02,2,10,LAR 45,3,0,Kenneth Walker left guard for 8 yards (tackle by Ahkello Witherspoon and Christian Rozeboom),2.040,2.410
2,1:56,3,2,LAR 37,3,0,Kenneth Walker left guard for 4 yards (tackle by Quentin Lake),2.410,3.380
2,1:23,1,10,LAR 33,3,0,Geno Smith pass incomplete short left intended for AJ Barner,3.380,2.840
2,1:17,2,10,LAR 33,3,0,Kenneth Walker left end for 3 yards (tackle by Ahkello Witherspoon),2.840,2.540
2,0:55,3,7,LAR 30,3,6,Geno Smith pass complete deep right to Tyler Lockett for 30 yards touchdown. Penalty on Kobie Turner: Defensive Offside 5 yards (declined),2.540,7.000
2,0:51,,,LAR 15,3,6,Jason Myers kicks extra point blocked,0.000,-1.000
2,0:51,,,SEA 35,3,6,Jason Myers kicks off 64 yards returned by Blake Corum for 24 yards (tackle by Brady Russell and Mike Morris),0.000,0.610
2,0:42,1,10,LAR 25,3,6,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Julian Love),0.610,0.740
2,0:38,2,5,LAR 30,3,6,Matthew Stafford pass complete short middle to Cooper Kupp for 14 yards (tackle by Riq Woolen),0.740,1.860
2,0:33,,,,,,Timeout #1 by Los Angeles Rams,,
