Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
2,11:57,3,4,LAC 23,7,0,Jameis Winston scrambles left end for 5 yards (tackle by Derwin James),3.200,4.370
2,11:19,1,10,LAC 18,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 9 yards (tackle by Daiyan Henley). Penalty on Daiyan Henley: Defensive Holding 5 yards (accepted) (no play),4.370,4.710
2,11:02,1,10,LAC 13,7,0,Nick Chubb up the middle for no gain (tackle by Daiyan Henley),4.710,4.050
2,10:24,2,10,LAC 13,7,0,Jameis Winston pass incomplete short right intended for Jerry Jeudy (defended by Elijah Molden) (defended by Tarheeb Still),4.050,3.120
2,10:16,,,,,,Timeout #1 by Cleveland Browns,,
2,10:16,3,10,LAC 13,7,0,Jameis Winston sacked by Morgan Fox for -7 yards,3.120,2.120
2,9:33,4,17,LAC 20,7,3,Dustin Hopkins 38 yard field goal good,2.120,3.000
2,9:30,,,CLE 35,7,3,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,9:30,1,10,LAC 30,7,3,Justin Herbert sacked by Myles Garrett for -2 yards,0.940,0.120
2,8:53,2,12,LAC 28,7,3,J.K. Dobbins up the middle for 6 yards (tackle by Grant Delpit),0.120,0.230
2,8:10,3,6,LAC 34,13,3,Justin Herbert pass complete deep right to Quentin Johnston for 66 yards touchdown,0.230,7.000
2,8:01,,,CLE 15,13,3,Cameron Dicker kicks extra point no good,0.000,-1.000
2,8:01,,,LAC 35,13,3,Cameron Dicker kicks off 66 yards returned by Pierre Strong for 24 yards (tackle by Tuli Tuipulotu),0.000,0.480
2,7:56,1,10,CLE 23,13,3,Jameis Winston scrambles up the middle for 4 yards (tackle by Daiyan Henley),0.480,0.470
2,7:32,2,6,CLE 27,13,3,Jameis Winston pass incomplete short right intended for Elijah Moore,0.470,-0.230
2,7:29,3,6,CLE 27,13,3,Jameis Winston pass complete short left to Cedric Tillman for no gain (tackle by Cam Hart and Elijah Molden). Penalty on Jerry Jeudy: Illegal Motion 5 yards (accepted) (no play),-0.230,-0.890
2,7:07,3,11,CLE 22,13,3,Jameis Winston sacked by Morgan Fox for -4 yards,-0.890,-2.240
2,6:27,4,15,CLE 18,13,3,Corey Bojorquez punts 53 yards returned by Derius Davis for 11 yards (tackle by Winston Reid),-2.240,-1.600
2,6:17,1,10,LAC 40,13,3,J.K. Dobbins right tackle for -1 yards (tackle by Isaiah McGuire and Mohamoud Diabate),1.600,0.920
2,5:41,2,11,LAC 39,13,3,Justin Herbert pass complete short right to Quentin Johnston for 5 yards (tackle by Devin Bush),0.920,0.890
2,5:00,3,6,LAC 44,13,3,Justin Herbert pass complete short right to Quentin Johnston for 21 yards (tackle by Juan Thornhill),0.890,3.250
2,4:12,1,10,CLE 35,13,3,Justin Herbert pass complete short left to Ladd McConkey for 19 yards (tackle by Winston Reid and Juan Thornhill),3.250,4.510
2,3:34,1,10,CLE 16,19,3,J.K. Dobbins left tackle for 16 yards touchdown,4.510,7.000
2,3:30,,,CLE 15,20,3,Cameron Dicker kicks extra point good,0.000,0.000
2,3:30,,,LAC 35,20,3,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,3:30,1,10,CLE 30,20,3,Jerome Ford right end for -1 yards (tackle by Daiyan Henley),0.940,0.260
2,2:54,2,11,CLE 29,20,3,Jameis Winston pass complete short left to Jerry Jeudy for 7 yards (tackle by Tarheeb Still),0.260,0.500
2,2:17,3,4,CLE 36,20,3,Jameis Winston pass incomplete short middle intended for Elijah Moore,0.500,-0.980
2,2:04,4,4,CLE 36,20,3,Corey Bojorquez punts 60 yards out of bounds,-0.980,0.380
2,1:56,1,10,LAC 4,20,3,J.K. Dobbins right tackle for 1 yard (tackle by Mohamoud Diabate),-0.380,-0.710
2,1:52,,,,,,Timeout #2 by Cleveland Browns,,
2,1:52,2,9,LAC 5,20,3,Justin Herbert pass complete short right to Eric Tomlinson for 2 yards (tackle by Juan Thornhill),-0.710,-1.070
2,1:45,3,7,LAC 7,20,3,Justin Herbert pass complete deep left to Josh Palmer for 26 yards (tackle by Martin Emerson),-1.070,1.140
2,1:40,1,10,LAC 33,20,3,Justin Herbert pass complete short right to Hayden Hurst for 6 yards (tackle by Mohamoud Diabate),1.140,1.400
2,1:19,2,4,LAC 39,20,3,Justin Herbert pass complete short middle to J.K. Dobbins for 7 yards (tackle by Devin Bush and Mohamoud Diabate),1.400,1.990
2,0:58,1,10,LAC 46,20,3,Justin Herbert sacked by Devin Bush for -2 yards,1.990,1.180
2,0:52,2,12,LAC 44,20,3,Justin Herbert sacked by Dalvin Tomlinson for -10 yards,1.180,-0.820
2,0:10,3,22,LAC 34,20,3,J.K. Dobbins up the middle for 12 yards (tackle by Myles Garrett),-0.820,-0.320
2,0:02,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:02,4,10,LAC 46,20,3,Penalty on Joe Alt: False Start 5 yards (accepted) (no play),-0.320,-0.650
2,0:02,4,15,LAC 41,20,3,Justin Herbert pass complete short left to Quentin Johnston for 26 yards lateral to Josh Palmer for 9 yards lateral to Ladd McConkey for -6 yards lateral to J.K. Dobbins for 10 yards (tackle by Martin Emerson),-0.650,4.240
3,15:00,,,LAC 35,20,3,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,20,3,Jameis Winston scrambles left end for no gain (tackle by Tarheeb Still). Penalty on Dawand Jones: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
3,14:31,1,20,CLE 20,20,3,Jameis Winston pass complete short left to Cedric Tillman for 12 yards (tackle by Derwin James),0.280,0.660
3,13:59,2,8,CLE 32,20,3,Jerome Ford left guard for 6 yards (tackle by Denzel Perryman),0.660,0.760
3,13:25,3,2,CLE 38,20,3,Nick Chubb up the middle for 4 yards (tackle by Otito Ogbonnia and Derwin James),0.760,1.730
3,12:47,1,10,CLE 42,20,3,Nick Chubb right tackle for 3 yards (tackle by Denzel Perryman and Daiyan Henley),1.730,1.590
3,12:11,2,7,CLE 45,20,3,Jameis Winston pass complete deep left to Jordan Akins for 21 yards,1.590,3.310
3,11:35,1,10,LAC 34,20,3,Nick Chubb right guard for 1 yard (tackle by Daiyan Henley and Khalil Mack),3.310,2.910
3,10:59,2,9,LAC 33,20,3,Jameis Winston pass complete short middle to David Njoku for 5 yards (tackle by Troy Dye),2.910,2.870
3,10:27,3,4,LAC 28,20,3,Jameis Winston pass complete short left to Jerry Jeudy for 13 yards (tackle by Daiyan Henley),2.870,4.580
3,9:46,1,10,LAC 15,20,3,Nick Chubb left guard for 1 yard (tackle by Tuli Tuipulotu),4.580,4.110
3,9:08,2,9,LAC 14,20,3,Penalty on Joey Bosa: Neutral Zone Infraction 5 yards (accepted) (no play),4.110,5.030
3,8:54,2,4,LAC 9,20,3,Nick Chubb left tackle for 2 yards (tackle by Alohi Gilman and Cam Hart),5.030,4.680
3,8:29,3,2,LAC 7,20,3,Nick Chubb left guard for 1 yard (tackle by Alohi Gilman and Daiyan Henley),4.680,3.020
3,7:42,4,1,LAC 6,20,3,Jameis Winston up the middle for 2 yards (tackle by Troy Dye),3.020,6.280
3,6:53,1,4,LAC 4,20,3,Jameis Winston pass incomplete short right intended for Cedric Tillman,6.280,5.340
3,6:50,2,4,LAC 4,20,3,Jameis Winston pass short right (defended by Tarheeb Still) intended for Jerry Jeudy is intercepted by Elijah Molden in end zone and returned for no gain touchback.,5.340,-0.280
3,6:44,1,10,LAC 20,20,3,J.K. Dobbins left guard for -1 yards (tackle by Za'Darius Smith and Shelby Harris),0.280,-0.460
3,6:11,2,11,LAC 19,20,3,Justin Herbert pass incomplete short middle intended for Simi Fehoko (defended by Mohamoud Diabate),-0.460,-1.140
3,6:05,3,11,LAC 19,20,3,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Greg Newsome),-1.140,-2.140
3,5:59,4,11,LAC 19,20,3,JK Scott punts 34 yards out of bounds,-2.140,-2.060
3,5:52,1,10,CLE 47,20,3,Jameis Winston pass incomplete deep left intended for Elijah Moore,2.060,1.520
3,5:45,2,10,CLE 47,20,3,Jameis Winston pass incomplete short left intended for Jerome Ford (defended by Derwin James),1.520,0.830
3,5:40,3,10,CLE 47,20,3,Jameis Winston pass incomplete short left intended for David Njoku,0.830,-0.260
3,5:36,4,10,CLE 47,20,3,Corey Bojorquez punts 43 yards fair catch by Ladd McConkey at LAC-10,-0.260,0.380
3,5:28,1,10,LAC 10,20,3,Justin Herbert scrambles left end for 4 yards (tackle by Michael Hall),-0.380,-0.460
3,4:48,2,6,LAC 14,20,3,J.K. Dobbins up the middle for 2 yards (tackle by Ogbonnia Okoronkwo and Devin Bush),-0.460,-0.720
3,4:10,3,4,LAC 16,20,3,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by Denzel Ward),-0.720,-2.390
