Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
2,11:15,2,8,ARI 32,3,7,Kyler Murray pass complete deep left to Marvin Harrison for 21 yards. Marvin Harrison fumbles (forced by Reddy Steward) recovered by Elijah Hicks at CHI-45 and returned for 9 yards (tackle by Trey Benson) Replay Assistant challenged the fumble ruling and the play was upheld.,0.660,-2.520
2,11:02,1,10,ARI 46,3,7,D'Andre Swift up the middle for 9 yards (tackle by Max Melton and Garrett Williams),2.520,3.190
2,10:28,2,1,ARI 37,3,7,D'Andre Swift up the middle for 2 yards (tackle by Budda Baker),3.190,3.250
2,9:50,1,10,ARI 35,3,7,Caleb Williams pass incomplete short right,3.250,2.700
2,9:48,2,10,ARI 35,3,7,D'Andre Swift right tackle for no gain (tackle by Zaven Collins and Dante Stills),2.700,2.010
2,9:19,3,10,ARI 35,3,7,Caleb Williams pass incomplete short left intended for D.J. Moore,2.010,0.970
2,9:14,4,10,ARI 35,6,7,Cairo Santos 53 yard field goal good,0.970,3.000
2,9:10,,,CHI 35,6,7,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,9:10,1,10,ARI 30,6,7,Trey Benson left tackle for 17 yards (tackle by Elijah Hicks),0.940,2.060
2,8:32,1,10,ARI 47,6,7,Kyler Murray pass complete short left to James Conner for 8 yards (tackle by Tremaine Edmunds),2.060,2.600
2,7:55,2,2,CHI 45,6,7,James Conner left tackle for 9 yards (tackle by Elijah Hicks and Kevin Byard),2.600,3.180
2,7:17,1,10,CHI 36,6,7,James Conner up the middle for 16 yards (tackle by Elijah Hicks and T.J. Edwards),3.180,4.240
2,6:38,1,10,CHI 20,6,7,James Conner up the middle for 4 yards (tackle by Gervon Dexter),4.240,4.280
2,5:56,2,6,CHI 16,6,7,James Conner left tackle for 6 yards (tackle by Jack Sanborn and Elijah Hicks),4.280,4.910
2,5:13,1,10,CHI 10,6,7,James Conner up the middle for 4 yards (tackle by Austin Booker),4.910,4.950
