Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
2,7:29,4,1,JAX 39,0,10,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Brandon Graham) (defended by Cooper DeJean),-0.780,-2.980
2,7:26,1,10,JAX 39,0,10,Jalen Hurts pass complete short left to Grant Calcaterra for 10 yards (tackle by Foyesade Oluokun),2.980,3.640
2,7:02,1,10,JAX 29,0,10,Saquon Barkley right guard for 2 yards (tackle by DaVon Hamilton and Travon Walker),3.640,3.370
2,6:21,2,8,JAX 27,0,10,Ainias Smith right end for 2 yards (tackle by Devin Lloyd),3.370,2.940
2,5:40,3,6,JAX 25,0,10,Jalen Hurts pass complete short left to Grant Calcaterra for 3 yards (tackle by Tyson Campbell),2.940,2.090
2,4:54,4,3,JAX 22,0,10,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Darnell Savage),2.090,-0.410
2,4:49,1,10,JAX 22,0,10,Tank Bigsby right guard for 1 yard (tackle by Jalen Carter),0.410,0.000
2,4:12,2,9,JAX 23,0,10,Trevor Lawrence scrambles up the middle for 4 yards (tackle by Zack Baun),0.000,-0.160
2,3:29,3,5,JAX 27,0,10,Trevor Lawrence pass incomplete short left intended for Austin Trammell (defended by Cooper DeJean),-0.160,-1.570
2,3:21,4,5,JAX 27,0,10,Logan Cooke punts 49 yards fair catch by Cooper DeJean at PHI-24,-1.570,-0.540
2,3:14,1,10,PHI 24,0,10,Saquon Barkley left guard for no gain (tackle by Darnell Savage). Penalty on Cam Jurgens: Offensive Holding 10 yards (accepted) (no play),0.540,-0.500
2,2:50,1,20,PHI 14,0,10,Saquon Barkley left guard for -2 yards (tackle by Jeremiah Ledbetter),-0.500,-1.660
2,2:05,2,22,PHI 12,0,10,Jalen Hurts pass complete short middle to A.J. Brown for 16 yards (tackle by Foyesade Oluokun and Ventrell Miller),-1.660,-0.160
2,1:58,3,6,PHI 28,0,10,Jalen Hurts sacked by Josh Hines-Allen for -7 yards,-0.160,-1.960
2,1:53,,,,,,Timeout #1 by Jacksonville Jaguars,,
