#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ARI 49,4,1:30,9,Downs
2,1,11:03,LAR 30,3,2:06,-2,Punt
3,1,8:47,LAR 30,3,1:47,6,Punt
4,2,13:29,LAR 30,7,3:51,59,Field Goal
5,2,5:09,LAR 30,3,2:03,-4,Punt
6,2,1:50,LAR 29,11,1:50,67,Downs
7,3,10:33,LAR 30,3,1:53,8,Punt
8,3,3:27,LAR 30,8,2:46,70,Touchdown
9,4,9:02,LAR 30,3,1:03,18,Fumble
10,4,4:17,LAR 28,8,4:17,28,End of Game
