#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:16,MIA 37,6,2:27,37,Touchdown
2,1,3:21,BUF 30,3,1:21,9,Punt
3,1,0:41,MIA 44,7,3:00,19,Field Goal
4,2,10:54,BUF 15,8,4:29,85,Touchdown
5,2,3:45,MIA 49,1,0:09,49,Touchdown
6,2,0:04,BUF 30,1,0:04,-1,End of Half
7,3,15:00,BUF 33,5,2:50,17,Punt
8,3,2:40,BUF 15,5,3:26,20,Punt
9,4,11:47,MIA 41,7,3:53,14,Missed FG
10,4,2:02,BUF 12,4,2:02,8,End of Game
