,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Keion White,NWE,0,0,0,0,0,2.5,4,3,1,2,3,0,0,0,1,WhitKe03
Ja'Whaun Bentley,NWE,0,0,0,0,0,0.5,12,7,5,0,1,0,0,0,0,BentJa00
Kyle Dugger,NWE,0,0,0,0,1,0.0,6,2,4,0,0,0,0,0,1,DuggKy00
Jabrill Peppers,NWE,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,PeppJa00
Marcus Jones,NWE,0,0,0,0,0,0.0,4,2,2,0,0,1,17,0,0,JoneMa06
Jahlani Tavai,NWE,0,0,0,0,1,0.0,4,2,2,1,0,0,0,0,0,TavaJa00
Jonathan Jones,NWE,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,JoneJo03
Brenden Schooler,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,SchoBr00
Daniel Ekuale,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,EkuaDa00
Christian Gonzalez,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,GonzCh00
Jeremiah Pharms,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,PharJe00
Marco Wilson,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WilsMa04
Joe Cardona,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,CardJo00
Davon Godchaux,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,GodcDa00
Jaylinn Hawkins,NWE,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0,HawkJa00
Anfernee Jennings,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JennAn00
Oshane Ximines,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,XimiOs00
Rhamondre Stevenson,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,StevRh00
Daxton Hill,CIN,0,0,0,0,1,1.0,8,7,1,1,1,0,0,0,0,HillDa04
Logan Wilson,CIN,0,0,0,0,0,0.0,12,6,6,1,3,0,0,0,1,WilsLo00
Germaine Pratt,CIN,0,0,0,0,1,0.0,8,3,5,1,0,0,0,0,0,PratGe00
Cam Taylor-Britt,CIN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,TaylCa01
Vonn Bell,CIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,BellVo00
Sam Hubbard,CIN,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0,HubbSa00
Jay Tufele,CIN,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0,TufeJa00
Akeem Davis-Gaither,CIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,DaviAk01
B.J. Hill,CIN,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0,HillB.00
Mike Hilton,CIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,HiltMi01
Sheldon Rankins,CIN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,RankSh00
Geno Stone,CIN,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,StonGe00
Zachary Carter,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,CartZa00
Trey Hendrickson,CIN,0,0,0,0,0,0.0,2,2,0,0,2,0,0,0,0,HendTr00
Joseph Ossai,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,OssaJo00
Cal Adomitis,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,AdomCa00
DJ Turner,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,TurnDJ01
Joe Burrow,CIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,BurrJo01
