,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
John Johnson,LAR,1,0,0,0,1,0.0,6,2,4,0,0,0,0,0,0,JohnJo10
Jared Verse,LAR,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0,VersJa00
Byron Young,LAR,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0,YounBy01
Quentin Lake,LAR,0,0,0,0,0,0.0,10,5,5,0,1,0,0,0,0,LakeQu00
Christian Rozeboom,LAR,0,0,0,0,0,0.0,9,4,5,0,0,0,0,0,0,RozeCh00
Troy Reeder,LAR,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0,ReedTr01
Kamren Curl,LAR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,CurlKa00
Braden Fiske,LAR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,FiskBr00
Tre'Davious White,LAR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,WhitTr01
Bobby Brown,LAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,BrowBo04
Cobie Durant,LAR,0,0,0,0,1,0.0,3,1,2,0,1,0,0,0,0,DuraDe01
Neville Gallimore,LAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,GallNe00
Kobie Turner,LAR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,TurnKo00
Blake Corum,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,CoruBl00
Tyler Davis,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,DaviTy05
Nick Hampton,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HampNi00
Michael Hoecht,LAR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,HoecMi00
Kamren Kinchens,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,KincKa00
Ronnie Rivers,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,RiveRo01
Jordan Whittington,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WhitJo04
Kerby Joseph,DET,1,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0,JoseKe03
Aidan Hutchinson,DET,0,0,0,0,0,1.0,5,3,2,1,4,0,0,0,0,HutcAi00
Levi Onwuzurike,DET,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,0,OnwuLe00
Marcus Davenport,DET,0,0,0,0,0,0.5,1,0,1,0,4,0,0,0,0,DaveMa00
Alex Anzalone,DET,0,0,0,0,0,0.0,13,10,3,3,0,0,0,0,0,AnzaAl00
Carlton Davis,DET,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0,DaviCa02
Terrion Arnold,DET,0,0,0,0,0,0.0,8,8,0,0,0,0,0,0,0,ArnoTe00
Brian Branch,DET,0,0,0,0,3,0.0,7,5,2,1,0,0,0,0,0,BranBr00
Jack Campbell,DET,0,0,0,0,0,0.0,7,2,5,1,0,0,0,0,0,CampJa04
Derrick Barnes,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,BarnDe02
Malcolm Rodriguez,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,RodrMa00
Amik Robertson,DET,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,RobeAm00
Khalil Dorsey,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,DorsKh00
Alim McNeill,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,McNeAl00
Kyle Peko,DET,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0,PekoKy00
Ennis Rakestraw,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,RakeEn00
Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,ReevJa00
Chris Smith,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,SmitCh06
Mekhi Wingo,DET,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,WingMe00
