,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Andrew Van Ginkel,MIN,1,10,1,10,1,1.0,4,2,2,0,2,0,0,0,0,VanGAn00
Harrison Smith,MIN,1,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,SmitHa00
Patrick Jones II,MIN,0,0,0,0,0,2.0,4,2,2,2,2,0,0,0,0,JonePa00
Harrison Phillips,MIN,0,0,0,0,1,1.0,5,1,4,1,1,0,0,0,0,PhilHa00
Dallas Turner,MIN,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0,TurnDa01
Byron Murphy,MIN,0,0,0,0,1,0.0,9,8,1,1,0,0,0,0,0,MurpBy00
Blake Cashman,MIN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,CashBl00
Ivan Pace,MIN,0,0,0,0,0,0.0,6,4,2,0,1,0,0,0,0,PaceIv00
Camryn Bynum,MIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,BynuCa00
Stephon Gilmore,MIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,GilmSt00
Shaquill Griffin,MIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,GrifSh00
Josh Metellus,MIN,0,0,0,0,1,0.0,4,3,1,0,1,0,0,0,0,MeteJo00
Jerry Tillery,MIN,0,0,0,0,1,0.0,3,1,2,0,1,0,0,0,0,TillJe00
Jonathan Bullard,MIN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,BullJo00
Theo Jackson,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,JackTh00
Jonathan Greenard,MIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,GreeJo04
Jihad Ward,MIN,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,WardJi02
Darius Muasau,NYG,1,1,0,1,1,0.0,6,5,1,1,0,0,0,0,0,MuasDa00
Dexter Lawrence,NYG,0,0,0,0,1,1.0,3,2,1,1,1,0,0,0,0,LawrDe03
Tyler Nubin,NYG,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,NubiTy00
Rakeem Nunez-Roches,NYG,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,NuneRa00
Deonte Banks,NYG,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0,BankDe00
Brian Burns,NYG,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,BurnBr00
Andru Phillips,NYG,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,1,PhilAn02
Cordale Flott,NYG,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,FlotCo00
Bobby Okereke,NYG,0,0,0,0,0,0.0,3,2,1,0,0,1,1,0,0,OkerBo00
Adoree' Jackson,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JackAd00
Nick McCloud,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,McClNi00
Jason Pinnock,NYG,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,PinnJa01
Dane Belton,NYG,0,0,0,0,1,0.0,1,1,0,0,0,1,0,0,0,BeltDa00
Elijah Chatman,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ChatEl00
Azeez Ojulari,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,OjulAz00
Jordon Riley,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,RileJo00
Ty Summers,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,SummTy00
Kayvon Thibodeaux,NYG,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,ThibKa00
