Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
2,11:18,1,20,NOR 49,14,7,Kirk Cousins pass complete short middle to Drake London for 14 yards (tackle by Pete Werner and D'Marco Jackson),2.320,2.980
2,10:49,2,6,NOR 35,14,7,Kirk Cousins pass incomplete deep right intended for Drake London,2.980,2.280
2,10:41,3,6,NOR 35,14,7,Kirk Cousins pass complete short right to Drake London for 5 yards (tackle by Paulson Adebo),2.280,1.520
2,10:17,4,1,NOR 30,14,7,Penalty on Ryan Neuzil: False Start 5 yards (accepted) (no play),1.520,0.970
2,10:02,4,6,NOR 35,14,10,Younghoe Koo 53 yard field goal good,0.970,3.000
2,9:57,,,ATL 35,14,10,Younghoe Koo kicks off 62 yards returned by Jamaal Williams for 27 yards (tackle by Lorenzo Carter),0.000,0.940
2,9:52,1,10,NOR 30,14,10,Derek Carr scrambles right end for 5 yards (tackle by Troy Andersen),0.940,1.070
2,9:19,2,5,NOR 35,14,10,Alvin Kamara right guard for 7 yards (tackle by Kaden Elliss),1.070,1.730
2,8:45,1,10,NOR 42,14,10,Rashid Shaheed right end for 1 yard (tackle by Clark Phillips and James Smith-Williams),1.730,1.320
2,8:05,2,9,NOR 43,14,16,Derek Carr pass short middle (defended by Matt Judon) intended for Chris Olave is intercepted by Troy Andersen at NO-47 and returned for 47 yards touchdown,1.320,-7.000
2,7:54,,,NOR 15,14,17,Younghoe Koo kicks extra point good,0.000,0.000
2,7:54,,,ATL 35,14,17,Younghoe Koo kicks off 62 yards returned by Rashid Shaheed for 33 yards (tackle by KhaDarel Hodge and Micah Abernathy),0.000,1.330
2,7:48,1,10,NOR 36,14,17,Alvin Kamara right tackle for 15 yards (tackle by Justin Simmons and Jessie Bates),1.330,2.320
2,7:09,1,10,ATL 49,14,17,Jamaal Williams right tackle for 4 yards (tackle by Zach Harrison),2.320,2.320
2,6:26,2,6,ATL 45,14,17,Jamaal Williams left tackle for 3 yards (tackle by DeAundre Alford),2.320,2.020
2,5:47,3,3,ATL 42,14,17,Alvin Kamara right end for -2 yards (tackle by Troy Andersen and Arnold Ebiketie),2.020,0.330
2,4:58,4,5,ATL 44,14,17,Matthew Hayball punts 32 yards fair catch by Avery Williams at ATL-12,0.330,0.350
2,4:49,1,10,ATL 12,14,17,Bijan Robinson right guard for no gain (tackle by D'Marco Jackson). Penalty on Matthew Bergeron: Offensive Holding 6 yards (accepted) (no play),-0.350,-0.610
2,4:26,1,16,ATL 6,14,17,Bijan Robinson right guard for 1 yard (tackle by Chase Young and Khalen Saunders),-0.610,-1.150
2,3:50,2,15,ATL 7,14,17,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 10 yards (tackle by Paulson Adebo),-1.150,-0.840
2,3:26,3,5,ATL 17,14,17,Kirk Cousins pass complete short left to Bijan Robinson for 26 yards (tackle by Alontae Taylor),-0.840,1.800
