Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2,11:50,,,GNB 15,21,0,Will Reichard kicks extra point good,0.000,0.000
2,11:50,,,MIN 35,21,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,11:50,1,10,GNB 30,21,0,Jordan Love pass complete deep middle to Romeo Doubs for 20 yards (tackle by Byron Murphy),0.940,2.260
2,11:13,1,10,GNB 50,21,0,Emanuel Wilson up the middle for -1 yards (tackle by Jerry Tillery and Harrison Phillips),2.260,1.580
2,10:32,2,11,GNB 49,21,0,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by Blake Cashman),1.580,1.950
2,9:53,3,3,MIN 43,21,0,Jordan Love pass incomplete deep right intended for Jayden Reed. Penalty on Josh Metellus: Defensive Pass Interference 20 yards (accepted) (no play),1.950,4.040
2,9:44,1,10,MIN 23,21,0,Emanuel Wilson left guard for 2 yards (tackle by Harrison Phillips and Patrick Jones),4.040,3.770
2,9:03,2,8,MIN 21,21,0,Jordan Love sacked by Patrick Jones for -10 yards,3.770,1.750
2,8:15,3,18,MIN 31,21,0,Jordan Love pass incomplete deep left intended for Tucker Kraft (defended by Camryn Bynum),1.750,1.320
2,8:09,4,18,MIN 31,21,0,Brayden Narveson 49 yard field goal no good,1.320,-1.530
2,8:04,1,10,MIN 39,21,0,Sam Darnold pass incomplete short middle intended for Jordan Addison,1.530,0.990
2,7:58,2,10,MIN 39,21,0,Ty Chandler right tackle for 2 yards (tackle by Karl Brooks),0.990,0.560
2,7:16,3,8,MIN 41,21,0,Sam Darnold pass incomplete deep left intended for Brandon Powell,0.560,-0.650
2,7:09,4,8,MIN 41,21,0,Ryan Wright punts 53 yards downed by Akayleb Evans,-0.650,0.380
2,7:01,1,10,GNB 6,21,0,Josh Jacobs right guard for 6 yards (tackle by Jonathan Bullard and Harrison Phillips),-0.380,-0.340
2,6:42,2,4,GNB 12,21,0,Jordan Love pass complete short left to Romeo Doubs for 7 yards (tackle by Shaquill Griffin),-0.340,0.150
2,6:09,1,10,GNB 19,21,0,Jordan Love pass short middle intended for Romeo Doubs is intercepted by Shaquill Griffin at GB-32 and returned for 28 yards (tackle by Elgton Jenkins and Josh Myers),0.150,-6.280
2,5:55,1,4,GNB 4,21,0,Aaron Jones up the middle for no gain (tackle by Evan Williams and Keisean Nixon). Penalty on Brian O'Neill: Offensive Holding 10 yards (accepted) (no play),6.280,4.440
2,5:32,1,14,GNB 14,27,0,Sam Darnold pass complete short right to Justin Jefferson for 14 yards touchdown,4.440,7.000
2,5:28,,,GNB 15,28,0,Will Reichard kicks extra point good,0.000,0.000
2,5:28,,,MIN 35,28,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,5:28,1,10,GNB 30,28,0,Jordan Love pass incomplete short right intended for Tucker Kraft,0.940,0.390
2,5:22,2,10,GNB 30,28,0,Jordan Love pass incomplete short left intended for Emanuel Wilson (defended by Blake Cashman),0.390,-0.300
2,5:18,3,10,GNB 30,28,0,Jordan Love pass complete short right to Tucker Kraft for 21 yards (tackle by Camryn Bynum),-0.300,2.320
2,4:38,1,10,MIN 49,28,0,Emanuel Wilson right guard for 5 yards (tackle by Jonathan Greenard and Harrison Phillips),2.320,2.460
2,3:57,2,5,MIN 44,28,0,Jordan Love pass complete short right to Luke Musgrave for 4 yards (tackle by Shaquill Griffin),2.460,2.280
2,3:16,3,1,MIN 40,28,0,Penalty on Emanuel Wilson: False Start 5 yards (accepted) (no play),2.280,1.620
2,2:57,3,6,MIN 45,28,0,Jordan Love scrambles up the middle for 6 yards (tackle by Andrew Van Ginkel). Penalty on Jonathan Greenard: Illegal Use of Hands / Defense 5 yards (accepted),1.620,3.310
