Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
2,8:57,1,10,WAS 20,14,7,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Budda Baker),0.280,0.950
2,8:24,2,1,WAS 29,14,7,Brian Robinson up the middle for 9 yards (tackle by Mack Wilson),0.950,1.470
2,7:59,1,10,WAS 38,14,7,Brian Robinson up the middle for 7 yards (tackle by Jalen Thompson and Budda Baker),1.470,1.870
2,7:18,2,3,WAS 45,14,7,Jayden Daniels pass complete short right to Noah Brown for 6 yards,1.870,2.320
2,6:50,1,10,ARI 49,14,7,Jayden Daniels pass deep middle intended for Terry McLaurin is intercepted by Garrett Williams at ARI-18 and returned for no gain (tackle by Zach Ertz),2.320,-0.040
2,6:41,1,10,ARI 18,14,7,James Conner up the middle for no gain (tackle by Percy Butler and Jonathan Allen),0.040,-0.490
2,6:05,2,10,ARI 18,14,7,Kyler Murray sacked by and Frankie Luvu for -5 yards and Dorance Armstrong for -5 yards,-0.490,-1.970
2,5:25,3,15,ARI 13,14,7,Kyler Murray pass complete short right to Greg Dortch for 7 yards (tackle by Bobby Wagner),-1.970,-2.030
2,4:46,4,8,ARI 20,14,7,Blake Gillikin punts 52 yards fair catch by Olamide Zaccheaus at WAS-28,-2.030,-0.810
2,4:35,1,10,WAS 28,14,7,Brian Robinson left end for no gain (tackle by Bilal Nichols),0.810,0.260
2,4:04,2,10,WAS 28,14,7,Brian Robinson up the middle for -5 yards (tackle by Roy Lopez),0.260,-1.090
2,3:26,3,15,WAS 23,14,7,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,-1.090,-1.830
2,3:14,4,15,WAS 23,14,7,Tress Way punts 51 yards returned by Greg Dortch for 4 yards (tackle by Ben Sinnott),-1.830,-0.940
2,3:07,1,10,ARI 30,14,7,James Conner right end for no gain (tackle by Jeremy Chinn),0.940,0.390
2,2:32,2,10,ARI 30,14,7,Kyler Murray pass complete short left to James Conner for 9 yards (tackle by Jonathan Allen),0.390,0.890
2,2:00,3,1,ARI 39,14,7,James Conner up the middle for 2 yards (tackle by Frankie Luvu),0.890,1.660
2,1:29,1,10,ARI 41,14,7,James Conner up the middle for 4 yards (tackle by Daron Payne),1.660,1.660
2,1:10,2,6,ARI 45,14,7,Kyler Murray pass complete short left to Michael Wilson for 11 yards,1.660,2.650
2,1:05,1,10,WAS 44,14,7,Emari Demercado right end for no gain (tackle by Frankie Luvu),2.650,2.110
2,0:43,2,10,WAS 44,14,7,Kyler Murray pass incomplete deep right intended for Michael Wilson,2.110,1.420
2,0:39,3,10,WAS 44,14,7,Kyler Murray pass complete short middle to Greg Dortch for 9 yards (tackle by Quan Martin),1.420,1.000
2,0:34,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:34,4,1,WAS 35,14,7,Kyler Murray sacked by Dorance Armstrong for -7 yards,1.000,-1.730
2,0:29,1,10,WAS 42,14,7,Jayden Daniels pass complete short left to Jeremy McNichols for 6 yards (tackle by Budda Baker),1.730,1.930
2,0:23,2,5,WAS 48,14,7,Jayden Daniels pass complete short middle to Zach Ertz for 13 yards (tackle by Starling Thomas),1.930,2.980
2,0:16,,,,,,Timeout #1 by Washington Commanders,,
2,0:16,1,10,ARI 39,14,7,Jayden Daniels scrambles right end for 7 yards (tackle by Garrett Williams),2.980,3.390
2,0:09,2,3,ARI 32,14,7,Jeremy McNichols up the middle for 5 yards (tackle by Jalen Thompson and Dennis Gardeck),3.390,3.780
2,0:03,,,,,,Timeout #2 by Washington Commanders,,
2,0:03,1,10,ARI 27,17,7,Austin Seibert 45 yard field goal good,3.780,3.000
3,15:00,,,ARI 35,17,7,Matt Prater kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,WAS 30,17,7,Jayden Daniels pass complete short right to John Bates for 9 yards (tackle by Sean Murphy-Bunting and Jalen Thompson),0.940,1.610
3,14:26,2,1,WAS 39,17,7,Brian Robinson up the middle for 5 yards (tackle by Kyzir White),1.610,1.860
3,14:05,1,10,WAS 44,17,7,Jayden Daniels pass incomplete deep right intended for Noah Brown. Penalty on Sean Murphy-Bunting: Defensive Pass Interference 47 yards (accepted) (no play),1.860,5.140
3,13:57,1,9,ARI 9,23,7,Jayden Daniels right end for 9 yards touchdown,5.140,7.000
3,13:52,,,ARI 15,24,7,Austin Seibert kicks extra point good,0.000,0.000
3,13:52,,,WAS 35,24,7,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
3,13:52,1,10,ARI 30,24,7,James Conner right tackle for 4 yards (tackle by Bobby Wagner). Penalty on Zach Pascal: Offensive Holding 10 yards (accepted),0.940,0.540
3,13:35,1,16,ARI 24,24,7,Kyler Murray pass complete short left to Greg Dortch for no gain (tackle by Quan Martin). Penalty on Paris Johnson: Offensive Holding 10 yards (accepted) (no play),0.540,-0.640
3,13:19,1,26,ARI 14,24,7,Kyler Murray pass incomplete short middle intended for Michael Wilson,-0.640,-1.900
3,13:15,2,26,ARI 14,24,7,Kyler Murray sacked by and Bobby Wagner for -8 yards and Daron Payne for -8 yards,-1.900,-4.230
3,12:35,3,34,ARI 6,24,7,Emari Demercado up the middle for 8 yards (tackle by Bobby Wagner),-4.230,-2.470
3,12:04,4,26,ARI 14,24,7,Blake Gillikin punts 62 yards returned by Olamide Zaccheaus for 16 yards (tackle by Dennis Gardeck and Victor Dimukeje),-2.470,-1.600
3,11:53,1,10,WAS 40,24,7,Brian Robinson left tackle for 1 yard (tackle by Kyzir White and Roy Lopez),1.600,1.190
3,11:19,2,9,WAS 41,24,7,Jayden Daniels scrambles right end for no gain (tackle by Mack Wilson) (no play),1.190,0.650
3,10:49,2,13,WAS 37,24,7,Jayden Daniels pass complete short right to Zach Ertz for no gain (tackle by Garrett Williams),0.650,-0.030
3,10:15,3,13,WAS 37,24,7,Jayden Daniels pass complete short right to Noah Brown for 14 yards (tackle by Jalen Thompson and Krys Barnes),-0.030,2.320
3,9:31,1,10,ARI 49,24,7,Brian Robinson left tackle for 1 yard (tackle by Mack Wilson),2.320,1.920
3,8:57,2,9,ARI 48,24,7,Jayden Daniels pass complete short left to Dyami Brown for 4 yards (tackle by Max Melton),1.920,1.750
3,8:17,3,5,ARI 44,24,7,Jayden Daniels pass complete short right to Terry McLaurin for 4 yards (tackle by Max Melton),1.750,0.590
3,7:34,4,1,ARI 40,24,7,Jeremy McNichols up the middle for 15 yards (tackle by Max Melton and Budda Baker),0.590,3.910
3,6:51,1,10,ARI 25,24,7,Jayden Daniels pass complete short right to Terry McLaurin for 2 yards (tackle by Garrett Williams),3.910,3.630
3,6:10,2,8,ARI 23,24,7,Jayden Daniels pass incomplete short left intended for Terry McLaurin (defended by Starling Thomas),3.630,2.940
3,6:02,3,8,ARI 23,24,7,Jayden Daniels pass complete short right to Brian Robinson for 4 yards (tackle by Budda Baker),2.940,2.260
3,5:19,4,4,ARI 19,27,7,Austin Seibert 38 yard field goal good,2.260,3.000
3,5:16,,,WAS 35,27,7,Austin Seibert kicks off 64 yards returned by DeeJay Dallas for 25 yards (tackle by Michael Davis and Jeremy McNichols),0.000,0.670
3,5:10,1,10,ARI 26,27,7,Kyler Murray pass complete short right to Marvin Harrison for 5 yards (tackle by Benjamin St-Juste),0.670,0.810
3,4:39,2,5,ARI 31,27,7,James Conner up the middle for 20 yards (tackle by Jamin Davis and Emmanuel Forbes),0.810,2.320
3,4:04,1,10,WAS 49,27,7,James Conner up the middle for 5 yards (tackle by Bobby Wagner),2.320,2.460
3,3:31,2,5,WAS 44,27,7,Kyler Murray sacked by Jonathan Allen for -7 yards,2.460,0.830
3,2:55,3,12,ARI 49,27,7,Kyler Murray pass complete short left to Emari Demercado for no gain (tackle by Dorance Armstrong),0.830,-0.130
3,2:14,4,12,ARI 49,27,7,Kyler Murray pass complete deep left to Marvin Harrison for 19 yards,-0.130,3.450
3,1:56,1,10,WAS 32,27,7,Emari Demercado left tackle for no gain (tackle by Jamin Davis),3.450,2.900
3,1:25,2,10,WAS 32,27,7,Kyler Murray pass complete short middle to Greg Dortch for 12 yards (tackle by Mike Sainristil and Quan Martin),2.900,4.240
3,0:55,1,10,WAS 20,27,7,James Conner up the middle for 8 yards (tackle by Jeremy Chinn),4.240,5.040
3,0:37,2,2,WAS 12,27,7,James Conner up the middle for 6 yards (tackle by Jonathan Allen),5.040,5.830
3,0:15,1,6,WAS 6,27,13,James Conner up the middle for 6 yards touchdown,5.830,7.000
3,0:11,,,WAS 15,27,14,Matt Prater kicks extra point good,0.000,0.000
3,0:11,,,ARI 35,27,14,Matt Prater kicks off 65 yards touchback.,0.000,0.940
3,0:11,1,10,WAS 30,27,14,Brian Robinson right tackle for 4 yards (tackle by Roy Lopez and Dante Stills),0.940,0.930
4,15:00,2,6,WAS 34,27,14,Jayden Daniels pass complete short left to Terry McLaurin for 15 yards (tackle by Mack Wilson),0.930,2.190
4,14:33,1,10,WAS 49,27,14,Brian Robinson up the middle for 7 yards (tackle by Roy Lopez),2.190,2.590
4,14:08,2,3,ARI 44,27,14,Jayden Daniels scrambles right end for 10 yards (tackle by Kyzir White),2.590,3.310
4,13:33,1,10,ARI 34,27,14,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 14 yards (tackle by Jalen Thompson). Penalty on Olamide Zaccheaus: Taunting / Offense 15 yards (accepted),3.310,3.250
4,12:59,1,10,ARI 35,27,14,Jayden Daniels pass complete short right to Brian Robinson for 5 yards (tackle by Kyzir White and Mack Wilson),3.250,3.380
4,12:15,2,5,ARI 30,27,14,Jayden Daniels pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Budda Baker),3.380,4.170
4,11:40,1,10,ARI 21,27,14,Jeremy McNichols up the middle for no gain (tackle by Mack Wilson). Penalty on Samuel Cosmi: Offensive Holding 10 yards (accepted) (no play),4.170,3.510
4,11:17,1,20,ARI 31,27,14,Brian Robinson up the middle for 5 yards (tackle by Bilal Nichols and L.J. Collier),3.510,2.950
4,10:40,2,15,ARI 26,27,14,Jayden Daniels pass complete short middle to Luke McCaffrey for 17 yards (tackle by Budda Baker),2.950,5.140
4,9:54,1,9,ARI 9,27,14,Brian Robinson up the middle for 1 yard (tackle by Angelo Blackson),5.140,4.570
4,9:21,2,8,ARI 8,27,14,Penalty on WAS: Offensive Too Many Men on Field 5 yards (accepted) (no play),4.570,3.720
4,9:21,2,13,ARI 13,27,14,Jayden Daniels pass complete short right to Brian Robinson for 3 yards (tackle by Zaven Collins),3.720,3.130
4,8:35,3,10,ARI 10,33,14,Jayden Daniels pass complete short middle to Terry McLaurin for 10 yards touchdown,3.130,7.000
4,8:30,,,ARI 2,35,14,Two Point Attempt: Jayden Daniels pass complete to to Zach Ertz for no gain,1.000,1.000
4,8:30,,,WAS 35,35,14,Austin Seibert kicks off 65 yards returned by DeeJay Dallas for 24 yards (tackle by Colson Yankoff),0.000,0.540
4,8:25,1,10,ARI 24,35,14,Kyler Murray pass complete short middle to Elijah Higgins for 9 yards (tackle by Dante Fowler and Emmanuel Forbes),0.540,1.210
4,8:01,2,1,ARI 33,35,14,Kyler Murray pass incomplete short right intended for Elijah Higgins,1.210,0.500
4,7:57,3,1,ARI 33,35,14,Emari Demercado up the middle for 16 yards (tackle by Frankie Luvu),0.500,2.190
4,7:36,1,10,ARI 49,35,14,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Mike Sainristil),2.190,2.320
4,7:14,2,5,WAS 46,35,14,Kyler Murray pass complete deep left to Michael Wilson for no gain (tackle by Frankie Luvu and Jeremy Chinn) WAS challenged the runner was down by contact ruling and the original play was overturned. Kyler Murray pass complete deep left to Michael Wilson for 22 yards. Michael Wilson fumbles and Jeremy Chinn) recovered by Frankie Luvu at WAS-24,2.320,-0.540
4,7:11,1,10,WAS 24,35,14,Brian Robinson up the middle for 1 yard (tackle by Mack Wilson),0.540,0.130
4,7:06,,,,,,Timeout #1 by Arizona Cardinals,,
4,7:06,2,9,WAS 25,35,14,Jayden Daniels pass incomplete short left intended for Noah Brown,0.130,-0.560
4,7:02,3,9,WAS 25,35,14,Brian Robinson right tackle for 18 yards (tackle by Kyzir White and Jalen Thompson). Penalty on Dennis Gardeck: Unnecessary Roughness / Defense 15 yards (accepted),-0.560,2.790
4,6:53,,,,,,Timeout #2 by Arizona Cardinals,,
4,6:53,1,10,ARI 42,35,14,Jeremy McNichols right tackle for 2 yards (tackle by Zaven Collins),2.790,2.510
4,6:48,,,,,,Timeout #3 by Arizona Cardinals,,
4,6:48,2,8,ARI 40,35,14,Jeremy McNichols right tackle for 3 yards (tackle by Budda Baker),2.510,2.210
4,6:16,3,5,ARI 37,35,14,Jayden Daniels pass complete short right to Olamide Zaccheaus for 27 yards (tackle by Budda Baker and Sean Murphy-Bunting),2.210,4.910
