Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
2,9:47,1,10,SFO 29,0,13,Jacoby Brissett pass incomplete short left intended for Ja'Lynn Polk (defended by Deommodore Lenoir),3.640,3.100
2,9:42,2,10,SFO 29,0,13,Jacoby Brissett sacked by Kevin Givens for no gain,3.100,2.410
2,8:56,3,10,SFO 29,0,13,Jacoby Brissett pass complete short right to Ja'Lynn Polk for 9 yards (tackle by Charvarius Ward),2.410,2.270
2,8:11,,,,,,Timeout #1 by New England Patriots,,
2,8:11,4,1,SFO 20,0,13,Rhamondre Stevenson up the middle for no gain (tackle by Ji'Ayir Brown and Fred Warner),2.270,-0.280
2,8:07,1,10,SFO 20,0,13,Brock Purdy pass complete short middle to George Kittle for 11 yards (tackle by Raekwon McMillan and Jabrill Peppers),0.280,1.000
2,7:29,1,10,SFO 31,0,13,Brock Purdy sacked by Deatrich Wise for -5 yards,1.000,-0.220
2,6:39,2,15,SFO 26,0,13,Brock Purdy pass complete deep left to Jauan Jennings for 32 yards (tackle by Christian Gonzalez),-0.220,2.790
2,5:57,1,10,NWE 42,0,13,Jordan Mason left guard for 4 yards (tackle by Raekwon McMillan),2.790,2.780
2,5:18,2,6,NWE 38,0,13,Brock Purdy pass complete short middle to Jordan Mason for 24 yards touchdown. Penalty on George Kittle: Offensive Holding 10 yards (accepted),2.780,3.970
2,5:07,1,10,NWE 24,0,13,Isaac Guerendo left guard for no gain (tackle by Deatrich Wise). Penalty on Deebo Samuel: Illegal Motion 5 yards (declined),3.970,3.430
2,4:47,2,10,NWE 24,0,13,Brock Purdy pass complete short right to Kyle Juszczyk for 12 yards (tackle by Josh Uche),3.430,4.780
2,4:12,1,10,NWE 12,0,13,Jordan Mason right end for 5 yards (tackle by Jaylinn Hawkins),4.780,5.020
2,3:37,,,,,,Timeout #2 by New England Patriots,,
2,3:37,2,5,NWE 7,0,13,Brock Purdy pass complete short left to Kyle Juszczyk for no gain touchdown. Penalty on Kyle Juszczyk: Illegal Shift 5 yards (accepted) (no play),5.020,4.100
2,3:27,2,10,NWE 12,0,13,Brock Purdy pass incomplete short left. Penalty on Jake Brendel: Ineligible Downfield Pass 5 yards (declined) . Penalty on Brock Purdy: Ineligible Downfield Pass 5 yards (declined) . Penalty on Jake Brendel: Ineligible Downfield Pass 5 yards (declined) . Penalty on Brock Purdy: Ineligible Downfield Pass 5 yards (declined),4.100,3.120
2,3:18,3,10,NWE 12,0,19,Brock Purdy pass complete short left to George Kittle for 12 yards touchdown,3.120,7.000
2,3:11,,,NWE 15,0,20,Jake Moody kicks extra point good,0.000,0.000
2,3:11,,,SFO 35,0,20,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,3:11,1,10,NWE 30,0,20,Rhamondre Stevenson right end for 5 yards (tackle by Fred Warner),0.940,1.070
2,2:34,2,5,NWE 35,0,20,Jacoby Brissett pass complete short right to K.J. Osborn for 3 yards (tackle by Charvarius Ward),1.070,0.760
2,2:00,3,2,NWE 38,0,20,Jacoby Brissett sacked by and Kevin Givens for -5 yards and Maliek Collins for -5 yards. Jacoby Brissett fumbles (forced by Leonard Floyd) recovered by Nick Leverett at NE-33 Replay Assistant challenged the fumble ruling and the play was upheld. Penalty on NWE: Illegal Shift 5 yards (declined),0.760,-1.180
2,1:53,4,7,NWE 33,0,20,Bryce Baringer punts 61 yards returned by Jacob Cowing for 7 yards (tackle by Brenden Schooler),-1.180,0.320
2,1:43,1,10,SFO 13,0,20,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Deatrich Wise),-0.320,-0.770
2,1:38,2,10,SFO 13,0,20,Brock Purdy aborted snap recovered by Jordan Mason at SF-8,-0.770,-2.010
2,0:53,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:53,3,15,SFO 8,0,20,Brock Purdy pass incomplete short left intended for Jordan Mason,-2.010,-2.490
2,0:49,4,15,SFO 8,0,20,Mitch Wishnowsky punts 42 yards returned by Marcus Jones for 11 yards (tackle by Isaac Guerendo and Tatum Bethune),-2.490,-2.980
2,0:38,1,10,SFO 39,0,20,Jacoby Brissett pass incomplete short right intended for Jamycal Hasty,2.980,2.440
2,0:34,2,10,SFO 39,0,20,Jacoby Brissett pass incomplete short right Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Jacoby Brissett sacked by Maliek Collins for -12 yards,2.440,0.170
2,0:18,3,22,NWE 49,0,20,Jamycal Hasty right tackle for 6 yards (tackle by De'Vondre Campbell),0.170,0.270
2,0:03,,,,,,Timeout #3 by New England Patriots,,
2,0:03,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:03,4,16,SFO 45,3,20,Joey Slye 63 yard field goal good,0.270,3.000
3,15:00,,,NWE 35,3,20,Joey Slye kicks off 62 yards returned by Isaac Guerendo for 23 yards. Isaac Guerendo fumbles (forced by Christian Elliss) recovered by Christian Elliss at SF-27,0.000,-3.780
