Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
2,9:13,2,14,BUF 37,3,14,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Damar Hamlin),2.300,1.620
2,9:03,3,14,BUF 37,3,14,Lamar Jackson pass complete short right to Justice Hill for 15 yards (tackle by Dawuane Smoot and Cameron Lewis),1.620,4.110
2,8:19,1,10,BUF 22,3,14,Derrick Henry right end for 3 yards (tackle by Dorian Williams),4.110,3.970
2,7:40,2,7,BUF 19,3,20,Lamar Jackson pass complete deep right to Justice Hill for 19 yards touchdown,3.970,7.000
2,7:34,,,BUF 15,3,21,Justin Tucker kicks extra point good,0.000,0.000
2,7:34,,,BAL 35,3,21,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,7:34,1,10,BUF 30,3,21,Josh Allen pass incomplete short middle intended for Mack Hollins,0.940,0.390
2,7:30,2,10,BUF 30,3,21,Josh Allen pass complete short left to Khalil Shakir for 2 yards (tackle by Marlon Humphrey),0.390,-0.030
2,6:57,3,8,BUF 32,3,21,Josh Allen sacked by Kyle Van Noy for -7 yards,-0.030,-1.700
2,6:14,4,15,BUF 25,3,21,Sam Martin punts 59 yards returned by Deonte Harty for 13 yards (tackle by Reggie Gilliam),-1.700,-0.870
2,5:59,1,10,BAL 29,3,21,Lamar Jackson pass complete short left to Nelson Agholor for -2 yards (tackle by Dorian Williams and Rasul Douglas). Penalty on Daniel Faalele: Ineligible Downfield Pass 5 yards (declined),0.870,0.060
2,5:40,2,12,BAL 27,3,21,Lamar Jackson up the middle for 11 yards (tackle by Baylon Spector and Cole Bishop),0.060,0.830
2,5:06,3,1,BAL 38,3,21,Derrick Henry right tackle for 2 yards (tackle by Rasul Douglas),0.830,1.600
2,4:26,1,10,BAL 40,3,21,Derrick Henry right guard for 2 yards (tackle by Baylon Spector and Dorian Williams),1.600,1.320
2,3:43,2,8,BAL 42,3,21,Lamar Jackson pass complete deep left to Rashod Bateman for 23 yards (tackle by Cameron Lewis),1.320,3.250
2,2:59,1,10,BUF 35,3,21,Derrick Henry right end for no gain (tackle by Baylon Spector and Damar Hamlin). Penalty on Roger Rosengarten: Offensive Holding 10 yards (accepted) (no play),3.250,2.590
2,2:36,1,20,BUF 45,3,21,Lamar Jackson left end for 6 yards. Lamar Jackson fumbles (tackle by Rasul Douglas) recovered by Baylon Spector at BUF-39 (tackle by Rasul Douglas),2.590,-1.530
2,2:25,1,10,BUF 39,3,21,James Cook up the middle for 5 yards (tackle by David Ojabo),1.530,1.660
2,2:00,2,5,BUF 44,3,21,Josh Allen scrambles left end for 3 yards (tackle by Kyle Hamilton),1.660,1.360
2,1:16,3,2,BUF 47,3,21,Josh Allen pass incomplete short left intended for Khalil Shakir (defended by Marlon Humphrey),1.360,-0.260
2,1:11,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:11,4,2,BUF 47,3,21,Penalty on Marlon Humphrey: Defensive Delay of Game 5 yards (accepted) (no play),-0.260,2.390
2,1:11,,,,,,Timeout #2 by Baltimore Ravens,,
2,1:11,1,10,BAL 48,3,21,Josh Allen pass incomplete deep left intended for Mack Hollins,2.390,1.850
2,1:06,2,10,BAL 48,3,21,Josh Allen pass incomplete deep left intended for Keon Coleman,1.850,1.160
2,1:00,3,10,BAL 48,3,21,Josh Allen pass incomplete short right,1.160,0.070
2,0:51,4,10,BAL 48,3,21,Sam Martin punts 48 yards touchback.,0.070,-0.280
2,0:42,1,10,BAL 20,3,21,Derrick Henry left end for 1 yard (tackle by A.J. Epenesa),0.280,-0.130
3,15:00,,,BAL 35,3,21,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BAL 30,3,21,Lamar Jackson pass incomplete short right. Penalty on Lamar Jackson: Intentional Grounding 14 yards (accepted),0.940,-1.650
3,14:49,2,24,BAL 16,3,21,Lamar Jackson pass complete short right to Justice Hill for 4 yards (tackle by Cole Bishop),-1.650,-1.620
3,14:12,3,20,BAL 20,3,21,Lamar Jackson pass incomplete deep left intended for Zay Flowers,-1.620,-2.030
3,14:03,4,20,BAL 20,3,21,Jordan Stout punts 46 yards returned by Brandon Codrington for 6 yards (tackle by Josh Ross and Malik Harrison),-2.030,-1.600
3,13:53,1,10,BUF 40,3,21,James Cook right end for -1 yards (tackle by Eddie Jackson),1.600,0.920
3,13:09,2,11,BUF 39,3,21,Josh Allen pass complete short left to Curtis Samuel for 6 yards (tackle by Marlon Humphrey),0.920,1.030
3,12:24,3,5,BUF 45,3,21,Josh Allen pass complete deep right to Khalil Shakir for 52 yards (tackle by Brandon Stephens),1.030,6.510
3,11:33,1,3,BAL 3,9,21,Ty Johnson left end for 3 yards touchdown,6.510,7.000
3,11:26,,,BAL 15,10,21,Tyler Bass kicks extra point good,0.000,0.000
3,11:26,,,BUF 35,10,21,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,11:26,1,10,BAL 30,10,21,Derrick Henry left tackle for 5 yards (tackle by Cole Bishop),0.940,1.070
3,10:45,2,5,BAL 35,10,21,Penalty on Charlie Kolar: False Start 5 yards (accepted) (no play),1.070,0.390
3,10:28,2,10,BAL 30,10,21,Derrick Henry left guard for -1 yards (tackle by Gregory Rousseau and Dorian Williams),0.390,-0.430
3,9:46,3,11,BAL 29,10,21,Lamar Jackson sacked by Baylon Spector for -1 yards,-0.430,-1.500
3,9:06,4,12,BAL 28,10,21,Jordan Stout punts 54 yards recovered by Brandon Codrington at BUF-19,-1.500,-0.150
3,8:55,1,10,BUF 19,10,21,Josh Allen pass incomplete deep right,0.150,-0.390
3,8:47,2,10,BUF 19,10,21,Josh Allen pass complete deep left to Keon Coleman for 24 yards (tackle by Brandon Stephens),-0.390,1.800
