Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
2,10:41,2,5,DAL 35,7,6,Dak Prescott left tackle for no gain (tackle by Azeez Ojulari),1.070,0.370
2,10:06,3,5,DAL 35,7,6,Dak Prescott pass complete short left to Jake Ferguson for 4 yards. Jake Ferguson fumbles ball out of bounds at DAL-39 (forced by Tyler Nubin). Jake Ferguson fumbles out of bounds,0.370,-0.780
2,9:59,4,1,DAL 39,7,6,Hunter Luepke left end for 6 yards (tackle by Kayvon Thibodeaux),-0.780,1.930
2,9:25,1,10,DAL 45,13,6,Dak Prescott pass complete deep left to CeeDee Lamb for 55 yards touchdown,1.930,7.000
2,9:16,,,NYG 21,13,6,Penalty on CeeDee Lamb: Taunting / Offense 15 yards (accepted) (no play),0.000,0.000
2,9:16,,,NYG 30,14,6,Brandon Aubrey kicks extra point good,0.000,0.000
2,9:16,,,DAL 35,14,6,Brandon Aubrey kicks off 60 yards returned by Eric Gray for 23 yards (tackle by Israel Mukuamu),0.000,0.810
2,9:10,1,10,NYG 28,14,6,Devin Singletary left end for 2 yards (tackle by Eric Kendricks and DeMarvion Overshown) DAL challenged the runner was down by contact ruling and the play was upheld.,0.810,0.530
2,8:30,2,8,NYG 30,14,6,Daniel Jones pass incomplete deep left intended for Malik Nabers (defended by Malik Hooker),0.530,-0.160
2,8:22,3,8,NYG 30,14,6,Daniel Jones pass complete short left to Malik Nabers for 10 yards (tackle by Andrew Booth),-0.160,1.600
2,7:43,1,10,NYG 40,14,6,Tyrone Tracy right guard for no gain (tackle by Mazi Smith),1.600,1.050
2,7:04,2,10,NYG 40,14,6,Daniel Jones pass complete short right to Malik Nabers for 2 yards (tackle by DeMarvion Overshown),1.050,0.630
2,6:25,3,8,NYG 42,14,6,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Jourdan Lewis),0.630,-0.130
2,5:41,4,1,NYG 49,14,6,Devin Singletary left end for 3 yards (tackle by DeMarvion Overshown),-0.130,2.390
2,5:18,1,10,DAL 48,14,6,Daniel Jones pass complete short left to Devin Singletary for 14 yards (tackle by Osa Odighizuwa),2.390,3.310
2,4:33,1,10,DAL 34,14,6,Tyrone Tracy up the middle for 1 yard (tackle by Chauncey Golston and Marshawn Kneeland),3.310,2.910
2,3:52,2,9,DAL 33,14,6,Penalty on DAL: Defensive Too Many Men on Field 5 yards (accepted) (no play),2.910,3.580
2,3:33,2,4,DAL 28,14,6,Devin Singletary right tackle for 1 yard (tackle by Eric Kendricks and Donovan Wilson),3.580,3.010
2,2:55,3,3,DAL 27,14,6,Daniel Jones right tackle for 5 yards (tackle by Andrew Booth),3.010,4.110
2,2:14,1,10,DAL 22,14,6,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson. Penalty on Jermaine Eluemunor: Ineligible Downfield Pass 5 yards (accepted) (no play),4.110,3.780
2,2:09,1,15,DAL 27,14,6,Devin Singletary left guard for 1 yard (tackle by Eric Kendricks and DeMarcus Lawrence),3.780,3.020
2,2:00,2,14,DAL 26,14,6,Daniel Jones pass complete short left to Malik Nabers for 5 yards (tackle by Donovan Wilson),3.020,3.010
2,1:16,3,9,DAL 21,14,6,Penalty on Micah Parsons: Neutral Zone Infraction 5 yards (accepted) (no play),3.010,3.740
2,1:16,,,,,,Timeout #2 by Dallas Cowboys,,
2,1:16,3,4,DAL 16,14,6,Daniel Jones sacked by DeMarcus Lawrence for -4 yards. Penalty on Jermaine Eluemunor: Offensive Holding 10 yards (declined),3.740,2.120
2,1:10,4,8,DAL 20,14,9,Greg Joseph 38 yard field goal good. Penalty on Juanyeh Thomas: Defensive Offside 5 yards (declined),2.120,3.000
2,1:06,,,NYG 35,14,9,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,1:06,1,10,DAL 30,14,9,Dak Prescott pass complete short middle to CeeDee Lamb for 9 yards (tackle by Isaiah Simmons),0.940,1.610
2,0:59,2,1,DAL 39,14,9,Dak Prescott pass complete short middle to Jake Ferguson for 8 yards (tackle by Jason Pinnock and Bobby Okereke),1.610,2.060
2,0:38,1,10,DAL 47,14,9,Dak Prescott sacked by Kayvon Thibodeaux for -8 yards,2.060,0.440
2,0:32,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:32,2,18,DAL 39,14,9,Dak Prescott pass complete short right to Jalen Tolbert for 6 yards (tackle by Duke Shelley),0.440,0.560
2,0:28,3,12,DAL 45,14,9,Dak Prescott pass complete deep left to Jalen Tolbert for no gain (tackle by Duke Shelley). Penalty on Kayvon Thibodeaux: Defensive Offside 5 yards (offset) . Penalty on Tyler Guyton: Offensive Holding 10 yards (offset) (no play),0.560,0.560
2,0:20,,,,,,Timeout #1 by New York Giants,,
2,0:20,3,12,DAL 45,14,9,Dak Prescott pass incomplete short left intended for Brandin Cooks,0.560,-0.390
2,0:14,4,12,DAL 45,14,9,Penalty on Juanyeh Thomas: False Start 5 yards (accepted) (no play),-0.390,-0.720
2,0:14,4,17,DAL 40,14,9,Bryan Anger punts 60 yards touchback.. Penalty on Brevyn Spann-Ford: Offensive Holding 10 yards (accepted),-0.720,-0.940
2,0:06,1,10,NYG 30,14,9,Daniel Jones kneels for -1 yards,0.940,0.260
3,15:00,,,DAL 35,14,9,Brandon Aubrey kicks off 60 yards returned by Tyrone Tracy for 12 yards. Tyrone Tracy fumbles (forced by Juanyeh Thomas) recovered by Chris Manhertz at NYG-21 and returned for -1 yards (tackle by Hunter Luepke),0.000,0.280
3,14:54,1,10,NYG 20,14,9,Devin Singletary left guard for -3 yards (tackle by Mazi Smith),0.280,-0.790
3,14:13,2,13,NYG 17,14,9,Daniel Jones pass complete short middle to Darius Slayton for 16 yards (tackle by Jourdan Lewis),-0.790,1.140
3,13:39,1,10,NYG 33,14,9,Daniel Jones pass complete short right to Darius Slayton for 12 yards (tackle by Amani Oruwariye),1.140,1.930
3,12:58,1,10,NYG 45,14,9,Daniel Jones pass complete short left to Wan'Dale Robinson for 8 yards (tackle by Eric Kendricks),1.930,2.460
3,12:23,2,2,DAL 47,14,9,Devin Singletary up the middle for 3 yards (tackle by Osa Odighizuwa),2.460,2.650
3,11:39,1,10,DAL 44,14,9,Daniel Jones pass complete short right to Tyrone Tracy for 19 yards (tackle by Trevon Diggs and Chauncey Golston),2.650,3.910
3,10:50,1,10,DAL 25,14,9,Daniel Jones pass complete short left to Malik Nabers for 15 yards (tackle by Marist Liufau),3.910,4.910
3,10:07,1,10,DAL 10,14,9,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,4.910,4.190
3,9:58,2,10,DAL 10,14,9,Devin Singletary left guard for 2 yards (tackle by Marist Liufau),4.190,3.580
3,9:28,3,8,DAL 8,14,9,Daniel Jones pass complete short left to Wan'Dale Robinson for 5 yards (tackle by DeMarvion Overshown),3.580,3.040
3,8:44,4,3,DAL 3,14,12,Greg Joseph 22 yard field goal good,3.040,3.000
3,8:42,,,NYG 35,14,12,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
3,8:42,1,10,DAL 30,14,12,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Cordale Flott),0.940,1.200
3,8:02,2,4,DAL 36,14,12,Dak Prescott pass complete short middle to Jake Ferguson for 6 yards (tackle by Bobby Okereke),1.200,1.730
3,7:32,1,10,DAL 42,14,12,Rico Dowdle left end for 8 yards (tackle by Tyler Nubin and Kayvon Thibodeaux),1.730,2.270
3,7:02,2,2,DAL 50,14,12,Rico Dowdle up the middle for 9 yards (tackle by Brian Burns),2.270,2.850
3,6:28,1,10,NYG 41,14,12,Dak Prescott pass complete short right to Ezekiel Elliott for 5 yards (tackle by Tyler Nubin),2.850,2.980
3,5:54,2,5,NYG 36,14,12,Dak Prescott pass complete short middle to CeeDee Lamb for 4 yards (tackle by Tyler Nubin),2.980,2.810
3,5:21,3,1,NYG 32,14,12,Dak Prescott pass incomplete short left intended for Hunter Luepke. Penalty on Tyler Guyton: Offensive Holding 10 yards (accepted) (no play),2.810,1.490
3,5:16,3,11,NYG 42,14,12,Dak Prescott pass incomplete short left intended for Brandin Cooks (defended by Cordale Flott),1.490,0.460
3,5:11,4,11,NYG 42,17,12,Brandon Aubrey 60 yard field goal good,0.460,3.000
