Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
2,12:32,3,4,JAX 19,7,7,Mac Jones pass complete short right to Parker Washington for 16 yards (tackle by Chuck Clark),-0.710,1.270
2,11:59,1,10,JAX 35,7,7,Mac Jones pass complete short right to Brenton Strange for 5 yards (tackle by Chuck Clark),1.270,1.400
2,11:33,2,5,JAX 40,7,7,Travis Etienne up the middle for 4 yards (tackle by Quincy Williams),1.400,1.220
2,10:56,3,1,JAX 44,7,7,Tank Bigsby right tackle for 7 yards (tackle by Kendall Sheffield),1.220,2.320
2,10:16,1,10,NYJ 49,7,7,Mac Jones pass incomplete short left intended for Tank Bigsby,2.320,1.780
2,10:07,2,10,NYJ 49,7,7,Mac Jones pass complete short left to Brian Thomas for 8 yards (tackle by Solomon Thomas),1.780,2.150
2,9:33,3,2,NYJ 41,7,7,Tank Bigsby up the middle for 3 yards (tackle by Eric Watts),2.150,3.050
2,8:52,1,10,NYJ 38,7,7,Travis Etienne right end for 2 yards (tackle by Kendall Sheffield),3.050,2.780
2,8:12,2,8,NYJ 36,7,7,Mac Jones pass complete short left to Brian Thomas for no gain (tackle by Quincy Williams). Penalty on Anton Harrison: Offensive Holding 10 yards (accepted) (no play),2.780,1.430
2,7:47,2,18,NYJ 46,7,7,Travis Etienne up the middle for 3 yards (tackle by Quincy Williams and Jamien Sherwood),1.430,1.160
2,7:07,3,15,NYJ 43,7,7,Mac Jones pass complete short left to Brenton Strange for no gain (tackle by Jamien Sherwood and Kendall Sheffield). Penalty on Solomon Thomas: Defensive Offside 5 yards (accepted) (no play),1.160,1.820
2,6:44,3,10,NYJ 38,7,7,Mac Jones scrambles up the middle for 13 yards (tackle by Haason Reddick),1.820,3.910
2,6:08,1,10,NYJ 25,7,7,Travis Etienne right end for 9 yards (tackle by Tony Adams and Micheal Clemons),3.910,4.750
2,5:38,2,1,NYJ 16,7,7,Travis Etienne right end for 10 yards (tackle by Sauce Gardner),4.750,5.830
2,4:57,1,6,NYJ 6,7,7,Tank Bigsby up the middle for 1 yard (tackle by Tony Adams and Chazz Surratt),5.830,5.150
2,4:16,2,5,NYJ 5,7,7,Mac Jones sacked by Javon Kinlaw for -7 yards,5.150,3.100
2,3:27,3,12,NYJ 12,7,7,Mac Jones pass complete short left to Travis Etienne for 2 yards (tackle by Jamien Sherwood),3.100,2.760
2,2:44,4,10,NYJ 10,7,10,Cam Little 28 yard field goal good,2.760,3.000
2,2:41,,,JAX 35,7,10,Cam Little kicks off 65 yards touchback.,0.000,0.280
2,2:41,1,10,NYJ 20,7,10,Braelon Allen up the middle for 2 yards (tackle by Josh Hines-Allen),0.280,0.000
2,2:00,2,8,NYJ 22,7,10,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.000,-0.690
2,1:55,3,8,NYJ 22,7,10,Aaron Rodgers pass incomplete short right intended for Garrett Wilson (defended by Darnell Savage),-0.690,-1.900
2,1:50,4,8,NYJ 22,7,10,Thomas Morstead punts 54 yards returned by Devin Duvernay for 13 yards (tackle by Ashtyn Davis and Marcelino McCrary-Ball). Penalty on Andrew Wingard: Unnecessary Roughness / Offense 15 yards (accepted),-1.900,-0.410
2,1:36,1,10,JAX 22,7,10,Mac Jones pass complete short left to Brian Thomas for 7 yards (tackle by Chuck Clark),0.410,0.810
2,1:13,2,3,JAX 29,7,10,Mac Jones pass complete short middle to Brenton Strange for 5 yards (tackle by Chazz Surratt),0.810,1.200
2,0:53,1,10,JAX 34,7,10,Mac Jones pass complete short right to Parker Washington for 9 yards,1.200,1.870
2,0:51,2,1,JAX 43,7,10,Mac Jones pass complete short left to Travis Etienne for 5 yards (tackle by Chazz Surratt),1.870,2.130
2,0:43,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,0:43,1,10,JAX 48,7,10,Mac Jones pass incomplete deep right intended for Brian Thomas. Penalty on Sauce Gardner: Defensive Pass Interference 19 yards (accepted) (no play),2.130,3.380
2,0:38,1,10,NYJ 33,7,10,Mac Jones pass complete short left to Brenton Strange for 3 yards (tackle by Kendall Sheffield),3.380,3.240
2,0:33,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:33,2,7,NYJ 30,7,10,Mac Jones scrambles right end for 9 yards (tackle by Chazz Surratt),3.240,4.170
2,0:27,1,10,NYJ 21,7,10,Mac Jones pass complete short left to Brenton Strange for 8 yards (tackle by Isaiah Oliver),4.170,4.950
2,0:20,2,2,NYJ 13,7,10,Mac Jones pass complete short right to Devin Duvernay for 8 yards,4.950,6.060
2,0:10,,,,,,Timeout #1 by New York Jets,,
2,0:10,1,5,NYJ 5,7,10,Mac Jones pass incomplete short right intended for Brenton Strange (defended by Quincy Williams),6.060,5.150
2,0:06,2,5,NYJ 5,7,10,Mac Jones pass incomplete short left intended for Brian Thomas,5.150,4.260
2,0:01,3,5,NYJ 5,7,13,Cam Little 23 yard field goal good,4.260,3.000
3,15:00,,,JAX 35,7,13,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,7,13,Aaron Rodgers pass complete short right to Davante Adams for 12 yards (tackle by Tyson Campbell),0.940,1.730
3,14:21,1,10,NYJ 42,7,13,Breece Hall up the middle for -2 yards (tackle by Foyesade Oluokun),1.730,0.920
3,13:40,2,12,NYJ 40,7,13,Breece Hall left end for 18 yards (tackle by Tyson Campbell),0.920,2.790
3,13:01,1,10,JAX 42,7,13,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson. Penalty on Montaric Brown: Defensive Pass Interference 30 yards (accepted) (no play),2.790,4.780
3,12:52,1,10,JAX 12,7,13,Isaiah Davis up the middle for 1 yard (tackle by Tyler Lacy),4.780,4.270
3,12:14,2,9,JAX 11,7,13,Aaron Rodgers pass complete short middle to Davante Adams for no gain (tackle by Tyson Campbell),4.270,3.290
3,11:18,3,9,JAX 11,7,13,Aaron Rodgers sacked by Jeremiah Ledbetter for -14 yards,3.290,1.800
3,10:32,4,23,JAX 25,10,13,Anders Carlson 43 yard field goal good,1.800,3.000
3,10:28,,,NYJ 35,10,13,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
3,10:28,1,10,JAX 30,10,13,Mac Jones pass incomplete short middle,0.940,0.390
3,10:24,2,10,JAX 30,10,13,Mac Jones pass complete short middle to Travis Etienne for no gain (tackle by Tony Adams). Penalty on Brian Thomas: Offensive Pass Interference 10 yards (accepted) (no play),0.390,-0.960
3,9:57,2,20,JAX 20,10,13,Mac Jones pass complete short middle to Brian Thomas for 41 yards (tackle by Chuck Clark and Sauce Gardner),-0.960,2.980
3,9:19,1,10,NYJ 39,10,13,Tank Bigsby up the middle for 14 yards (tackle by Isaiah Oliver),2.980,3.910
3,8:54,1,10,NYJ 25,10,13,Tank Bigsby up the middle for no gain (tackle by Solomon Thomas),3.910,3.360
3,8:21,2,10,NYJ 25,10,13,Mac Jones pass incomplete deep right intended for Josh Reynolds,3.360,2.680
3,8:13,3,10,NYJ 25,10,13,Mac Jones pass incomplete short right intended for Brian Thomas,2.680,1.800
3,8:09,4,10,NYJ 25,10,16,Cam Little 43 yard field goal good,1.800,3.000
3,8:05,,,JAX 35,10,16,Cam Little kicks off 65 yards touchback.,0.000,0.940
3,8:05,1,10,NYJ 30,10,16,Aaron Rodgers pass complete short left to Breece Hall for 7 yards (tackle by DJ Coleman),0.940,1.340
3,7:27,2,3,NYJ 37,10,16,Breece Hall right end for 6 yards (tackle by Antonio Johnson and DJ Coleman),1.340,1.800
3,6:48,1,10,NYJ 43,10,16,Aaron Rodgers pass incomplete deep left intended for Allen Lazard (defended by Darnell Savage),1.800,1.250
3,6:40,2,10,NYJ 43,10,16,Isaiah Davis up the middle for 6 yards (tackle by Devin Lloyd and Josh Hines-Allen),1.250,1.350
3,5:54,3,4,NYJ 49,10,16,Aaron Rodgers pass complete short middle to Davante Adams for 43 yards (tackle by Tyson Campbell),1.350,5.370
3,5:06,1,8,JAX 8,10,16,Aaron Rodgers pass incomplete short left intended for Garrett Wilson. Penalty on Tyson Campbell: Defensive Pass Interference 4 yards (accepted) (no play),5.370,6.280
3,5:01,1,4,JAX 4,10,16,Aaron Rodgers pass complete short right to Davante Adams for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Aaron Rodgers pass complete short right to Davante Adams for 3 yards (tackle by Darnell Savage),6.280,5.910
3,4:38,2,1,JAX 1,16,16,Aaron Rodgers pass complete short right to Davante Adams for 1 yard touchdown,5.910,7.000
3,4:33,,,JAX 15,17,16,Anders Carlson kicks extra point good,0.000,0.000
3,4:33,,,NYJ 35,17,16,Anders Carlson kicks off 65 yards touchback.,0.000,0.280
3,4:33,1,10,JAX 20,17,16,Tank Bigsby up the middle for 3 yards (tackle by Qwan'tez Stiggers),0.280,0.140
3,4:18,2,7,JAX 23,17,16,Mac Jones pass incomplete deep right intended for Brian Thomas (defended by Sauce Gardner),0.140,-0.560
3,3:52,3,7,JAX 23,17,16,Mac Jones pass complete short right to Brenton Strange for 6 yards (tackle by Isaiah Oliver),-0.560,-1.440
3,3:08,4,1,JAX 29,17,16,Logan Cooke punts 57 yards fair catch by Xavier Gipson at NYJ-14,-1.440,0.280
3,3:01,1,10,NYJ 14,17,16,Breece Hall right end for -4 yards (tackle by Travon Walker),-0.280,-1.070
3,2:18,2,14,NYJ 10,17,16,Aaron Rodgers scrambles up the middle for 18 yards (tackle by Jarrian Jones),-1.070,0.810
3,1:31,1,10,NYJ 28,17,16,Isaiah Davis right end for 2 yards (tackle by DaVon Hamilton),0.810,0.530
