Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
2,13:16,4,6,KAN 27,7,0,Matt Araiza punts 40 yards fair catch by James Proche at CLE-33,-1.570,-1.140
2,13:10,1,10,CLE 33,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards,1.140,1.270
2,12:47,2,5,CLE 38,7,0,Nick Chubb right end for 1 yard (tackle by Michael Danna and Nick Bolton),1.270,0.700
2,11:56,3,4,CLE 39,7,0,Jameis Winston pass incomplete short right intended for Jerry Jeudy,0.700,-0.780
2,11:49,4,4,CLE 39,7,0,Corey Bojorquez punts 48 yards out of bounds,-0.780,0.320
2,11:42,1,10,KAN 13,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Devin Bush),-0.320,0.350
2,11:06,2,2,KAN 21,7,0,Xavier Worthy left end for 4 yards (tackle by Cameron Mitchell),0.350,0.610
2,10:28,1,10,KAN 25,7,0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,0.610,0.060
2,10:21,2,10,KAN 25,7,0,Patrick Mahomes pass complete short left to Isiah Pacheco for 15 yards (tackle by Devin Bush),0.060,1.600
2,9:47,1,10,KAN 40,7,0,Kareem Hunt left tackle for 11 yards (tackle by Jordan Hicks),1.600,2.320
2,9:07,1,10,CLE 49,7,0,Kareem Hunt right tackle for 7 yards (tackle by Devin Bush and Sam Kamara),2.320,2.730
2,8:31,2,3,CLE 42,7,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 7 yards (tackle by Denzel Ward),2.730,3.250
2,7:54,1,10,CLE 35,7,0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,3.250,2.700
2,7:46,2,10,CLE 35,7,0,Isiah Pacheco up the middle for 1 yard (tackle by Devin Bush),2.700,2.150
2,7:11,3,9,CLE 34,7,0,Patrick Mahomes scrambles right end for 10 yards (tackle by Juan Thornhill),2.150,3.970
2,6:31,1,10,CLE 24,7,0,Isiah Pacheco right guard for 9 yards (tackle by Jordan Hicks and Ronnie Hickman),3.970,4.850
2,5:53,2,1,CLE 15,7,0,Patrick Mahomes pass complete short left to Xavier Worthy for 6 yards (tackle by Cameron Mitchell),4.850,5.140
2,5:35,1,9,CLE 9,7,0,Isiah Pacheco left guard for 3 yards (tackle by Shelby Harris),5.140,4.950
2,4:54,2,6,CLE 6,13,0,Patrick Mahomes pass complete short middle to Noah Gray for 6 yards touchdown,4.950,7.000
2,4:46,,,CLE 15,14,0,Harrison Butker kicks extra point good,0.000,0.000
2,4:46,,,KAN 35,14,0,Penalty on Denzel Ward: Defensive Offside 5 yards (accepted) (no play),0.000,0.000
2,4:46,,,KAN 40,14,0,Justin Reid kicks off 54 yards returned by Jerome Ford for 45 yards (tackle by Leo Chenal),0.000,2.320
2,4:39,1,10,KAN 49,14,0,Jameis Winston pass incomplete deep right intended for Elijah Moore (defended by Trent McDuffie),2.320,1.780
2,4:33,2,10,KAN 49,14,0,Nick Chubb up the middle for 8 yards (tackle by Chamarri Conner),1.780,2.150
2,4:20,3,2,KAN 41,14,0,Nick Chubb left guard for 1 yard (tackle by Christian Roland-Wallace and Justin Reid),2.150,0.590
2,3:30,4,1,KAN 40,14,0,Jameis Winston pass incomplete deep left intended for Elijah Moore (defended by Nazeeh Johnson),0.590,-1.660
2,3:22,1,10,KAN 41,14,0,Isiah Pacheco left guard for -1 yards (tackle by Dalvin Tomlinson),1.660,0.990
2,2:57,2,11,KAN 40,14,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 12 yards (tackle by Cameron Mitchell),0.990,2.390
2,2:20,1,10,CLE 48,14,0,Patrick Mahomes left end for 4 yards (tackle by Denzel Ward),2.390,2.390
2,2:00,2,6,CLE 44,14,0,Isiah Pacheco up the middle for 2 yards (tackle by Myles Harden and Jordan Hicks),2.390,1.950
2,1:42,,,,,,Timeout #2 by Cleveland Browns,,
2,1:42,3,4,CLE 42,14,0,Patrick Mahomes pass complete short right to Samaje Perine for 23 yards (tackle by Juan Thornhill),1.950,4.310
2,1:34,1,10,CLE 19,14,0,Patrick Mahomes pass complete short middle to Xavier Worthy for 8 yards (tackle by Grant Delpit),4.310,5.140
2,1:02,2,2,CLE 11,14,0,Kareem Hunt right guard for 1 yard (tackle by Grant Delpit and Myles Garrett),5.140,4.690
2,0:30,3,1,CLE 10,14,0,Kareem Hunt left guard for -1 yards (tackle by Michael Hall and Isaiah McGuire),4.690,2.820
2,0:24,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:24,,,,,,Timeout #3 by Cleveland Browns,,
2,0:24,4,2,CLE 11,14,0,Harrison Butker 29 yard field goal no good,2.820,-0.280
2,0:21,1,10,CLE 20,14,0,Jameis Winston kneels for -1 yards,0.280,-0.460
3,15:00,,,KAN 35,14,0,Justin Reid kicks off 57 yards recovered by Jerome Ford at CLE-9 (tackle by Cam Jones),0.000,0.940
3,14:53,1,10,CLE 30,14,0,Jameis Winston pass short middle intended for Nick Chubb is intercepted by Nick Bolton at CLE-34 and returned for no gain (tackle by Nick Chubb),0.940,-3.310
3,14:46,1,10,CLE 34,14,0,Isiah Pacheco up the middle for 4 yards (tackle by Grant Delpit),3.310,3.310
3,14:14,2,6,CLE 30,14,0,Patrick Mahomes pass complete short right to Xavier Worthy for 5 yards,3.310,3.270
3,13:40,3,1,CLE 25,14,0,Kareem Hunt right guard for 4 yards (tackle by Grant Delpit and Rodney McLeod),3.270,4.170
3,13:04,1,10,CLE 21,20,0,Xavier Worthy left end for 21 yards touchdown,4.170,7.000
3,12:59,,,CLE 15,21,0,Harrison Butker kicks extra point good,0.000,0.000
3,12:59,,,KAN 35,21,0,Justin Reid kicks off 59 yards returned by Jerome Ford for 27 yards (tackle by Justin Reid and Leo Chenal),0.000,1.140
3,12:52,1,10,CLE 33,21,0,Nick Chubb left guard for 7 yards. Nick Chubb fumbles (forced by Leo Chenal) recovered by Drue Tranquill at CLE-44 (tackle by Leo Chenal),1.140,-2.650
3,12:42,1,10,CLE 44,21,0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Juan Thornhill),2.650,2.110
3,12:36,2,10,CLE 44,21,0,Kareem Hunt right tackle for no gain (tackle by Mohamoud Diabate and Isaiah McGuire),2.110,1.420
3,12:01,3,10,CLE 44,21,0,Patrick Mahomes pass incomplete deep left intended for DeAndre Hopkins (defended by Cameron Mitchell) KAN challenged the pass completion ruling and the play was upheld.,1.420,0.330
3,11:53,4,10,CLE 44,21,0,Matt Araiza punts 37 yards fair catch by James Proche at CLE-7,0.330,0.380
3,11:46,1,10,CLE 7,21,0,Nick Chubb left guard for 8 yards (tackle by Trent McDuffie),-0.380,-0.140
3,11:02,2,2,CLE 15,21,0,Jameis Winston left end for -1 yards (tackle by Christian Roland-Wallace),-0.140,-0.600
3,10:18,3,3,CLE 14,21,0,Jameis Winston pass complete short left to Jordan Akins for 12 yards (tackle by Tershawn Wharton and Justin Reid). Penalty on Drue Tranquill: Defensive Offside 5 yards (declined),-0.600,0.670
3,9:59,1,10,CLE 26,21,0,Jameis Winston pass complete short left to Jerry Jeudy for 20 yards (tackle by Nick Bolton),0.670,1.990
3,9:23,1,10,CLE 46,21,0,Jameis Winston pass complete short right to Jerry Jeudy for 10 yards (tackle by Christian Roland-Wallace),1.990,2.650
3,8:52,1,10,KAN 44,21,0,Jerome Ford left tackle for 3 yards (tackle by Christian Roland-Wallace and Chris Jones),2.650,2.520
3,8:29,2,7,KAN 41,21,0,Jameis Winston pass complete short right to Elijah Moore for 2 yards (tackle by Jaden Hicks),2.520,2.080
3,7:48,3,5,KAN 39,21,0,Jameis Winston sacked by Charles Omenihu for -10 yards. Jameis Winston fumbles (forced by Charles Omenihu) recovered by Jameis Winston at KC-49 (tackle by Jaden Hicks),2.080,0.000
3,7:05,4,15,KAN 49,21,0,Corey Bojorquez punts 40 yards out of bounds,0.000,0.380
3,6:52,1,10,KAN 9,21,0,Patrick Mahomes pass complete short right to Xavier Worthy for 8 yards (tackle by Denzel Ward),-0.380,-0.020
3,6:18,2,2,KAN 17,21,0,Isiah Pacheco right tackle for 1 yard (tackle by Isaiah McGuire),-0.020,-0.370
3,5:42,3,1,KAN 18,21,0,Patrick Mahomes pass complete short left to Travis Kelce for 3 yards (tackle by Cameron Mitchell),-0.370,0.340
3,5:04,1,10,KAN 21,21,0,Isiah Pacheco left guard for -2 yards (tackle by Isaiah McGuire and Grant Delpit),0.340,-0.530
3,4:30,2,12,KAN 19,21,0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.530,-1.220
3,4:27,3,12,KAN 19,21,0,Patrick Mahomes pass incomplete short right,-1.220,-2.140
3,4:21,4,12,KAN 19,21,0,Matt Araiza punts 30 yards downed by Jack Cochrane,-2.140,-2.320
3,4:12,1,10,KAN 49,21,0,Jameis Winston sacked by Tershawn Wharton for -13 yards,2.320,0.020
3,3:26,2,23,CLE 38,21,6,Jerome Ford up the middle for 62 yards touchdown,0.020,7.000
3,3:16,,,KAN 15,21,7,Riley Patterson kicks extra point good,0.000,0.000
3,3:16,,,CLE 35,21,7,Riley Patterson kicks off 65 yards touchback.,0.000,0.940
3,3:16,1,10,KAN 30,21,7,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,0.940,0.390
3,3:13,2,10,KAN 30,21,7,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster (defended by Jordan Hicks),0.390,-0.300
3,3:07,3,10,KAN 30,21,7,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy,-0.300,-1.370
3,3:02,4,10,KAN 30,21,7,Matt Araiza punts 56 yards returned by James Proche for 7 yards (tackle by Leo Chenal). Penalty on Pierre Strong: Offensive Holding 10 yards (accepted),-1.370,0.370
3,2:50,1,10,CLE 11,21,7,Jameis Winston pass complete short left to Jordan Akins for 7 yards (tackle by Joshua Williams and Christian Roland-Wallace),-0.370,0.000
3,2:21,2,3,CLE 18,21,7,Jameis Winston pass complete short left to Jerry Jeudy for 9 yards (tackle by Trent McDuffie). Penalty on Joshua Williams: Face Mask (15 Yards) 15 yards (accepted),0.000,1.730
3,2:08,1,10,CLE 42,21,7,Jameis Winston sacked by and Nick Bolton for -8 yards and Drue Tranquill for -8 yards,1.730,0.110
3,1:31,2,18,CLE 34,21,7,Jameis Winston pass complete short right to Michael Woods for 3 yards (tackle by Trent McDuffie),0.110,-0.160
3,0:40,3,15,CLE 37,21,7,Jameis Winston pass incomplete short right. Penalty on Jameis Winston: Intentional Grounding 15 yards (accepted),-0.160,-1.900
3,0:34,4,30,CLE 22,21,7,Corey Bojorquez punts 56 yards returned by Nikko Remigio for 4 yards (tackle by Nathaniel Watson and Rex Sunahara),-1.900,-0.670
3,0:21,1,10,KAN 26,21,7,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,0.670,0.130
3,0:14,2,10,KAN 26,21,7,Patrick Mahomes pass incomplete short left intended for Kareem Hunt,0.130,-0.560
3,0:10,3,10,KAN 26,21,7,Patrick Mahomes pass incomplete short right,-0.560,-1.630
3,0:05,4,10,KAN 26,21,7,Matt Araiza punts 41 yards fair catch by James Proche at CLE-33,-1.630,-1.140
4,15:00,1,10,CLE 33,21,7,Jameis Winston pass complete short left to Jerome Ford for 26 yards (tackle by Tershawn Wharton),1.140,2.850
4,14:37,1,10,KAN 41,21,7,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards,2.850,2.980
4,14:04,2,5,KAN 36,21,7,Jerome Ford right guard for 7 yards (tackle by Nick Bolton),2.980,3.640
4,13:27,1,10,KAN 29,21,7,Jameis Winston pass deep right intended for Michael Woods is intercepted by Trent McDuffie in end zone and returned for no gain,3.640,-0.280
4,13:11,1,10,KAN 20,21,7,Kareem Hunt left guard for 3 yards (tackle by Jowon Briggs and Mohamoud Diabate),0.280,0.140
4,12:36,2,7,KAN 23,21,7,Patrick Mahomes pass complete short left to Kareem Hunt for 4 yards (tackle by Myles Garrett),0.140,-0.030
4,12:01,3,3,KAN 27,21,7,Patrick Mahomes pass complete short right to DeAndre Hopkins for 5 yards (tackle by Denzel Ward),-0.030,1.070
4,11:31,1,10,KAN 32,21,7,Kareem Hunt right end for no gain (tackle by Dalvin Tomlinson and Isaiah McGuire),1.070,0.530
4,10:50,2,10,KAN 32,21,7,Patrick Mahomes pass complete short right to Xavier Worthy for 7 yards (tackle by Juan Thornhill),0.530,0.760
4,10:15,3,3,KAN 39,21,7,Patrick Mahomes pass complete short left to Noah Gray for 15 yards (tackle by Myles Harden),0.760,2.520
4,9:39,1,10,CLE 46,21,7,Xavier Worthy right end for 5 yards (tackle by Juan Thornhill),2.520,2.650
4,8:52,2,5,CLE 41,21,7,Kareem Hunt up the middle for 2 yards (tackle by Jordan Hicks and Jowon Briggs),2.650,2.210
4,8:13,3,3,CLE 39,21,7,Patrick Mahomes pass incomplete short left intended for Noah Gray,2.210,0.660
4,8:01,4,3,CLE 39,21,7,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster,0.660,-1.530
4,7:57,1,10,CLE 39,21,7,Jerome Ford right end for 9 yards (tackle by Jaden Hicks),1.530,2.200
4,7:27,2,1,CLE 48,21,7,Dorian Thompson-Robinson right end for 2 yards (tackle by Michael Danna),2.200,2.260
4,7:00,1,10,CLE 50,21,7,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 5 yards (tackle by Joshua Williams),2.260,2.390
4,6:42,2,5,KAN 45,21,7,Dorian Thompson-Robinson pass complete short right to Jerome Ford for -6 yards (tackle by Trent McDuffie),2.390,0.890
4,5:53,3,11,CLE 49,21,7,Dorian Thompson-Robinson pass incomplete short middle intended for Jerry Jeudy,0.890,-0.130
4,5:49,4,11,CLE 49,21,7,Dorian Thompson-Robinson pass complete short right to Michael Woods for no gain (tackle by Justin Reid and Corey Bojorquez). Penalty on Germain Ifedi: Illegal Shift 5 yards (accepted) (no play),-0.130,-0.460
4,5:32,4,16,CLE 44,21,7,Corey Bojorquez punts 41 yards fair catch by Nikko Remigio at KC-15,-0.460,0.220
4,5:23,1,10,KAN 15,21,7,Penalty on Trey Smith: False Start 5 yards (accepted) (no play),-0.220,-0.570
4,5:23,1,15,KAN 10,21,7,Carson Wentz scrambles left end for 2 yards (tackle by Jordan Hicks),-0.570,-1.000
4,4:39,2,13,KAN 12,21,7,Carson Wentz pass complete short right to DeAndre Hopkins for 8 yards (tackle by Jordan Hicks),-1.000,-0.760
4,3:55,3,5,KAN 20,21,7,Carson Wentz pass complete short right to Xavier Worthy for 12 yards (tackle by Denzel Ward),-0.760,1.070
4,3:46,,,,,,Timeout #1 by Cleveland Browns,,
4,3:46,1,10,KAN 32,21,7,Kareem Hunt left tackle for no gain (tackle by Jowon Briggs and Cameron Thomas),1.070,0.530
4,3:42,,,,,,Timeout #2 by Cleveland Browns,,
4,3:42,2,10,KAN 32,21,7,Penalty on Xavier Worthy: False Start 5 yards (accepted) (no play),0.530,-0.150
4,3:42,2,15,KAN 27,21,7,Isiah Pacheco left end for 1 yard (tackle by Cameron Mitchell),-0.150,-0.690
4,3:36,3,14,KAN 28,21,7,Samaje Perine left tackle for 11 yards (tackle by Jordan Hicks and Juan Thornhill),-0.690,-0.780
4,3:30,,,,,,Timeout #3 by Cleveland Browns,,
4,3:30,4,3,KAN 39,21,7,Matt Araiza punts 58 yards returned by James Proche for 9 yards (tackle by Jack Cochrane),-0.780,0.350
4,3:20,1,10,CLE 12,21,7,Dorian Thompson-Robinson pass incomplete deep left intended for Jerry Jeudy (defended by Joshua Williams),-0.350,-0.780
4,3:12,2,10,CLE 12,21,7,Dorian Thompson-Robinson pass complete short left to Jordan Akins for 11 yards (tackle by Joshua Williams),-0.780,0.480
4,2:45,1,10,CLE 23,21,7,Dorian Thompson-Robinson pass incomplete short left intended for Jordan Akins,0.480,-0.070
4,2:37,2,10,CLE 23,21,7,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 8 yards (tackle by Drue Tranquill),-0.070,0.300
4,2:11,3,2,CLE 31,21,7,Dorian Thompson-Robinson scrambles right end for 5 yards (tackle by Justin Reid),0.300,1.330
4,2:00,1,10,CLE 36,21,7,Dorian Thompson-Robinson pass incomplete short right,1.330,0.790
4,1:55,2,10,CLE 36,21,7,Dorian Thompson-Robinson scrambles right end for 9 yards (tackle by Nick Bolton),0.790,1.290
4,1:27,3,1,CLE 45,21,7,Dorian Thompson-Robinson pass deep right (defended by Justin Reid) intended for Blake Whiteheart is intercepted by Jaden Hicks at KC-35 and returned for 47 yards (tackle by Jack Conklin),1.290,-4.370
4,1:12,1,10,CLE 18,21,7,Carson Wentz kneels for -1 yards,4.370,3.670
4,0:41,2,11,CLE 19,21,7,Carson Wentz kneels for -1 yards,3.670,2.870
