Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
1,6:35,2,12,NWE 28,0,3,Drake Maye sacked by Baron Browning for -7 yards,0.120,-1.480
1,5:53,3,19,NWE 21,0,3,Drake Maye pass complete short middle to Demario Douglas for 7 yards. Demario Douglas fumbles (forced by Garrett Williams) recovered by Kendrick Bourne at NE-29 and returned for 3 yards (tackle by Kyzir White),-1.480,-1.240
1,5:09,4,8,NWE 32,0,3,Bryce Baringer punts 57 yards returned by Greg Dortch for 9 yards (tackle by Brenden Schooler),-1.240,-0.280
1,4:58,1,10,ARI 20,0,3,James Conner left tackle for 53 yards (tackle by Christian Elliss),0.280,3.780
1,4:14,1,10,NWE 27,0,3,Kyler Murray scrambles left end for 4 yards (tackle by Christian Elliss),3.780,3.770
1,3:31,2,6,NWE 23,0,3,Kyler Murray pass complete short middle to Tip Reiman for 5 yards (tackle by Jahlani Tavai),3.770,3.840
1,2:55,3,1,NWE 18,0,3,DeeJay Dallas up the middle for 3 yards (tackle by Sione Takitaki and Eric Johnson),3.840,4.580
1,2:11,,,,,,Timeout #1 by Arizona Cardinals,,
1,2:11,1,10,NWE 15,0,3,James Conner left tackle for 7 yards (tackle by Daniel Ekuale and Kyle Dugger),4.580,5.220
1,1:31,2,3,NWE 8,0,9,Greg Dortch left end for 6 yards. Greg Dortch fumbles (tackle by Jabrill Peppers recovered by Jonah Williams in end zone touchdown,5.220,7.000
1,1:21,,,NWE 15,0,10,Chad Ryland kicks extra point good,0.000,0.000
1,1:21,,,ARI 35,0,10,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,1:21,1,10,NWE 30,0,10,Drake Maye pass complete short right to Hunter Henry for 4 yards (tackle by Budda Baker),0.940,0.930
1,0:41,2,6,NWE 34,0,10,Drake Maye pass complete short right to Kendrick Bourne for -1 yards (tackle by Jalen Thompson),0.930,0.100
2,15:00,3,7,NWE 33,0,10,Drake Maye aborted snap recovered by Drake Maye at NE-28 and returned for -1 yards Drake Maye right end for -1 yards (tackle by Baron Browning and Zaven Collins),0.100,-1.240
2,14:31,4,8,NWE 32,0,10,Bryce Baringer punts 53 yards returned by Greg Dortch for 4 yards (tackle by Jaheim Bell),-1.240,-0.150
2,14:17,1,10,ARI 19,0,10,James Conner up the middle for 5 yards (tackle by Daniel Ekuale),0.150,0.340
2,13:31,2,5,ARI 24,0,10,Kyler Murray pass complete short right to Tip Reiman for 3 yards (tackle by Sione Takitaki),0.340,-0.030
2,12:48,3,2,ARI 27,0,10,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Jahlani Tavai),-0.030,1.000
2,12:10,1,10,ARI 31,0,10,Kyler Murray pass complete short right to Marvin Harrison for 9 yards (tackle by Alex Austin),1.000,1.680
2,11:23,2,1,ARI 40,0,10,Trey Benson up the middle for 2 yards (tackle by Yannick Ngakoue and Deatrich Wise),1.680,1.730
2,10:42,1,10,ARI 42,0,10,Kyler Murray pass incomplete deep right,1.730,1.190
2,10:27,2,10,ARI 42,0,10,Trey Benson up the middle for 4 yards (tackle by Deatrich Wise and Kyle Dugger),1.190,1.030
2,9:45,3,6,ARI 46,0,10,Kyler Murray pass incomplete deep left intended for Marvin Harrison,1.030,-0.320
2,9:40,4,6,ARI 46,0,10,Michael Palardy punts 54 yards touchback.,-0.320,-0.280
2,9:31,1,10,NWE 20,0,10,Rhamondre Stevenson left tackle for 5 yards (tackle by Kyzir White and Krys Barnes),0.280,0.410
2,8:56,2,5,NWE 25,0,10,Rhamondre Stevenson left tackle for 10 yards (tackle by Budda Baker),0.410,1.270
2,8:21,1,10,NWE 35,0,10,Drake Maye scrambles right end for 6 yards (tackle by L.J. Collier),1.270,1.530
2,7:41,2,4,NWE 41,0,10,Rhamondre Stevenson right tackle for 3 yards (tackle by Budda Baker and Kyzir White),1.530,1.220
2,6:56,3,1,NWE 44,0,10,Drake Maye sacked by Darius Robinson for no gain,1.220,-0.460
2,6:12,4,1,NWE 44,0,10,Rhamondre Stevenson left end for 2 yards (tackle by Kyzir White),-0.460,1.990
2,5:35,1,10,NWE 46,0,10,Drake Maye pass complete short left to Hunter Henry for 2 yards (tackle by Julian Okwara),1.990,1.720
2,5:03,2,8,NWE 48,0,10,Drake Maye pass complete short right to Marcus Jones for 18 yards (tackle by Jalen Thompson and Max Melton),1.720,3.310
2,4:17,1,10,ARI 34,0,10,Antonio Gibson left tackle for -1 yards (tackle by Max Melton),3.310,2.640
2,3:35,2,11,ARI 35,0,10,Antonio Gibson up the middle for -5 yards (tackle by Dadrion Taylor-Demerson),2.640,1.290
2,2:52,3,16,ARI 40,0,10,Drake Maye pass complete short left to Kendrick Bourne for 8 yards (tackle by Sean Murphy-Bunting),1.290,1.240
2,2:06,4,8,ARI 32,3,10,Joey Slye 50 yard field goal good,1.240,3.000
2,2:01,,,NWE 35,3,10,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,2:01,1,10,ARI 30,3,10,James Conner up the middle for 6 yards (tackle by Sione Takitaki and Christian Elliss),0.940,1.200
2,1:55,2,4,ARI 36,3,10,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Marcus Jones),1.200,1.660
2,1:36,1,10,ARI 41,3,10,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Christian Gonzalez),1.660,1.800
2,1:13,2,5,ARI 46,3,10,Kyler Murray pass complete short left to Trey McBride for no gain (tackle by Jahlani Tavai). Penalty on Trey McBride: Offensive Pass Interference 10 yards (accepted) (no play),1.800,0.450
2,1:07,2,15,ARI 36,3,10,Kyler Murray pass complete short right to Marvin Harrison for no gain (tackle by Christian Gonzalez). Penalty on Jonathan Jones: Defensive Holding 5 yards (accepted) (no play),0.450,1.660
2,1:01,1,10,ARI 41,3,10,Kyler Murray sacked by Keion White for no gain. Penalty on Hjalte Froholdt: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
2,0:55,1,20,ARI 31,3,10,Kyler Murray pass complete short right to Zay Jones for 3 yards (tackle by Jonathan Jones),1.000,0.180
2,0:50,2,17,ARI 34,3,10,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Jonathan Jones),0.180,0.300
2,0:46,3,11,ARI 40,3,10,Kyler Murray pass complete short left to Greg Dortch for 39 yards (tackle by Marcus Jones),0.300,4.170
2,0:36,1,10,NWE 21,3,10,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),4.170,3.630
2,0:32,2,10,NWE 21,3,10,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Marcus Jones),3.630,3.460
2,0:25,3,6,NWE 17,3,10,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),3.460,2.340
2,0:20,4,6,NWE 17,3,13,Chad Ryland 35 yard field goal good,2.340,3.000
2,0:16,,,ARI 35,3,13,Chad Ryland kicks off 68 yards returned by Jamycal Hasty for 24 yards (tackle by Owen Pappoe),0.000,0.340
2,0:12,1,10,NWE 21,3,13,Rhamondre Stevenson left tackle for 2 yards (tackle by Julian Okwara and Zaven Collins),0.340,0.070
3,15:00,,,NWE 35,3,13,Joey Slye kicks off 65 yards touchback.,0.000,0.940
