Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
2,9:44,3,8,WAS 49,7,0,Jayden Daniels pass complete short left to Jamison Crowder for 12 yards (tackle by Demario Davis),1.090,2.980
2,9:07,1,10,NOR 39,7,0,Jeremy McNichols left end for -1 yards (tackle by Kool-Aid McKinstry),2.980,2.300
2,8:28,2,11,NOR 40,7,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Demario Davis),2.300,2.810
2,7:42,3,2,NOR 31,7,0,Jayden Daniels scrambles right end for 2 yards (tackle by Pete Werner),2.810,3.640
2,6:55,1,10,NOR 29,7,0,Brian Robinson left end for 7 yards (tackle by Demario Davis and Will Harris),3.640,4.050
2,6:16,2,3,NOR 22,7,0,Jayden Daniels pass incomplete short left intended for Dyami Brown (defended by Ugo Amadi),4.050,3.340
2,6:12,3,3,NOR 22,7,0,Jayden Daniels pass complete short middle to Zach Ertz for 19 yards (tackle by Will Harris),3.340,6.510
2,5:43,1,3,NOR 3,13,0,Jayden Daniels pass complete short left to Terry McLaurin for 3 yards touchdown,6.510,7.000
2,5:38,,,NOR 15,14,0,Greg Joseph kicks extra point good,0.000,0.000
2,5:38,,,WAS 35,14,0,Greg Joseph kicks off 65 yards returned by Jamaal Williams for 30 yards (tackle by Jordan Magee),0.000,0.940
2,5:32,1,10,NOR 30,14,0,Jake Haener pass complete short right to Alvin Kamara for 3 yards (tackle by Jeremy Chinn),0.940,0.800
2,4:58,2,7,NOR 33,14,0,Alvin Kamara right tackle for 2 yards (tackle by Jalyn Holmes),0.800,0.370
2,4:25,3,5,NOR 35,14,0,Jake Haener sacked by Jeremy Chinn for -9 yards,0.370,-1.630
2,3:46,4,14,NOR 26,14,0,Matthew Hayball punts 47 yards returned by Jamison Crowder for 2 yards (tackle by Rico Payton),-1.630,-0.870
2,3:38,1,10,WAS 29,14,0,Brian Robinson left guard for 1 yard (tackle by Khalen Saunders and Carl Granderson),0.870,0.460
2,2:57,2,9,WAS 30,14,0,Jayden Daniels pass complete short middle to Brian Robinson for 8 yards (tackle by Pete Werner and Ugo Amadi),0.460,0.830
2,2:10,,,,,,Timeout #1 by Washington Commanders,,
2,2:10,3,1,WAS 38,14,0,Jayden Daniels right end for 2 yards (tackle by Demario Davis),0.830,1.600
2,2:00,1,10,WAS 40,14,0,Jayden Daniels sacked by Demario Davis for no gain,1.600,1.050
2,1:52,2,10,WAS 40,14,0,Jayden Daniels pass complete short left to Jeremy McNichols for no gain (tackle by Pete Werner),1.050,0.370
