Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2,7:48,1,10,CAR 44,7,0,Bryce Young pass complete short right to Adam Thielen for 5 yards,1.860,1.990
2,7:11,2,5,CAR 49,7,0,Chuba Hubbard left tackle for 2 yards (tackle by Mazi Smith),1.990,1.550
2,6:30,3,3,DAL 49,7,0,Bryce Young pass short middle (defended by Jourdan Lewis) intended for Adam Thielen is intercepted by Eric Kendricks at DAL-45 and returned for 7 yards (tackle by Robert Hunt),1.550,-2.390
2,6:19,1,10,CAR 48,7,0,Cooper Rush pass complete short right to Brevyn Spann-Ford for 2 yards (tackle by Michael Jackson),2.390,2.120
2,5:40,2,8,CAR 46,7,0,Rico Dowdle up the middle for 11 yards (tackle by Cam Gill),2.120,3.250
2,5:02,1,10,CAR 35,7,0,Rico Dowdle up the middle for 6 yards (tackle by Claudin Cherelus),3.250,3.510
2,4:20,2,4,CAR 29,7,0,Cooper Rush pass incomplete short middle intended for CeeDee Lamb,3.510,2.810
2,4:14,3,4,CAR 29,7,0,Penalty on Jalen Tolbert: False Start 5 yards (accepted) (no play),2.810,2.150
2,4:14,3,9,CAR 34,7,0,Cooper Rush pass incomplete short middle intended for CeeDee Lamb (defended by Josey Jewell),2.150,1.060
2,4:09,4,9,CAR 34,10,0,Brandon Aubrey 52 yard field goal good,1.060,3.000
2,4:05,,,DAL 35,10,0,Brandon Aubrey kicks off 61 yards returned by Deven Thompkins for 27 yards (tackle by Kemon Hall),0.000,1.000
2,3:57,1,10,CAR 31,10,0,Chuba Hubbard right end for -3 yards (tackle by Marist Liufau),1.000,0.060
2,3:18,2,13,CAR 28,10,0,Penalty on Robert Hunt: False Start 5 yards (accepted) (no play),0.060,-0.620
2,3:05,2,18,CAR 23,10,0,Bryce Young pass complete short middle to Adam Thielen for 4 yards (tackle by Eric Kendricks),-0.620,-0.760
2,2:57,,,,,,Timeout #1 by Dallas Cowboys,,
2,2:57,3,14,CAR 27,10,0,Bryce Young pass incomplete deep left intended for Xavier Legette (defended by DaRon Bland),-0.760,-1.570
2,2:46,4,14,CAR 27,10,0,Johnny Hekker punts 41 yards downed by J.J. Jansen,-1.570,-1.070
2,2:39,1,10,DAL 32,10,0,Cooper Rush pass complete short left to CeeDee Lamb for 8 yards (tackle by Michael Jackson),1.070,1.610
2,2:17,2,2,DAL 40,10,0,Rico Dowdle up the middle for 4 yards (tackle by Jaden Crumedy and A'Shawn Robinson),1.610,1.860
2,2:00,1,10,DAL 44,10,0,Cooper Rush pass incomplete short right intended for Jake Ferguson (defended by Jadeveon Clowney),1.860,1.320
2,1:57,2,10,DAL 44,10,0,Cooper Rush pass complete short middle to CeeDee Lamb for 6 yards (tackle by Xavier Woods). Penalty on Xavier Woods: Unnecessary Roughness / Defense 15 yards (accepted),1.320,3.250
