Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA
2,8:47,1,10,TAM 30,10,10,Baker Mayfield pass short middle intended for Mike Evans is intercepted by Tarheeb Still at TB-45 and returned for 18 yards (tackle by Cade Otton),0.940,-3.780
2,8:39,1,10,TAM 27,10,10,Gus Edwards left end for 7 yards (tackle by Joe Tryon-Shoyinka),3.780,4.180
2,7:57,2,3,TAM 20,10,10,Justin Herbert pass complete short middle to Stone Smartt for 7 yards (tackle by Lavonte David),4.180,4.710
2,7:18,1,10,TAM 13,10,16,Justin Herbert pass complete short right to Quentin Johnston for 13 yards touchdown,4.710,7.000
2,7:12,,,TAM 15,10,17,Cameron Dicker kicks extra point good,0.000,0.000
2,7:12,,,LAC 35,10,17,Cameron Dicker kicks off 67 yards returned by Sean Tucker for 37 yards (tackle by Nick Niemann),0.000,1.270
2,7:06,1,10,TAM 35,10,17,Rachaad White left guard for 5 yards (tackle by Troy Dye),1.270,1.400
2,6:20,2,5,TAM 40,10,17,Baker Mayfield pass complete short right to Jalen McMillan for 4 yards (tackle by Kristian Fulton),1.400,1.220
2,5:43,3,1,TAM 44,10,17,Rachaad White left tackle for 1 yard. Rachaad White fumbles (forced by Joey Bosa) recovered by Elijah Molden at LAC-49,1.220,-2.190
2,5:36,1,10,LAC 49,10,17,Justin Herbert pass incomplete deep left intended for Stone Smartt. Penalty on Zyon McCollum: Defensive Holding 5 yards (accepted) (no play),2.190,2.520
2,5:30,1,10,TAM 46,10,17,Gus Edwards right tackle for no gain (tackle by Lavonte David and YaYa Diaby),2.520,1.980
2,4:47,,,,,,Timeout #1 by Los Angeles Chargers,,
2,4:47,2,10,TAM 46,10,17,Justin Herbert pass incomplete short left intended for Quentin Johnston,1.980,1.290
2,4:45,3,10,TAM 46,10,17,Justin Herbert pass complete short right to Stone Smartt for 4 yards (tackle by Zyon McCollum),1.290,0.460
2,3:54,4,6,TAM 42,10,17,Penalty on LAC: Delay of Game 5 yards (declined),0.460,0.460
2,3:50,4,6,TAM 42,10,17,JK Scott punts 42 yards touchback.,0.460,-0.280
2,3:37,1,10,TAM 20,10,17,Bucky Irving right guard for 4 yards (tackle by Joey Bosa). Penalty on Cam Hart: Illegal Use of Hands / Defense 5 yards (accepted),0.280,0.870
2,3:10,1,10,TAM 29,10,17,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by Derwin James),0.870,1.540
2,2:38,2,1,TAM 38,10,17,Baker Mayfield sacked by Troy Dye for -5 yards,1.540,0.170
2,2:00,3,6,TAM 33,10,17,Baker Mayfield pass complete short middle to Mike Evans for 8 yards (tackle by Cam Hart),0.170,1.660
2,1:36,1,10,TAM 41,10,17,Baker Mayfield pass complete short right to Jalen McMillan for 5 yards (tackle by Kristian Fulton),1.660,1.800
2,1:35,2,5,TAM 46,10,17,Baker Mayfield pass incomplete short middle intended for Jalen McMillan (defended by Daiyan Henley),1.800,1.090
2,1:32,3,5,TAM 46,10,17,Baker Mayfield scrambles right end for 21 yards (tackle by Marcus Maye),1.090,3.380
2,1:24,1,10,LAC 33,10,17,Rachaad White up the middle for 11 yards (tackle by Daiyan Henley and Tarheeb Still),3.380,4.110
2,0:59,1,10,LAC 22,10,17,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Cam Hart),4.110,3.560
2,0:55,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:55,2,10,LAC 22,10,17,Baker Mayfield pass complete short middle to Mike Evans for 3 yards (tackle by Derwin James and Ja'Sir Taylor),3.560,3.260
2,0:45,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:45,3,7,LAC 19,10,17,Baker Mayfield pass incomplete short left,3.260,2.180
2,0:37,4,7,LAC 19,13,17,Chase McLaughlin 37 yard field goal good,2.180,3.000
2,0:33,,,TAM 35,13,17,Jack Browning kicks off 66 yards returned by Derius Davis for 27 yards (tackle by Josh Hayes),0.000,0.670
2,0:28,1,10,LAC 26,13,17,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Zyon McCollum),0.670,0.810
2,0:24,2,5,LAC 31,13,17,Justin Herbert sacked by Logan Hall for -5 yards,0.810,-0.560
3,15:00,,,TAM 35,13,17,Jack Browning kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAC 30,13,17,Gus Edwards right tackle for 3 yards (tackle by Lavonte David),0.940,0.800
3,14:21,2,7,LAC 33,13,17,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by Jamel Dean),0.800,0.500
3,13:38,3,4,LAC 36,13,17,Justin Herbert pass incomplete deep left intended for Stone Smartt,0.500,-0.980
3,13:31,4,4,LAC 36,13,17,JK Scott punts 57 yards returned by Trey Palmer for 10 yards (tackle by Deane Leonard),-0.980,0.060
3,13:17,1,10,TAM 17,13,17,Bucky Irving up the middle for 6 yards (tackle by Tarheeb Still),-0.060,0.350
3,12:41,2,4,TAM 23,13,17,Bucky Irving up the middle for 5 yards (tackle by Troy Dye and Khalil Mack),0.350,0.810
3,12:02,1,10,TAM 28,13,17,Bucky Irving left end for 18 yards (tackle by Elijah Molden),0.810,1.990
3,11:21,1,10,TAM 46,13,17,Baker Mayfield pass complete short right to Bucky Irving for -3 yards (tackle by Poona Ford),1.990,1.050
3,10:35,2,13,TAM 43,19,17,Baker Mayfield pass complete deep left to Mike Evans for 57 yards touchdown,1.050,7.000
3,10:23,,,LAC 15,20,17,Chase McLaughlin kicks extra point good,0.000,0.000
3,10:23,,,TAM 35,20,17,Jack Browning kicks off 66 yards returned by Derius Davis for 30 yards (tackle by Tyrek Funderburk),0.000,0.870
3,10:17,1,10,LAC 29,20,17,Justin Herbert pass incomplete short right intended for Josh Palmer,0.870,0.330
3,10:12,2,10,LAC 29,20,17,Justin Herbert pass complete short middle to Kimani Vidal for 10 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),0.330,1.530
3,9:34,1,10,LAC 39,20,17,Kimani Vidal left guard for no gain (tackle by Joe Tryon-Shoyinka),1.530,0.990
3,8:53,2,10,LAC 39,20,17,Justin Herbert pass complete short left to Quentin Johnston for 4 yards (tackle by Jamel Dean),0.990,0.830
3,8:10,3,6,LAC 43,20,17,Justin Herbert pass incomplete short right,0.830,-0.520
