Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
3,15:00,1,10,MIN 30,0,13,Aaron Jones left tackle for no gain (tackle by Tyrique Stevenson and Jonathan Owens). Penalty on Josh Oliver: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
3,14:36,1,20,MIN 20,0,13,Sam Darnold pass complete short middle to Justin Jefferson for 5 yards (tackle by T.J. Edwards),0.280,-0.280
3,14:09,2,15,MIN 25,0,13,Sam Darnold pass incomplete deep middle intended for T.J. Hockenson (defended by Kevin Byard),-0.280,-0.960
3,14:03,3,15,MIN 25,0,13,Sam Darnold pass incomplete short left intended for Jalen Nailor,-0.960,-1.700
3,13:59,4,15,MIN 25,0,13,Penalty on Dallas Turner: False Start 5 yards (accepted) (no play),-1.700,-2.030
3,13:59,4,20,MIN 20,0,13,Ryan Wright punts 55 yards returned by Josh Blackwell for 5 yards (tackle by Ty Chandler). Penalty on Terell Smith: Offensive Illegal Block Above the Waist 10 yards (accepted),-2.030,-0.280
3,13:47,1,10,CHI 20,0,13,Caleb Williams pass incomplete short left. Penalty on Teven Jenkins: Offensive Holding 10 yards (accepted) (no play),0.280,-0.760
3,13:39,1,20,CHI 10,0,13,Caleb Williams pass complete short left to D.J. Moore for 6 yards (tackle by Jonathan Greenard),-0.760,-0.940
3,12:59,2,14,CHI 16,0,13,Caleb Williams pass complete deep right to Keenan Allen for 26 yards (tackle by Shaquill Griffin),-0.940,1.730
3,12:25,1,10,CHI 42,0,13,Caleb Williams pass incomplete short right intended for Keenan Allen,1.730,1.190
3,12:24,2,10,CHI 42,0,13,Caleb Williams pass complete short left to D.J. Moore for 2 yards (tackle by Andrew Van Ginkel),1.190,0.760
3,11:57,3,8,CHI 44,0,13,Caleb Williams pass incomplete short left intended for Keenan Allen,0.760,-0.460
3,11:53,4,8,CHI 44,0,13,Tory Taylor punts 51 yards downed by Tarvarius Moore,-0.460,0.380
3,11:39,1,10,MIN 5,0,13,Sam Darnold pass incomplete short right intended for Johnny Mundt (defended by Darrell Taylor),-0.380,-0.780
3,11:35,2,10,MIN 5,0,13,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Tyrique Stevenson),-0.780,-0.600
3,10:55,3,3,MIN 12,0,13,Sam Darnold pass incomplete deep right intended for Justin Jefferson,-0.600,-2.490
3,10:49,4,3,MIN 12,0,13,Ryan Wright punts 49 yards returned by Josh Blackwell for 3 yards (tackle by Trent Sherfield),-2.490,-1.730
3,10:40,1,10,CHI 42,0,13,D'Andre Swift left tackle for 1 yard (tackle by Andrew Van Ginkel and Patrick Jones),1.730,1.320
3,9:51,2,9,CHI 43,0,13,Caleb Williams pass complete short right to Rome Odunze for 29 yards (tackle by Josh Metellus). Penalty on Andrew Van Ginkel: Defensive Offside 5 yards (declined) . Penalty on Jonathan Greenard: Defensive Offside 5 yards (declined),1.320,3.710
3,9:44,1,10,MIN 28,0,13,Caleb Williams pass incomplete deep left intended for Keenan Allen,3.710,3.170
3,9:31,2,10,MIN 28,0,13,D'Andre Swift left guard for 10 yards (tackle by Josh Metellus),3.170,4.370
3,9:05,1,10,MIN 18,0,13,D'Andre Swift left end for 17 yards (tackle by Harrison Smith),4.370,6.970
3,8:26,1,1,MIN 1,0,13,D'Andre Swift left tackle for no gain touchdown. Penalty on Doug Kramer: Illegal Substitution 5 yards (accepted) (no play),6.970,5.830
3,8:19,1,6,MIN 6,0,13,D'Andre Swift right end for 5 yards (tackle by Blake Cashman),5.830,5.910
3,7:38,2,1,MIN 1,0,13,D'Andre Swift left guard for no gain (tackle by Josh Metellus). Penalty on Kiran Amegadjie: Offensive Holding 10 yards (accepted) (no play),5.910,4.020
3,7:19,2,11,MIN 11,0,13,Caleb Williams pass incomplete short middle intended for Rome Odunze,4.020,3.120
3,7:12,3,11,MIN 11,0,13,Caleb Williams pass incomplete short right intended for Rome Odunze,3.120,2.700
3,7:05,4,11,MIN 11,3,13,Cairo Santos 29 yard field goal good,2.700,3.000
3,7:02,,,CHI 35,3,13,Cairo Santos kicks off 65 yards returned by Ty Chandler for 30 yards (tackle by Amen Ogbongbemiga and Terell Smith),0.000,0.940
3,6:56,1,10,MIN 30,3,13,Sam Darnold pass complete short right to Josh Oliver for no gain (tackle by Kevin Byard and T.J. Edwards). Penalty on Blake Brandel: Illegal Use of Hands / Offense 10 yards (accepted) (no play),0.940,0.280
3,6:34,1,20,MIN 20,3,13,Aaron Jones left guard for 4 yards (tackle by Zacch Pickens),0.280,-0.420
3,6:12,2,16,MIN 24,3,13,Sam Darnold pass complete short left to T.J. Hockenson for 13 yards (tackle by Jaylon Johnson and Tremaine Edmunds),-0.420,0.630
3,5:30,3,3,MIN 37,3,13,Sam Darnold pass complete short middle to T.J. Hockenson for 4 yards (tackle by Tremaine Edmunds),0.630,1.660
3,4:57,1,10,MIN 41,3,13,Aaron Jones right guard for 3 yards (tackle by Austin Booker),1.660,1.530
3,4:22,2,7,MIN 44,3,13,Sam Darnold pass incomplete short right intended for Jordan Addison,1.530,0.830
3,4:16,3,7,MIN 44,3,13,Sam Darnold pass incomplete short middle intended for T.J. Hockenson. Penalty on Kevin Byard: Defensive Pass Interference 8 yards (accepted) (no play),0.830,2.390
3,4:12,1,10,CHI 48,3,13,Aaron Jones left guard for 8 yards (tackle by Jonathan Owens),2.390,2.930
3,3:52,2,2,CHI 40,3,13,Aaron Jones up the middle for 9 yards (tackle by Kevin Byard),2.930,3.510
3,3:07,1,10,CHI 31,3,13,Sam Darnold pass incomplete short right intended for Justin Jefferson,3.510,2.970
3,3:00,2,10,CHI 31,3,13,Aaron Jones right end for 14 yards (tackle by Dominique Robinson),2.970,4.440
3,2:46,1,10,CHI 17,3,13,Aaron Jones left end for -1 yards (tackle by T.J. Edwards),4.440,3.720
3,2:07,2,11,CHI 18,3,13,Sam Darnold pass complete deep left to Justin Jefferson for 17 yards (tackle by Jonathan Owens),3.720,6.970
3,1:40,1,1,CHI 1,3,19,Aaron Jones right tackle for 1 yard touchdown,6.970,7.000
3,1:38,,,CHI 15,3,20,Will Reichard kicks extra point good,0.000,0.000
3,1:38,,,MIN 35,3,20,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,1:38,1,10,CHI 30,3,20,Penalty on Jamin Davis: Neutral Zone Infraction 5 yards (accepted) (no play),0.940,1.670
3,1:38,1,5,CHI 35,3,20,D'Andre Swift left guard for 8 yards (tackle by Harrison Smith),1.670,1.800
3,1:13,1,10,CHI 43,3,20,Caleb Williams pass complete short right to D.J. Moore for 9 yards (tackle by Blake Cashman and Josh Metellus),1.800,2.470
3,0:47,2,1,MIN 48,3,20,D'Andre Swift left guard for 5 yards (tackle by Josh Metellus),2.470,2.720
3,0:15,1,10,MIN 43,3,20,Caleb Williams pass complete short middle to D.J. Moore for 6 yards (tackle by Jamin Davis),2.720,2.990
4,15:00,2,4,MIN 37,3,20,D'Andre Swift up the middle for 1 yard (tackle by Jonathan Greenard and Jonathan Bullard),2.990,2.410
4,14:34,3,3,MIN 36,3,20,Caleb Williams pass complete deep right to Keenan Allen for 20 yards,2.410,4.510
4,14:08,1,10,MIN 16,3,20,D'Andre Swift right guard for no gain (tackle by Josh Metellus),4.510,3.900
4,13:23,2,10,MIN 16,3,20,Caleb Williams pass incomplete deep right intended for Rome Odunze,3.900,3.080
4,13:18,3,10,MIN 16,3,20,Penalty on Kiran Amegadjie: False Start 5 yards (accepted) (no play),3.080,2.610
4,13:18,3,15,MIN 21,3,20,Caleb Williams pass incomplete deep right intended for Keenan Allen (defended by Harrison Smith). Penalty on Kiran Amegadjie: Ineligible Downfield Pass 5 yards (declined),2.610,2.060
4,13:04,4,15,MIN 21,6,20,Cairo Santos 39 yard field goal good,2.060,3.000
4,13:00,,,CHI 35,6,20,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
4,13:00,1,10,MIN 30,6,20,Sam Darnold pass complete short right to Justin Jefferson for 21 yards (tackle by Jack Sanborn),0.940,2.320
4,12:30,1,10,CHI 49,6,20,Cam Akers left guard for 4 yards (tackle by Tyrique Stevenson),2.320,2.320
4,11:47,2,6,CHI 45,6,20,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by T.J. Edwards),2.320,2.280
4,11:19,3,1,CHI 40,6,20,Cam Akers right tackle for 1 yard (tackle by Tremaine Edmunds),2.280,2.980
4,10:55,1,10,CHI 39,6,20,Sam Darnold pass complete short left to Justin Jefferson for 8 yards,2.980,3.520
4,10:30,2,2,CHI 31,6,20,Sam Darnold pass deep right is intercepted by Tyrique Stevenson in end zone and returned for no gain Penalty on Montez Sweat: Roughing the Passer 15 yards (declined) . Penalty on Montez Sweat: Roughing the Passer 15 yards (declined) . Penalty on Tyrique Stevenson: Defensive Pass Interference 30 yards (accepted) (no play),3.520,6.970
4,10:26,1,1,CHI 1,6,20,Sam Darnold pass incomplete short right,6.970,5.910
4,10:19,2,1,CHI 1,6,26,Cam Akers right tackle for 1 yard touchdown,5.910,7.000
4,10:14,,,CHI 15,6,27,Will Reichard kicks extra point good,0.000,0.000
4,10:14,,,MIN 35,6,27,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,10:14,1,10,CHI 30,6,27,Caleb Williams pass complete short right to D.J. Moore for 5 yards (tackle by Fabian Moreau),0.940,1.070
4,9:39,2,5,CHI 35,6,27,Caleb Williams pass complete short left to D.J. Moore for 2 yards (tackle by Josh Metellus),1.070,0.630
4,8:57,3,3,CHI 37,6,27,Caleb Williams sacked by Dallas Turner for -9 yards,0.630,-1.500
4,8:19,4,12,CHI 28,6,27,Tory Taylor punts 43 yards returned by Brandon Powell for 11 yards (tackle by Josh Blackwell),-1.500,-1.600
4,8:06,1,10,MIN 40,6,27,Aaron Jones left end for 3 yards (tackle by Jonathan Owens and T.J. Edwards),1.600,1.460
4,7:19,2,7,MIN 43,6,27,Aaron Jones left end for 9 yards (tackle by Jonathan Owens and Jonathan Ford),1.460,2.390
4,6:35,1,10,CHI 48,6,27,Aaron Jones right guard for 5 yards (tackle by Kevin Byard and Jonathan Ford),2.390,2.520
4,6:29,,,,,,Timeout #1 by Chicago Bears,,
4,6:29,2,5,CHI 43,6,27,Aaron Jones up the middle for 2 yards (tackle by Montez Sweat and Zacch Pickens),2.520,2.080
4,6:23,,,,,,Timeout #2 by Chicago Bears,,
4,6:23,3,3,CHI 41,6,27,Penalty on Cam Robinson: False Start 5 yards (accepted) (no play),2.080,1.420
4,6:23,3,8,CHI 46,6,27,Sam Darnold sacked by T.J. Edwards for -8 yards,1.420,-0.320
4,6:17,,,,,,Timeout #3 by Chicago Bears,,
4,6:17,4,16,MIN 46,6,27,Ryan Wright punts blocked by Dominique Robinson,-0.320,-3.780
4,6:13,1,10,MIN 27,6,27,Caleb Williams pass incomplete short right intended for Keenan Allen (defended by Jay Ward),3.780,3.230
4,6:09,2,10,MIN 27,6,27,Caleb Williams pass complete short middle to Keenan Allen for 11 yards (tackle by Camryn Bynum),3.230,4.510
4,5:39,1,10,MIN 16,6,27,Caleb Williams pass incomplete short right intended for Keenan Allen (defended by Dwight McGlothern),4.510,3.900
4,5:34,2,10,MIN 16,6,27,Caleb Williams pass incomplete deep middle intended for Rome Odunze,3.900,3.080
4,5:29,3,10,MIN 16,6,27,Caleb Williams pass incomplete deep right intended for Keenan Allen,3.080,2.380
4,5:24,4,10,MIN 16,12,27,Caleb Williams pass complete deep left to Keenan Allen for 16 yards touchdown,2.380,7.000
4,5:19,,,MIN 15,12,27,Penalty on MIN: Defensive Too Many Men on Field 1 yard (accepted) (no play),0.000,1.000
4,5:19,1,1,MIN 2,12,27,Two Point Attempt: Caleb Williams pass incomplete intended for intended for D.J. Moore,1.000,-1.000
4,5:19,,,CHI 35,12,27,Cairo Santos kicks onside 7 yards returned by Josh Oliver for no gain,0.000,2.790
4,5:18,1,10,CHI 42,12,27,Cam Akers right tackle for 5 yards (tackle by Byron Cowart and Zacch Pickens),2.790,2.920
4,4:38,2,5,CHI 37,12,27,Cam Akers left guard for -1 yards (tackle by Montez Sweat and Zacch Pickens),2.920,2.080
4,3:56,3,6,CHI 38,12,27,Sam Darnold pass complete short right to Trent Sherfield for 6 yards (tackle by Tyrique Stevenson),2.080,3.450
4,3:12,1,10,CHI 32,12,27,Cam Akers left end for -2 yards (tackle by Jaylon Johnson),3.450,2.630
4,2:23,2,12,CHI 34,12,27,Cam Akers left tackle for 2 yards (tackle by Dominique Robinson and Elijah Hicks),2.630,2.210
4,2:00,3,10,CHI 32,12,27,Ty Chandler up the middle for 4 yards (tackle by Austin Booker and T.J. Edwards),2.210,1.610
4,1:16,,,,,,Timeout #1 by Minnesota Vikings,,
4,1:16,4,6,CHI 28,12,30,Will Reichard 46 yard field goal good,1.610,3.000
4,1:12,,,MIN 35,12,30,Will Reichard kicks off 65 yards touchback.,0.000,0.940
4,1:12,1,10,CHI 30,12,30,Travis Homer right end for 1 yard (tackle by Kamu Grugier-Hill and Bo Richter),0.940,0.530
4,0:31,2,9,CHI 31,12,30,Tyson Bagent pass complete short left to Tyler Scott for 5 yards (tackle by Fabian Moreau),0.530,0.500
4,0:25,3,4,CHI 36,12,30,Travis Homer up the middle for 2 yards (tackle by Jalen Redmond and Bo Richter),0.500,-0.850
