Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
2,1:53,3,1,DET 1,21,14,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),5.170,4.040
2,1:53,3,6,DET 6,21,14,Josh Allen pass incomplete short middle intended for Mack Hollins (defended by Brian Branch),4.040,2.990
2,1:47,,,,,,Timeout #2 by Detroit Lions,,
2,1:47,4,6,DET 6,21,14,Tyler Bass 24 yard field goal no good,2.990,-0.280
2,1:43,1,10,DET 20,21,14,Jared Goff pass complete short middle to Sam LaPorta for 22 yards (tackle by Kaiir Elam),0.280,1.730
2,1:21,1,10,DET 42,21,14,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards (tackle by Taron Johnson),1.730,2.270
2,1:16,2,2,DET 50,21,14,Jared Goff pass complete short middle to Amon-Ra St. Brown for 16 yards (tackle by Cole Bishop),2.270,3.310
2,0:55,1,10,BUF 34,21,14,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,3.310,2.770
2,0:51,2,10,BUF 34,21,14,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Taron Johnson),2.770,2.080
2,0:46,3,10,BUF 34,21,14,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,2.080,1.060
2,0:42,4,10,BUF 34,21,14,Jake Bates 52 yard field goal no good,1.060,-1.730
2,0:36,1,10,BUF 42,21,14,Josh Allen pass incomplete short right. Penalty on Josh Allen: Intentional Grounding 11 yards (accepted),1.730,-0.300
2,0:21,2,21,BUF 31,21,14,Josh Allen pass complete short middle to Dalton Kincaid for 15 yards (tackle by Ben Niemann),-0.300,1.030
2,0:12,,,,,,Timeout #2 by Buffalo Bills,,
2,0:12,3,6,BUF 46,21,14,Josh Allen pass complete short left to Khalil Shakir for 6 yards (tackle by Brian Branch),1.030,2.390
2,0:08,1,10,DET 48,21,14,Josh Allen pass incomplete deep left intended for Dalton Kincaid,2.390,1.850
2,0:02,2,10,DET 48,21,14,Josh Allen pass complete short right to Khalil Shakir for 7 yards (tackle by Zeke Turner),1.850,2.080
3,15:00,,,DET 35,21,14,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BUF 30,21,14,Ty Johnson up the middle for 4 yards (tackle by Jack Campbell),0.940,0.930
3,14:20,2,6,BUF 34,21,14,Josh Allen pass complete deep right to Ty Johnson for 19 yards (tackle by Kerby Joseph). Penalty on Kindle Vildor: Defensive Holding 5 yards (declined),0.930,2.460
3,13:56,1,10,DET 47,21,14,James Cook up the middle for 6 yards (tackle by Jack Campbell),2.460,2.720
3,13:20,2,4,DET 41,27,14,James Cook left tackle for 41 yards touchdown,2.720,7.000
