Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
2,8:37,2,5,SEA 30,17,3,Kenny McIntosh right end for 1 yard (tackle by Brenton Cox),0.740,0.170
2,7:59,3,4,SEA 31,17,3,Geno Smith pass complete short middle to Jake Bobo for 8 yards (tackle by Keisean Nixon),0.170,1.530
2,7:16,1,10,SEA 39,17,3,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Eric Stokes),1.530,1.660
2,6:47,2,5,SEA 44,17,3,Zach Charbonnet right end for 3 yards (tackle by Rashan Gary),1.660,1.360
2,6:04,3,2,SEA 47,17,3,Geno Smith pass incomplete deep right intended for Zach Charbonnet. Penalty on Keisean Nixon: Defensive Holding 5 yards (accepted) (no play),1.360,2.390
2,6:04,1,10,GNB 48,17,3,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 18 yards (tackle by Evan Williams),2.390,3.580
2,5:23,1,10,GNB 30,17,3,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 2 yards (tackle by Carrington Valentine),3.580,3.300
2,4:45,2,8,GNB 28,17,3,Geno Smith pass complete short left to Noah Fant for 5 yards (tackle by Xavier McKinney),3.300,3.270
2,4:05,3,3,GNB 23,17,3,Geno Smith scrambles up the middle for 5 yards (tackle by Quay Walker). Penalty on Keisean Nixon: Defensive Holding 5 yards (accepted),3.270,4.710
2,3:42,1,10,GNB 13,17,3,Geno Smith pass complete short left to Jaxon Smith-Njigba for 1 yard (tackle by Edgerrin Cooper and Keisean Nixon),4.710,4.220
2,3:12,2,9,GNB 12,17,3,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Carrington Valentine),4.220,3.280
2,3:07,3,9,GNB 12,17,3,Geno Smith pass deep left intended for Noah Fant is intercepted by Carrington Valentine in end zone and returned for 20 yards (tackle by Jaxon Smith-Njigba),3.280,0.280
2,2:54,1,10,GNB 14,17,3,Josh Jacobs right guard for no gain (tackle by Tyrice Knight). Penalty on Josh Myers: Offensive Holding 7 yards (accepted) (no play),-0.280,-0.650
2,2:41,1,17,GNB 7,17,3,Josh Jacobs up the middle for 5 yards (tackle by Jarran Reed and Ernest Jones),-0.650,-0.930
2,2:18,,,,,,Timeout #1 by Seattle Seahawks,,
2,2:18,2,12,GNB 12,17,3,Jordan Love pass complete deep middle to Tucker Kraft for 26 yards (tackle by Julian Love). Penalty on Leonard Williams: Defensive Offside 5 yards (declined),-0.930,1.470
2,2:00,1,10,GNB 38,17,3,Josh Jacobs up the middle for 9 yards (tackle by Julian Love),1.470,2.140
