Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
2,13:53,4,15,PIT 25,3,10,Corliss Waitman punts 43 yards returned by Cooper DeJean for 23 yards (tackle by Jeremiah Moon and Payton Wilson),-1.700,-2.590
2,13:40,1,10,PIT 45,3,10,Saquon Barkley right tackle for no gain (tackle by Patrick Queen),2.590,2.040
2,13:06,2,10,PIT 45,3,10,Saquon Barkley up the middle for 3 yards (tackle by Patrick Queen),2.040,1.750
2,12:33,3,7,PIT 42,3,10,Jalen Hurts pass complete short left to A.J. Brown for 17 yards (tackle by Damontae Kazee),1.750,3.910
2,12:00,1,10,PIT 25,3,10,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Joey Porter),3.910,3.360
2,11:54,2,10,PIT 25,3,10,Jalen Hurts pass complete short left to DeVonta Smith for 7 yards (tackle by Joey Porter),3.360,3.660
2,11:14,3,3,PIT 18,3,10,Jalen Hurts pass complete short right to Kenneth Gainwell for 16 yards (tackle by Damontae Kazee),3.660,6.740
2,10:37,1,2,PIT 2,3,10,Jalen Hurts up the middle for no gain (tackle by Alex Highsmith and Keeanu Benton),6.740,5.720
2,9:52,,,,,,Timeout #1 by Philadelphia Eagles,,
2,9:52,2,2,PIT 2,3,10,Jalen Hurts right tackle for no gain (tackle by Patrick Queen and Damontae Kazee),5.720,4.950
2,9:11,3,2,PIT 2,3,16,Jalen Hurts pass complete short middle to DeVonta Smith for 2 yards touchdown,4.950,7.000
2,9:07,,,PIT 15,3,17,Jake Elliott kicks extra point good,0.000,0.000
2,9:07,,,PHI 35,3,17,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,9:07,1,10,PIT 30,3,17,Russell Wilson pass complete short left to Ben Skowronek for 17 yards (tackle by Nakobe Dean),0.940,2.060
2,8:27,1,10,PIT 47,3,17,Justin Fields left end for 8 yards (tackle by Reed Blankenship). Penalty on Reed Blankenship: Unnecessary Roughness / Defense 15 yards (accepted),2.060,3.580
2,8:04,1,10,PHI 30,3,17,Jaylen Warren left tackle for 4 yards (tackle by Jalyx Hunt),3.580,3.570
2,7:22,2,6,PHI 26,3,17,Najee Harris up the middle for 4 yards (tackle by Moro Ojomo and Nakobe Dean),3.570,3.400
2,6:36,3,2,PHI 22,3,17,Russell Wilson scrambles right end for 3 yards (tackle by Nakobe Dean),3.400,4.310
2,5:54,1,10,PHI 19,3,17,Jaylen Warren right guard for 1 yard (tackle by Jalen Carter),4.310,3.880
2,5:23,2,9,PHI 18,3,17,Russell Wilson scrambles right guard for 8 yards (tackle by Zack Baun),3.880,4.690
2,4:48,3,1,PHI 10,3,17,Russell Wilson up the middle for 2 yards (tackle by Nakobe Dean),4.690,5.370
2,4:09,1,8,PHI 8,3,17,Najee Harris right tackle for -1 yards (tackle by C.J. Gardner-Johnson),5.370,4.380
2,3:27,2,9,PHI 9,3,17,Russell Wilson pass complete short left to Van Jefferson for no gain (tackle by Cooper DeJean),4.380,3.360
2,2:40,3,9,PHI 9,9,17,Russell Wilson pass complete short right to Pat Freiermuth for 9 yards touchdown,3.360,7.000
2,2:34,,,PHI 15,10,17,Chris Boswell kicks extra point good,0.000,0.000
2,2:34,,,PIT 35,10,17,Chris Boswell kicks off 66 yards returned by Kenneth Gainwell for 31 yards (tackle by Miles Killebrew),0.000,0.940
2,2:28,1,10,PHI 30,10,17,Kenneth Gainwell left guard for 3 yards (tackle by Alex Highsmith),0.940,0.800
2,2:22,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,2:22,2,7,PHI 33,10,17,Jalen Hurts sacked by T.J. Watt for no gain,0.800,0.100
2,2:00,3,7,PHI 33,10,17,Penalty on Lane Johnson: False Start 5 yards (accepted) (no play),0.100,-0.560
2,2:00,3,12,PHI 28,10,17,Jalen Hurts sacked by T.J. Watt for -12 yards,-0.560,-2.390
2,1:29,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:29,4,24,PHI 16,10,17,Braden Mann punts 29 yards downed by Jalyx Hunt,-2.390,-2.590
2,1:17,1,10,PHI 45,10,17,Russell Wilson pass complete short right to Pat Freiermuth for 12 yards. Pat Freiermuth fumbles (forced by Nakobe Dean) recovered by Pat Freiermuth at PHI-33,2.590,3.380
2,1:00,1,10,PHI 33,10,17,Russell Wilson pass complete short right to Pat Freiermuth for 6 yards (tackle by Zack Baun) Replay Assistant challenged the pass completion ruling and the original play was overturned. Russell Wilson pass incomplete short right intended for Pat Freiermuth,3.380,2.840
2,0:56,2,10,PHI 33,10,17,Russell Wilson sacked by Nolan Smith for -10 yards,2.840,0.830
2,0:48,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:48,3,20,PHI 43,10,17,Russell Wilson pass complete short middle to Calvin Austin for 12 yards (tackle by C.J. Gardner-Johnson),0.830,1.320
2,0:42,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:42,4,8,PHI 31,13,17,Chris Boswell 49 yard field goal good,1.320,3.000
2,0:37,,,PIT 35,13,17,Chris Boswell kicks off 62 yards returned by Kenneth Gainwell for 32 yards (tackle by Ben Skowronek and Jeremiah Moon),0.000,1.270
2,0:28,1,10,PHI 35,13,17,Jalen Hurts sacked by Alex Highsmith for -8 yards,1.270,-0.360
3,15:00,,,PIT 35,13,17,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PHI 30,13,17,Saquon Barkley left guard for 2 yards (tackle by T.J. Watt and Keeanu Benton),0.940,0.660
3,14:35,2,8,PHI 32,13,17,Jalen Hurts scrambles left end for 9 yards (tackle by Joey Porter),0.660,1.660
3,13:57,1,10,PHI 41,13,17,Saquon Barkley left end for 3 yards (tackle by Elandon Roberts),1.660,1.530
3,13:15,2,7,PHI 44,13,17,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by James Pierre),1.530,2.390
