Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
2,12:42,3,1,TEN 50,7,14,Will Levis up the middle for 2 yards (tackle by Kris Jenkins),1.620,2.390
2,12:05,1,10,CIN 48,7,14,Will Levis pass complete short left to Tyler Boyd for -1 yards (tackle by Mike Hilton),2.390,1.710
2,11:36,2,11,CIN 49,7,14,Will Levis pass complete short middle to Calvin Ridley for 16 yards (tackle by Marco Wilson),1.710,3.380
2,10:53,1,10,CIN 33,7,14,Tyjae Spears right end for -3 yards (tackle by Germaine Pratt),3.380,2.430
2,10:13,2,13,CIN 36,7,14,Will Levis pass incomplete short right intended for Tyjae Spears,2.430,1.750
2,10:08,3,13,CIN 36,7,14,Will Levis up the middle for -3 yards (tackle by Trey Hendrickson) CIN challenged the fumble ruling and the original play was overturned. Will Levis up the middle for -2 yards. Will Levis fumbles (forced by Trey Hendrickson) recovered by Maema Njongmeta at CIN-38 (tackle by Trey Hendrickson),1.750,-1.470
2,10:05,1,10,CIN 38,7,14,Chase Brown right tackle for 7 yards (tackle by Luke Gifford),1.470,1.870
2,9:27,2,3,CIN 45,7,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 18 yards (tackle by Luke Gifford),1.870,3.120
2,8:49,1,10,TEN 37,7,14,Chase Brown left tackle for 4 yards (tackle by Amani Hooker and Jarvis Brownlee),3.120,3.110
2,8:29,2,6,TEN 33,7,14,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Chidobe Awuzie) (no play),3.110,3.790
2,8:25,2,1,TEN 28,7,14,Chase Brown right guard for 4 yards (tackle by Jeffery Simmons and Luke Gifford),3.790,3.970
2,7:46,1,10,TEN 24,7,14,Joe Burrow pass complete short right to Tee Higgins for 8 yards (tackle by Luke Gifford),3.970,4.650
2,7:08,2,2,TEN 16,7,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Darrell Baker),4.650,4.910
2,6:34,1,10,TEN 10,7,14,Chase Brown up the middle for -3 yards (tackle by Jeffery Simmons),4.910,3.720
2,5:54,2,13,TEN 13,7,14,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Luke Gifford),3.720,4.950
2,5:18,3,2,TEN 2,13,14,Joe Burrow pass complete short left to Sam Hubbard for 2 yards touchdown,4.950,7.000
2,5:13,,,TEN 15,14,14,Cade York kicks extra point good,0.000,0.000
2,5:13,,,CIN 35,14,14,Cade York kicks off 65 yards touchback.,0.000,0.940
2,5:13,1,10,TEN 30,14,14,Will Levis pass complete short right to Nick Vannett for 7 yards (tackle by Geno Stone and Germaine Pratt),0.940,1.340
2,4:36,2,3,TEN 37,14,14,Tony Pollard up the middle for 4 yards (tackle by Joseph Ossai),1.340,1.660
2,3:54,1,10,TEN 41,14,14,Tony Pollard left guard for -4 yards (tackle by Mike Hilton),1.660,0.580
2,3:14,2,14,TEN 37,14,14,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Akeem Davis-Gaither and Jordan Battle),0.580,1.490
2,2:30,3,2,TEN 49,14,14,Penalty on JC Latham: False Start 5 yards (accepted) (no play),1.490,0.830
2,2:08,3,7,TEN 44,14,14,Will Levis pass short left intended for Tyler Boyd is intercepted by Cam Taylor-Britt at CIN-49 and returned for 28 yards (tackle by Nick Westbrook-Ikhine),0.830,-4.040
2,1:59,1,10,TEN 23,14,14,Penalty on Trey Hendrickson: Unnecessary Roughness / Offense 15 yards (accepted) (no play),4.040,3.050
2,1:59,1,10,TEN 38,14,14,Joe Burrow pass complete short right to Chase Brown for 5 yards (tackle by James Williams and Chidobe Awuzie),3.050,3.180
2,1:23,2,5,TEN 33,14,14,Chase Brown left tackle for 1 yard (tackle by Jeffery Simmons and Arden Key),3.180,2.610
2,1:18,,,,,,Timeout #1 by Tennessee Titans,,
2,1:18,3,4,TEN 32,14,14,Penalty on Andrei Iosivas: False Start 6 yards (accepted) (no play),2.610,1.820
2,1:18,3,10,TEN 38,20,14,Joe Burrow pass complete deep right to Tee Higgins for 38 yards touchdown,1.820,7.000
2,1:12,,,TEN 15,21,14,Cade York kicks extra point good,0.000,0.000
2,1:12,,,CIN 35,21,14,Cade York kicks off 65 yards touchback.,0.000,0.940
2,1:12,1,10,TEN 30,21,14,Will Levis pass short right (defended by Josh Newton) intended for Nick Westbrook-Ikhine is intercepted by Mike Hilton at TEN-38 and returned for no gain (tackle by Tyler Boyd),0.940,-3.050
2,1:07,1,10,TEN 38,21,14,Joe Burrow pass incomplete short right intended for Tee Higgins,3.050,2.510
2,1:03,2,10,TEN 38,21,14,Joe Burrow pass complete short middle to Tanner Hudson for 9 yards (tackle by Kenneth Murray),2.510,3.010
2,0:54,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:54,3,1,TEN 29,21,14,Chase Brown up the middle for 2 yards (tackle by James Williams and Kenneth Murray),3.010,3.780
2,0:47,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:47,1,10,TEN 27,21,14,Joe Burrow pass complete short right to Andrei Iosivas for 5 yards (tackle by James Williams). Penalty on Chase Brown: Offensive Illegal Block Above the Waist 10 yards (accepted),3.780,3.450
2,0:41,1,15,TEN 32,21,14,Joe Burrow pass incomplete short left intended for Mike Gesicki,3.450,2.560
2,0:36,2,15,TEN 32,21,14,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Daryl Worley),2.560,3.340
2,0:30,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:30,3,4,TEN 21,21,14,Joe Burrow pass complete short left to Tee Higgins for 13 yards (tackle by Darrell Baker),3.340,5.370
