Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1,6:29,2,7,IND 33,7,0,Jonathan Taylor right guard for 2 yards (tackle by D.J. Jones),0.800,0.370
1,5:47,3,5,IND 35,7,0,Anthony Richardson pass complete short middle to Michael Pittman for 17 yards (tackle by Brandon Jones),0.370,2.390
1,5:20,1,10,DEN 48,7,0,Anthony Richardson pass incomplete deep left intended for Josh Downs,2.390,1.850
1,5:15,2,10,DEN 48,7,0,Anthony Richardson scrambles right end for 7 yards (tackle by Brandon Jones),1.850,2.080
1,4:34,3,3,DEN 41,7,0,Jonathan Taylor up the middle for 2 yards (tackle by Zach Allen and Malcolm Roach),2.080,0.660
1,3:51,4,1,DEN 39,7,0,Jonathan Taylor right end for 5 yards (tackle by Dondrea Tillman),0.660,3.310
1,3:08,1,10,DEN 34,7,0,Jonathan Taylor right tackle for -1 yards (tackle by Jonah Elliss),3.310,2.640
1,2:31,2,11,DEN 35,7,0,Jonathan Taylor left guard for 2 yards (tackle by Malcolm Roach and Justin Strnad),2.640,2.210
1,1:51,3,9,DEN 33,7,0,Jonathan Taylor right end for 10 yards (tackle by Ja'Quan McMillian and Cody Barton),2.210,4.040
1,1:16,1,10,DEN 23,7,0,Jonathan Taylor up the middle for 2 yards (tackle by Nik Bonitto),4.040,3.770
1,0:39,2,8,DEN 21,7,0,Trey Sermon left tackle for 3 yards (tackle by Malcolm Roach and Nik Bonitto),3.770,3.490
2,15:00,3,5,DEN 18,7,0,Anthony Richardson pass incomplete short middle intended for Kylen Granson (defended by Brandon Jones),3.490,2.300
2,14:53,4,5,DEN 18,10,0,Matt Gay 37 yard field goal good,2.300,3.000
2,14:49,,,IND 35,10,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,14:49,1,10,DEN 30,10,0,Jaleel McLaughlin up the middle for 6 yards (tackle by Zaire Franklin),0.940,1.200
2,14:18,2,4,DEN 36,10,0,Bo Nix scrambles left end for 4 yards (tackle by E.J. Speed),1.200,1.600
2,13:32,1,10,DEN 40,10,0,Javonte Williams right tackle for 4 yards (tackle by DeForest Buckner),1.600,1.590
2,12:57,2,6,DEN 44,10,0,Bo Nix pass complete short left to Marvin Mims for no gain (tackle by Grover Stewart and DeForest Buckner),1.590,0.890
2,12:23,3,6,DEN 44,10,0,Bo Nix sacked by DeForest Buckner for -9 yards,0.890,-1.040
2,11:51,4,15,DEN 35,10,0,Riley Dixon punts 57 yards returned by Anthony Gould for no gain (tackle by Jonah Elliss). Penalty on Chris Lammons: Offensive Holding 4 yards (accepted) . Penalty on Tyler Goodson: Illegal Block Above the Waist 10 yards (declined),-1.040,0.380
2,11:39,1,10,IND 4,10,0,Anthony Richardson pass incomplete deep left,-0.380,-0.780
