Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
2,8:43,2,7,NYG 40,14,0,Tyrone Tracy left end for 3 yards (tackle by Kyle Van Noy),1.260,0.960
2,8:03,3,4,NYG 43,14,0,Tommy DeVito pass incomplete short left intended for Malik Nabers. Penalty on Marlon Humphrey: Defensive Holding 5 yards (accepted) (no play),0.960,2.130
2,8:00,1,10,NYG 48,14,0,Tommy DeVito pass complete short right to Daniel Bellinger for 13 yards (tackle by Nate Wiggins),2.130,2.980
2,7:20,1,10,BAL 39,14,0,Devin Singletary right guard for 2 yards (tackle by Roquan Smith),2.980,2.710
2,6:43,2,8,BAL 37,14,0,Tommy DeVito pass complete short left to Malik Nabers for 6 yards (tackle by Kyle Hamilton),2.710,2.810
2,6:08,3,2,BAL 31,14,0,Tyrone Tracy up the middle for no gain (tackle by Nnamdi Madubuike and Travis Jones),2.810,1.400
2,5:23,4,2,BAL 31,14,0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 2 yards (tackle by Kyle Hamilton),1.400,3.640
2,4:39,1,10,BAL 29,14,0,Tommy DeVito sacked by Kyle Van Noy for -7 yards. Penalty on Wan'Dale Robinson: Illegal Shift 5 yards (declined),3.640,2.160
2,4:15,2,17,BAL 36,14,0,Tommy DeVito pass incomplete short left intended for Daniel Bellinger. Penalty on Nnamdi Madubuike: Roughing the Passer 15 yards (accepted) (no play),2.160,4.170
2,4:11,1,10,BAL 21,14,0,Tommy DeVito pass incomplete deep left intended for Malik Nabers. Penalty on Brandon Stephens: Defensive Pass Interference 18 yards (accepted) (no play),4.170,6.510
2,4:06,1,3,BAL 3,14,0,Tyrone Tracy right tackle for -1 yards (tackle by Marlon Humphrey and Nate Wiggins),6.510,5.340
2,3:29,2,4,BAL 4,14,0,Tommy DeVito sacked by David Ojabo for -1 yards,5.340,4.260
2,2:46,3,5,BAL 5,14,0,Tommy DeVito sacked by Odafe Oweh for no gain. Penalty on Odafe Oweh: Illegal Use of Hands / Defense 3 yards (accepted) (no play),4.260,6.740
2,2:19,1,2,BAL 2,14,6,Devin Singletary up the middle for 2 yards touchdown,6.740,7.000
2,2:15,,,BAL 15,14,7,Graham Gano kicks extra point good,0.000,0.000
2,2:15,,,NYG 35,14,7,Graham Gano kicks off 65 yards touchback.,0.000,0.280
2,2:15,1,10,BAL 20,14,7,Lamar Jackson pass complete short left to Justice Hill for 14 yards (tackle by Dane Belton),0.280,1.200
2,2:00,1,10,BAL 34,14,7,Lamar Jackson pass incomplete short right intended for Zay Flowers,1.200,0.660
2,1:55,2,10,BAL 34,14,7,Lamar Jackson pass complete short right to Rashod Bateman for 11 yards (tackle by Micah McFadden),0.660,1.930
2,1:34,1,10,BAL 45,14,7,Lamar Jackson scrambles left end for 21 yards (tackle by Micah McFadden and Dane Belton),1.930,3.310
2,0:59,1,10,NYG 34,14,7,Lamar Jackson pass complete short right to Isaiah Likely for 6 yards (tackle by Art Green),3.310,3.580
2,0:52,,,,,,Timeout #1 by New York Giants,,
2,0:52,2,4,NYG 28,14,7,Lamar Jackson pass complete short left to Justice Hill for 3 yards (tackle by Jason Pinnock),3.580,3.270
2,0:45,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:45,3,1,NYG 25,14,7,Lamar Jackson left end for 4 yards (tackle by Jason Pinnock),3.270,4.170
2,0:40,1,10,NYG 21,14,7,Lamar Jackson pass complete short left to Justice Hill for 1 yard (tackle by Micah McFadden),4.170,3.760
2,0:36,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:36,2,9,NYG 20,20,7,Lamar Jackson pass complete deep middle to Rashod Bateman for 20 yards touchdown,3.760,7.000
2,0:32,,,NYG 15,21,7,Justin Tucker kicks extra point good,0.000,0.000
2,0:32,,,BAL 35,21,7,Justin Tucker kicks off 67 yards returned by Dee Williams for 23 yards (tackle by William Kwenkeu and Malik Harrison). Penalty on Greg Dulcich: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.370
2,0:27,1,10,NYG 11,21,7,Tim Boyle kneels for -1 yards,-0.370,-0.850
3,15:00,,,BAL 35,21,7,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,21,7,Tim Boyle pass complete short right to Daniel Bellinger for 5 yards (tackle by Marlon Humphrey and Chris Board),0.940,1.070
3,14:27,2,5,NYG 35,21,7,Penalty on Nnamdi Madubuike: Encroachment 5 yards (accepted) (no play),1.070,1.600
3,14:08,1,10,NYG 40,21,7,Tim Boyle pass complete deep left to Malik Nabers for no gain. Penalty on Malik Nabers: Illegal Shift 5 yards (accepted) (no play),1.600,1.270
3,13:38,1,15,NYG 35,21,7,Devin Singletary left end for 5 yards (tackle by Kyle Hamilton and David Ojabo),1.270,1.050
3,13:01,2,10,NYG 40,21,7,Penalty on Evan Neal: False Start 5 yards (accepted) (no play),1.050,0.380
3,12:45,2,15,NYG 35,21,7,Tim Boyle pass complete short left to Malik Nabers for 16 yards (tackle by Ar'Darius Washington),0.380,2.320
3,11:59,1,10,BAL 49,21,7,Tim Boyle pass complete short middle to Tyrone Tracy for 4 yards (tackle by Michael Pierce and Malik Harrison),2.320,2.320
