,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Derius Davis,LAC,1,13,13.0,0,13,1,15,15.0,0,15,DaviDe02
Raheem Blackshear,CAR,3,81,27.0,0,31,1,13,13.0,0,13,BlacRa00
