,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Kyren Williams,LAR,0,0,,0,0,1,12,12.0,0,12,WillKy02
Blake Corum,LAR,1,41,41.0,0,41,0,0,,0,0,CoruBl00
Greg Dortch,ARI,0,0,,0,0,2,30,15.0,0,17,DortGr01
