,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,-additional
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,-9999
Juanyeh Thomas,DAL,4,86,21.5,0,26,0,0,,0,0,ThomJu03
KaVontae Turpin,DAL,1,35,35.0,0,35,0,0,,0,0,TurpKa00
