,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Warren McClendon,T,78,100%,0,0%,4,15%,McClWa00
Kevin Dotson,G,78,100%,0,0%,4,15%,DotsKe00
Jonah Jackson,G,78,100%,0,0%,3,12%,JackJo03
Cooper Kupp,WR,78,100%,0,0%,0,0%,KuppCo00
Matthew Stafford,QB,78,100%,0,0%,0,0%,StafMa00
Demarcus Robinson,WR,72,92%,0,0%,0,0%,RobiDe01
Kyren Williams,RB,71,91%,0,0%,4,15%,WillKy02
Colby Parkinson,TE,69,88%,0,0%,0,0%,ParkCo02
AJ Arcuri,T,51,65%,0,0%,3,12%,ArcuAJ00
Tyler Johnson,WR,51,65%,0,0%,1,4%,JohnTy00
Beaux Limmer,C,41,53%,0,0%,4,15%,LimmBe00
Steve Avila,G,37,47%,0,0%,1,4%,AvilSt00
Joseph Noteboom,T,27,35%,0,0%,1,4%,NoteJo00
Puka Nacua,WR,25,32%,0,0%,0,0%,NacuPu00
Ronnie Rivers,RB,7,9%,0,0%,4,15%,RiveRo01
Davis Allen,TE,6,8%,0,0%,12,46%,AlleDa02
Tutu Atwell,WR,6,8%,0,0%,0,0%,AtweTu00
Hunter Long,TE,3,4%,0,0%,5,19%,LongHu00
Jordan Whittington,WR,2,3%,0,0%,14,54%,WhitJo04
Troy Reeder,LB,0,0%,61,100%,7,27%,ReedTr01
Tre'Davious White,CB,0,0%,61,100%,7,27%,WhitTr01
Quentin Lake,FS,0,0%,61,100%,7,27%,LakeQu00
Kamren Curl,SS,0,0%,61,100%,3,12%,CurlKa00
Cobie Durant,CB,0,0%,59,97%,5,19%,DuraDe01
Kobie Turner,NT,0,0%,56,92%,7,27%,TurnKo00
Byron Young,LB,0,0%,49,80%,3,12%,YounBy01
Braden Fiske,DT,0,0%,47,77%,7,27%,FiskBr00
Christian Rozeboom,LB,0,0%,45,74%,19,73%,RozeCh00
Jared Verse,DE,0,0%,43,70%,0,0%,VersJa00
John Johnson,SS,0,0%,38,62%,0,0%,JohnJo10
Bobby Brown,NT,0,0%,37,61%,7,27%,BrowBo04
Michael Hoecht,LB,0,0%,30,49%,11,42%,HoecMi00
Tyler Davis,DT,0,0%,11,18%,0,0%,DaviTy05
Kamren Kinchens,DB,0,0%,5,8%,11,42%,KincKa00
Neville Gallimore,DT,0,0%,4,7%,0,0%,GallNe00
Josh Wallace,DB,0,0%,2,3%,8,31%,WallJo00
Russ Yeast,SS,0,0%,1,2%,19,73%,YeasRu00
Jake Hummel,LB,0,0%,0,0%,19,73%,HummJa00
Omar Speights,LB,0,0%,0,0%,15,58%,SpeiOm00
Nick Hampton,LB,0,0%,0,0%,15,58%,HampNi00
Ethan Evans,P,0,0%,0,0%,13,50%,EvanEt00
Jaylen McCollough,DB,0,0%,0,0%,12,46%,McCoJa02
Blake Corum,RB,0,0%,0,0%,9,35%,CoruBl00
Alex Ward,LS,0,0%,0,0%,7,27%,WardAl00
Charles Woods,DB,0,0%,0,0%,7,27%,WoodCh01
Logan Bruss,G,0,0%,0,0%,4,15%,BrusLo00
Joshua Karty,K,0,0%,0,0%,4,15%,KartJo00
