,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Jawaan Taylor,T,54,100%,0,0%,5,19%,TaylJa02
Creed Humphrey,C,54,100%,0,0%,5,19%,HumpCr00
Kingsley Suamataia,T,54,100%,0,0%,5,19%,SuamKi00
Trey Smith,G,54,100%,0,0%,5,19%,SmitTr05
Patrick Mahomes,QB,54,100%,0,0%,0,0%,MahoPa00
Joe Thuney,G,54,100%,0,0%,0,0%,ThunJo00
Travis Kelce,TE,48,89%,0,0%,0,0%,KelcTr00
Isiah Pacheco,RB,43,80%,0,0%,0,0%,PachIs00
Rashee Rice,WR,42,78%,0,0%,0,0%,RiceRa01
Xavier Worthy,WR,34,63%,0,0%,0,0%,WortXa00
Noah Gray,TE,29,54%,0,0%,15,58%,GrayNo00
Justin Watson,WR,28,52%,0,0%,2,8%,WatsJu01
JuJu Smith-Schuster,WR,12,22%,0,0%,0,0%,SmitJu00
Jared Wiley,TE,11,20%,0,0%,0,0%,WileJa00
Skyy Moore,WR,10,19%,0,0%,0,0%,MoorSk01
Samaje Perine,RB,8,15%,0,0%,0,0%,PeriSa00
Carson Steele,RB,5,9%,0,0%,16,62%,SteeCa00
Justin Reid,SS,0,0%,80,100%,5,19%,ReidJu00
Nick Bolton,LB,0,0%,80,100%,5,19%,BoltNi00
Bryan Cook,FS,0,0%,80,100%,0,0%,CookBr02
Trent McDuffie,CB,0,0%,80,100%,0,0%,McDuTr00
Jaylen Watson,CB,0,0%,77,96%,6,23%,WatsJa02
Drue Tranquill,LB,0,0%,67,84%,0,0%,TranDr00
George Karlaftis III,DE,0,0%,64,80%,5,19%,KarlGe00
Tershawn Wharton,DT,0,0%,61,76%,5,19%,WharTe00
Chris Jones,DT,0,0%,57,71%,0,0%,JoneCh09
Leo Chenal,LB,0,0%,48,60%,21,81%,ChenLe00
Chamarri Conner,FS,0,0%,46,58%,21,81%,ConnCh01
Michael Danna,DE,0,0%,45,56%,5,19%,DannMi00
Joshua Williams,CB,0,0%,32,40%,20,77%,WillJo03
Mike Pennel,NT,0,0%,23,29%,0,0%,PennMi00
Felix Anudike-Uzomah,DE,0,0%,18,23%,0,0%,AnudFe00
Derrick Nnadi,DT,0,0%,13,16%,5,19%,NnadDe00
Malik Herring,DE,0,0%,9,11%,0,0%,HerrMa02
Jaden Hicks,SS,0,0%,0,0%,21,81%,HickJa01
Jack Cochrane,LB,0,0%,0,0%,21,81%,CochJa00
Christian Roland-Wallace,CB,0,0%,0,0%,16,62%,RolaCh00
Cam Jones,LB,0,0%,0,0%,16,62%,JoneCa04
Nazeeh Johnson,CB,0,0%,0,0%,12,46%,JohnNa01
Harrison Butker,K,0,0%,0,0%,11,42%,ButkHa00
James Winchester,LS,0,0%,0,0%,8,31%,WincJa00
Matt Araiza,P,0,0%,0,0%,8,31%,AraiMa00
Mecole Hardman,WR,0,0%,0,0%,7,27%,HardMe00
Hunter Nourzad,C,0,0%,0,0%,5,19%,NourHu00
Wanya Morris,T,0,0%,0,0%,5,19%,MorrWa01
Mike Caliendo,G,0,0%,0,0%,5,19%,CaliMi00
