,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Mekhi Becton,T,76,100%,0,0%,6,19%,BectMe00
Jordan Mailata,T,76,100%,0,0%,6,19%,MailJo00
Landon Dickerson,G,76,100%,0,0%,6,19%,DickLa00
DeVonta Smith,WR,76,100%,0,0%,0,0%,SmitDe07
Cam Jurgens,G,76,100%,0,0%,0,0%,JurgCa01
Lane Johnson,T,76,100%,0,0%,0,0%,JohnLa01
Jalen Hurts,QB,76,100%,0,0%,0,0%,HurtJa00
A.J. Brown,WR,72,95%,0,0%,0,0%,BrowAJ00
Dallas Goedert,TE,62,82%,0,0%,0,0%,GoedDa00
Saquon Barkley,RB,61,80%,0,0%,0,0%,BarkSa00
Grant Calcaterra,TE,36,47%,0,0%,8,26%,CalcGr00
Jahan Dotson,WR,32,42%,0,0%,0,0%,DotsJa00
Kenneth Gainwell,RB,15,20%,0,0%,7,23%,GainKe00
Johnny Wilson,WR,10,13%,0,0%,7,23%,WilsJo03
Britain Covey,WR,9,12%,0,0%,3,10%,CoveBr00
Will Shipley,RB,4,5%,0,0%,17,55%,ShipWi00
E.J. Jenkins,TE,3,4%,0,0%,7,23%,JenkEJ00
Zack Baun,LB,0,0%,67,100%,3,10%,BaunZa00
Reed Blankenship,SS,0,0%,67,100%,1,3%,BlanRe00
Darius Slay,CB,0,0%,67,100%,0,0%,SlayDa00
C.J. Gardner-Johnson,SS,0,0%,66,99%,0,0%,GardCh00
Nakobe Dean,LB,0,0%,64,96%,1,3%,DeanNa00
Quinyon Mitchell,CB,0,0%,63,94%,9,29%,MitcQu00
Avonte Maddox,CB,0,0%,60,90%,7,23%,MaddAv00
Jalen Carter,DT,0,0%,51,76%,8,26%,CartJa05
Josh Sweat,LB,0,0%,41,61%,1,3%,SweaJo00
Jordan Davis,DT,0,0%,35,52%,12,39%,DaviJo03
Brandon Graham,DE,0,0%,32,48%,7,23%,GrahBr99
Nolan Smith,LB,0,0%,31,46%,10,32%,SmitNo02
Bryce Huff,DE,0,0%,30,45%,1,3%,HuffBr00
Milton Williams,DT,0,0%,28,42%,6,19%,WillMi08
Moro Ojomo,DT,0,0%,14,21%,7,23%,OjomMo00
Thomas Booker,DT,0,0%,8,12%,2,6%,BookTh00
Cooper DeJean,CB,0,0%,6,9%,23,74%,DeJeCo00
Kelee Ringo,CB,0,0%,4,6%,25,81%,RingKe00
Tristin McCollum,FS,0,0%,3,4%,24,77%,McCoTr00
Patrick Johnson,LB,0,0%,0,0%,24,77%,JohnPa02
Ben VanSumeren,LB,0,0%,0,0%,24,77%,VanSBe00
Oren Burks,LB,0,0%,0,0%,17,55%,BurkOr00
Jeremiah Trotter Jr.,LB,0,0%,0,0%,15,48%,TrotJe01
Braden Mann,P,0,0%,0,0%,14,45%,MannBr01
Rick Lovato,LS,0,0%,0,0%,8,26%,LovaRi00
Tyler Steen,G,0,0%,0,0%,6,19%,SteeTy00
Fred Johnson,T,0,0%,0,0%,6,19%,JohnFr01
Jake Elliott,K,0,0%,0,0%,6,19%,ElliJa03
Nick Gates,C,0,0%,0,0%,6,19%,GateNi00
Eli Ricks,CB,0,0%,0,0%,1,3%,RickEl00
