,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Laken Tomlinson,G,67,100%,0,0%,4,12%,TomlLa01
Charles Cross,T,67,100%,0,0%,4,12%,CrosCh00
Connor Williams,C,67,100%,0,0%,0,0%,WillCo00
Geno Smith,QB,67,100%,0,0%,0,0%,SmitGe00
Anthony Bradford,G,66,99%,0,0%,4,12%,BradAn00
D.K. Metcalf,WR,59,88%,0,0%,0,0%,MetcDK00
Stone Forsythe,T,54,81%,0,0%,4,12%,ForsSt00
Jaxon Smith-Njigba,WR,53,79%,0,0%,0,0%,SmitJa06
Noah Fant,TE,50,75%,0,0%,0,0%,FantNo00
Kenneth Walker III,RB,44,66%,0,0%,0,0%,WalkKe00
Tyler Lockett,WR,36,54%,0,0%,0,0%,LockTy00
AJ Barner,TE,32,48%,0,0%,9,26%,BarnAJ00
Zach Charbonnet,RB,23,34%,0,0%,5,15%,CharZa00
Jake Bobo,WR,20,30%,0,0%,26,76%,BoboJa00
George Fant,T,13,19%,0,0%,0,0%,FantGe00
Laviska Shenault Jr.,WR,7,10%,0,0%,24,71%,ShenLa00
Dareke Young,WR,7,10%,0,0%,24,71%,YounDa02
Brady Russell,TE,4,6%,0,0%,30,88%,RussBr00
Christian Haynes,G,1,1%,0,0%,4,12%,HaynCh00
Riq Woolen,CB,0,0%,69,100%,6,18%,WoolTa00
Devon Witherspoon,CB,0,0%,69,100%,5,15%,WithDe00
Rayshawn Jenkins,SS,0,0%,69,100%,4,12%,JenkRa00
Tyrel Dodson,LB,0,0%,69,100%,4,12%,DodsTy01
Julian Love,SS,0,0%,69,100%,4,12%,LoveJu00
Jerome Baker,LB,0,0%,68,99%,5,15%,BakeJe00
Boye Mafe,LB,0,0%,60,87%,1,3%,MafeBo00
Tre Brown,CB,0,0%,46,67%,8,24%,BrowTr03
Leonard Williams,DT,0,0%,45,65%,4,12%,WillLe02
Jarran Reed,NT,0,0%,43,62%,4,12%,ReedJa02
Dre'Mont Jones,DE,0,0%,40,58%,4,12%,JoneDr00
Byron Murphy,DT,0,0%,40,58%,2,6%,MurpBy01
Derick Hall,LB,0,0%,31,45%,23,68%,HallDe04
Johnathan Hankins,DT,0,0%,17,25%,4,12%,HankJo00
K'Von Wallace,FS,0,0%,12,17%,17,50%,WallKV00
Mike Morris,DE,0,0%,9,13%,21,62%,MorrMi00
Trevis Gipson,LB,0,0%,2,3%,2,6%,GipsTr00
Coby Bryant,CB,0,0%,1,1%,21,62%,BryaCo01
Dee Williams,WR,0,0%,0,0%,21,62%,WillDe11
Tyrice Knight,LB,0,0%,0,0%,12,35%,KnigTy00
Jason Myers,K,0,0%,0,0%,12,35%,MyerJa00
Drake Thomas,LB,0,0%,0,0%,10,29%,ThomDr00
Marquise Blair,FS,0,0%,0,0%,10,29%,BlaiMa01
Michael Dickson,P,0,0%,0,0%,9,26%,DickMi00
Chris Stoll,LS,0,0%,0,0%,9,26%,StolCh00
Nehemiah Pritchett,DB,0,0%,0,0%,5,15%,PritNe00
Kenny McIntosh,RB,0,0%,0,0%,5,15%,McInKe00
Olusegun Oluwatimi,C,0,0%,0,0%,4,12%,OluwOl00
