,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Rashawn Slater,T,57,100%,0,0%,4,14%,SlatRa00
Trey Pipkins,T,57,100%,0,0%,4,14%,PipkTr00
Joe Alt,T,57,100%,0,0%,4,14%,AltxJo01
Zion Johnson,G,57,100%,0,0%,4,14%,JohnZi00
Justin Herbert,QB,57,100%,0,0%,0,0%,HerbJu00
Bradley Bozeman,C,57,100%,0,0%,0,0%,BozeBr00
Josh Palmer,WR,46,81%,0,0%,0,0%,PalmJo00
Quentin Johnston,WR,38,67%,0,0%,0,0%,JohnQu02
Ladd McConkey,WR,38,67%,0,0%,0,0%,McCoLa00
Hayden Hurst,TE,35,61%,0,0%,0,0%,HursHa00
J.K. Dobbins,RB,33,58%,0,0%,0,0%,DobbJK00
Will Dissly,TE,25,44%,0,0%,0,0%,DissWi00
Gus Edwards,RB,24,42%,0,0%,0,0%,EdwaGu00
Scott Matlock,FB,18,32%,16,27%,14,50%,MatlSc00
Simi Fehoko,WR,9,16%,0,0%,10,36%,FehoSi00
Derius Davis,WR,7,12%,0,0%,8,29%,DaviDe02
Eric Tomlinson,TE,7,12%,0,0%,4,14%,TomlEr01
Stone Smartt,TE,5,9%,0,0%,6,21%,SmarSt00
Kristian Fulton,CB,0,0%,60,100%,4,14%,FultKr00
Asante Samuel Jr.,CB,0,0%,60,100%,4,14%,SamuAs00
Derwin James,SS,0,0%,60,100%,2,7%,JameDe00
Alohi Gilman,SS,0,0%,59,98%,10,36%,GilmAl00
Ja'Sir Taylor,CB,0,0%,46,77%,6,21%,TaylJa04
Khalil Mack,DE,0,0%,43,72%,0,0%,MackKh00
Daiyan Henley,LB,0,0%,40,67%,18,64%,HenlDa00
Joey Bosa,DE,0,0%,40,67%,0,0%,BosaJo00
Junior Colson,LB,0,0%,35,58%,12,43%,ColsJu00
Poona Ford,DE,0,0%,32,53%,3,11%,FordPo00
Denzel Perryman,LB,0,0%,30,50%,5,18%,PerrDe00
Bud Dupree,LB,0,0%,30,50%,5,18%,DuprAl00
Morgan Fox,DT,0,0%,29,48%,4,14%,FoxxMo00
Tuli Tuipulotu,DE,0,0%,27,45%,21,75%,TuipTu00
Otito Ogbonnia,DT,0,0%,27,45%,0,0%,OgboOt00
Elijah Molden,CB,0,0%,20,33%,6,21%,MoldEl00
Teair Tart,DT,0,0%,6,10%,1,4%,TartTe00
Troy Dye,LB,0,0%,0,0%,22,79%,DyexTr00
Deane Leonard,CB,0,0%,0,0%,20,71%,LeonDe00
Hassan Haskins,RB,0,0%,0,0%,19,68%,HaskHa00
Shaquille Quarterman,LB,0,0%,0,0%,17,61%,QuarSh00
AJ Finley,FS,0,0%,0,0%,16,57%,FinlAJ00
Cam Hart,DB,0,0%,0,0%,15,54%,HartCa00
JK Scott,P,0,0%,0,0%,11,39%,ScotJK00
Josh Harris,LS,0,0%,0,0%,11,39%,HarrJo02
Cameron Dicker,K,0,0%,0,0%,10,36%,DickCa00
Brenden Jaimes,G,0,0%,0,0%,4,14%,JaimBr00
Jamaree Salyer,G,0,0%,0,0%,4,14%,SalyJa00
