,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Laremy Tunsil,T,79,100%,0,0%,5,20%,TunsLa00
Shaq Mason,G,79,100%,0,0%,5,20%,MasoSh01
Tytus Howard,T,79,100%,0,0%,5,20%,HowaTy00
Kenyon Green,G,79,100%,0,0%,5,20%,GreeKe03
C.J. Stroud,QB,79,100%,0,0%,0,0%,StroCJ00
Juice Scruggs,C,79,100%,0,0%,0,0%,ScruJu00
Dalton Schultz,TE,63,80%,0,0%,0,0%,SchuDa00
Nico Collins,WR,63,80%,0,0%,0,0%,CollNi00
Stefon Diggs,WR,61,77%,0,0%,0,0%,DiggSt00
Joe Mixon,RB,57,72%,0,0%,0,0%,MixoJo00
Tank Dell,WR,50,63%,0,0%,0,0%,DellNa00
Brevin Jordan,TE,40,51%,0,0%,13,52%,JordBr00
Cade Stover,TE,15,19%,0,0%,10,40%,StovCa00
Dare Ogunbowale,RB,13,16%,0,0%,12,48%,OgunDa00
Xavier Hutchinson,WR,12,15%,0,0%,12,48%,HutcXa00
Robert Woods,WR,12,15%,0,0%,0,0%,WoodRo02
Dameon Pierce,RB,9,11%,0,0%,5,20%,PierDa01
Azeez Al-Shaair,LB,0,0%,45,100%,3,12%,AlShAz00
Jimmie Ward,FS,0,0%,45,100%,3,12%,WardJi01
Jalen Pitre,FS,0,0%,45,100%,3,12%,PitrJa00
Kamari Lassiter,CB,0,0%,45,100%,3,12%,LassKa00
Derek Stingley Jr.,CB,0,0%,45,100%,3,12%,StinDe00
Henry To'oTo'o,LB,0,0%,40,89%,5,20%,TooTHe00
Will Anderson,DE,0,0%,36,80%,2,8%,AndeWi01
Danielle Hunter,DE,0,0%,36,80%,2,8%,HuntDa01
Mario Edwards,DT,0,0%,31,69%,1,4%,EdwaMa01
Folorunso Fatukasi,DT,0,0%,28,62%,1,4%,FatuFo00
Eric Murray,FS,0,0%,25,56%,14,56%,MurrEr00
Calen Bullock,SS,0,0%,25,56%,11,44%,BullCa00
Derek Barnett,DE,0,0%,18,40%,1,4%,BarnDe01
Tim Settle,DT,0,0%,13,29%,2,8%,SettTi00
Khalil Davis,DT,0,0%,10,22%,2,8%,DaviKh00
Jerry Hughes,DE,0,0%,8,18%,1,4%,HughJe99
Kris Boyd,CB,0,0%,0,0%,17,68%,BoydKr00
Del'Shawn Phillips,LB,0,0%,0,0%,17,68%,PhilDe00
British Brooks,RB,0,0%,0,0%,17,68%,BrooBr01
Neville Hewitt,LB,0,0%,0,0%,17,68%,HewiNe00
Jake Hansen,LB,0,0%,0,0%,17,68%,HansJa01
Ka'imi Fairbairn,K,0,0%,0,0%,12,48%,FairKa01
Steven Sims,WR,0,0%,0,0%,8,32%,SimsSt00
Myles Bryant,CB,0,0%,0,0%,7,28%,BryaMy01
Tommy Townsend,P,0,0%,0,0%,7,28%,TownTo01
Jon Weeks,LS,0,0%,0,0%,7,28%,WeekJo00
Kendrick Green,C,0,0%,0,0%,5,20%,GreeKe02
Jarrett Patterson,C,0,0%,0,0%,5,20%,PattJa03
Jeff Okudah,CB,0,0%,0,0%,5,20%,OkudJe00
Blake Fisher,T,0,0%,0,0%,5,20%,FishBl00
