,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Robert Jones,G,71,100%,0,0%,5,20%,JoneRo02
Austin Jackson,T,71,100%,0,0%,5,20%,JackAu00
Liam Eichenberg,G,71,100%,0,0%,5,20%,EichLi00
Terron Armstead,T,71,100%,0,0%,0,0%,ArmsTe00
Aaron Brewer,G,71,100%,0,0%,0,0%,BrewAa01
Tua Tagovailoa,QB,71,100%,0,0%,0,0%,TagoTu00
Jaylen Waddle,WR,51,72%,0,0%,0,0%,WaddJa00
Tyreek Hill,WR,50,70%,0,0%,1,4%,HillTy00
Julian Hill,TE,42,59%,0,0%,17,68%,HillJu02
De'Von Achane,RB,37,52%,0,0%,3,12%,AchaDe00
Raheem Mostert,RB,31,44%,0,0%,0,0%,MostRa00
Durham Smythe,TE,30,42%,0,0%,3,12%,SmytDu00
Alec Ingold,FB,29,41%,0,0%,7,28%,IngoAl01
Braxton Berrios,WR,26,37%,0,0%,8,32%,BerrBr00
Jonnu Smith,TE,20,28%,0,0%,0,0%,SmitJo01
Grant Dubose,WR,13,18%,0,0%,0,0%,DuboGr00
Robbie Chosen,WR,12,17%,0,0%,0,0%,AndeRo04
Jeff Wilson,RB,11,15%,0,0%,10,40%,WilsJe01
Tanner Conner,WR,3,4%,0,0%,11,44%,ConnTa00
David Long,LB,0,0%,53,100%,4,16%,LongDa04
Kendall Fuller,CB,0,0%,53,100%,3,12%,FullKe00
Jordyn Brooks,LB,0,0%,53,100%,3,12%,BrooJo01
Jevon Holland,SS,0,0%,53,100%,0,0%,HollJe02
Jordan Poyer,SS,0,0%,53,100%,0,0%,PoyeJo00
Kader Kohou,CB,0,0%,47,89%,0,0%,KohoKa00
Zach Sieler,DE,0,0%,46,87%,8,32%,SielZa00
Jalen Ramsey,CB,0,0%,41,77%,0,0%,RamsJa00
Emmanuel Ogbah,DE,0,0%,40,75%,3,12%,OgbaEm00
Calais Campbell,DE,0,0%,35,66%,8,32%,CampCa99
Jaelan Phillips,LB,0,0%,34,64%,0,0%,PhilJa02
Da'Shawn Hand,DE,0,0%,19,36%,3,12%,HandDa00
Quinton Bell,LB,0,0%,16,30%,20,80%,BellQu00
Chop Robinson,LB,0,0%,16,30%,13,52%,RobiCh00
Storm Duck,DB,0,0%,8,15%,10,40%,DuckSt00
Benito Jones,DT,0,0%,8,15%,0,0%,JoneBe03
Brandon Pili,NT,0,0%,5,9%,0,0%,PiliBr00
Marcus Maye,FS,0,0%,3,6%,8,32%,MayeMa00
Siran Neal,CB,0,0%,0,0%,20,80%,NealSi00
Duke Riley,LB,0,0%,0,0%,20,80%,RileDu00
Anthony Walker,LB,0,0%,0,0%,17,68%,WalkAn01
Elijah Campbell,SS,0,0%,0,0%,17,68%,CampEl00
Jake Bailey,P,0,0%,0,0%,9,36%,BailJa00
Jason Sanders,K,0,0%,0,0%,9,36%,SandJa00
Blake Ferguson,LS,0,0%,0,0%,9,36%,FergBl00
Patrick Paul,T,0,0%,0,0%,5,20%,PaulPa01
Kendall Lamm,T,0,0%,0,0%,5,20%,LammKe00
Lester Cotton,G,0,0%,0,0%,5,20%,CottLe00
