,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Erik McCoy,C,66,100%,0,0%,9,30%,McCoEr01
Taliese Fuaga,T,66,100%,0,0%,9,30%,FuagTa00
Trevor Penning,T,66,100%,0,0%,9,30%,PennTr00
Cesar Ruiz,G,60,91%,0,0%,9,30%,RuizCe00
Derek Carr,QB,60,91%,0,0%,0,0%,CarrDe02
Chris Olave,WR,52,79%,0,0%,0,0%,OlavCh00
Foster Moreau,TE,51,77%,0,0%,8,27%,MoreFo00
Rashid Shaheed,WR,45,68%,0,0%,5,17%,ShahRa00
Lucas Patrick,C,36,55%,0,0%,6,20%,PatrLu00
Alvin Kamara,RB,34,52%,0,0%,0,0%,KamaAl00
Landon Young,T,31,47%,0,0%,9,30%,YounLa00
Cedrick Wilson Jr.,WR,29,44%,0,0%,14,47%,WilsCe01
Adam Prentice,FB,24,36%,0,0%,5,17%,PrenAd00
Juwan Johnson,TE,23,35%,0,0%,4,13%,JohnJu02
Jamaal Williams,RB,22,33%,0,0%,1,3%,WillJa06
Taysom Hill,TE,21,32%,0,0%,9,30%,HillTa00
Mason Tipton,WR,17,26%,0,0%,0,0%,TiptMa00
Oli Udoh,G,6,9%,0,0%,3,10%,UdohOl01
Bub Means,WR,6,9%,0,0%,2,7%,MeanBu00
Jake Haener,QB,6,9%,0,0%,0,0%,HaenJa00
Jordan Mims,RB,5,8%,0,0%,1,3%,MimsJo00
Will Harris,SS,0,0%,59,100%,12,40%,HarrWi02
Paulson Adebo,CB,0,0%,54,92%,0,0%,AdebPa00
Jordan Howden,SS,0,0%,47,80%,19,63%,HowdJo00
Alontae Taylor,CB,0,0%,46,78%,7,23%,TaylAl01
Pete Werner,LB,0,0%,41,69%,2,7%,WernPe00
Carl Granderson,DE,0,0%,40,68%,2,7%,GranCa01
Demario Davis,LB,0,0%,40,68%,0,0%,DaviDe00
Chase Young,DE,0,0%,37,63%,2,7%,YounCh04
Bryan Bresee,DT,0,0%,36,61%,2,7%,BresBr00
Marshon Lattimore,CB,0,0%,32,54%,0,0%,LattMa01
Kool-Aid McKinstry,DB,0,0%,28,47%,9,30%,McKiKo00
Cameron Jordan,DE,0,0%,27,46%,0,0%,JordCa00
Tyrann Mathieu,FS,0,0%,27,46%,0,0%,MathTy00
Nathan Shepherd,DT,0,0%,24,41%,2,7%,ShepNa00
Payton Turner,DE,0,0%,22,37%,10,33%,TurnPa02
Kendal Vickers,DT,0,0%,21,36%,0,0%,VickKe00
Khristian Boyd,DT,0,0%,18,31%,0,0%,BoydKh00
Isaiah Foskey,DE,0,0%,11,19%,21,70%,FoskIs00
Anfernee Orji,LB,0,0%,11,19%,21,70%,OrjiAn00
Willie Gay Jr.,LB,0,0%,9,15%,12,40%,GayJWi00
J.T. Gray,SS,0,0%,7,12%,20,67%,GrayJ.00
Rico Payton,DB,0,0%,7,12%,17,57%,PaytRi00
Khaleke Hudson,LB,0,0%,5,8%,19,63%,HudsKh00
Blake Grupe,K,0,0%,0,0%,19,63%,GrupBl00
Zach Wood,LS,0,0%,0,0%,11,37%,WoodZa00
Matthew Hayball,P,0,0%,0,0%,11,37%,HaybMa00
Nick Saldiveri,G,0,0%,0,0%,9,30%,SaldNi00
