,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Braxton Jones,T,56,100%,0,0%,4,14%,JoneBr08
Darnell Wright,T,56,100%,0,0%,4,14%,WrigDa00
Coleman Shelton,C,56,100%,0,0%,4,14%,ShelCo00
Teven Jenkins,T,56,100%,0,0%,4,14%,JenkTe00
Caleb Williams,QB,56,100%,0,0%,0,0%,WillCa03
D.J. Moore,WR,49,88%,0,0%,0,0%,MoorD.00
Rome Odunze,WR,43,77%,0,0%,0,0%,OdunRo00
D'Andre Swift,RB,39,70%,0,0%,0,0%,SwifDA00
Ryan Bates,C,38,68%,0,0%,0,0%,BateRy02
Keenan Allen,WR,38,68%,0,0%,0,0%,AlleKe00
Gerald Everett,TE,34,61%,0,0%,0,0%,EverGe00
Cole Kmet,TE,27,48%,0,0%,4,14%,KmetCo00
Nate Davis,G,18,32%,0,0%,0,0%,DaviNa01
DeAndre Carter,WR,13,23%,0,0%,9,31%,CartDe02
Travis Homer,RB,11,20%,0,0%,21,72%,HomeTr00
Marcedes Lewis,TE,9,16%,0,0%,4,14%,LewiMa00
Khari Blasingame,FB,7,13%,0,0%,14,48%,BlasKh00
Khalil Herbert,RB,6,11%,0,0%,10,34%,HerbKh00
Velus Jones Jr.,WR,4,7%,0,0%,12,41%,JoneVe00
Jaquan Brisker,SS,0,0%,64,100%,4,14%,BrisJa01
Jaylon Johnson,CB,0,0%,64,100%,1,3%,JohnJa13
T.J. Edwards,LB,0,0%,64,100%,1,3%,EdwaTJ02
Tremaine Edmunds,LB,0,0%,64,100%,1,3%,EdmuTr01
Kevin Byard,FS,0,0%,64,100%,0,0%,ByarKe01
Tyrique Stevenson,CB,0,0%,63,98%,7,24%,StevTy01
Kyler Gordon,CB,0,0%,61,95%,1,3%,GordKy00
DeMarcus Walker,DE,0,0%,53,83%,3,10%,WalkDe03
Andrew Billings,DT,0,0%,45,70%,4,14%,BillAn00
Montez Sweat,DE,0,0%,44,69%,2,7%,SweaMo00
Gervon Dexter,DT,0,0%,42,66%,4,14%,DextGe00
Darrell Taylor,DE,0,0%,38,59%,1,3%,TaylDa00
Chris Williams,DT,0,0%,15,23%,0,0%,WillCh08
Byron Cowart,DT,0,0%,12,19%,0,0%,CowaBy00
Austin Booker,DE,0,0%,6,9%,3,10%,BookAu00
Jack Sanborn,LB,0,0%,3,5%,24,83%,SanbJa00
Daniel Hardy,DE,0,0%,1,2%,24,83%,HardDa01
Terell Smith,CB,0,0%,1,2%,10,34%,SmitTe05
Amen Ogbongbemiga,LB,0,0%,0,0%,24,83%,OgboAm00
Elijah Hicks,FS,0,0%,0,0%,24,83%,HickEl00
Jaylon Jones,CB,0,0%,0,0%,21,72%,JoneJa12
Josh Blackwell,CB,0,0%,0,0%,20,69%,BlacJo00
Jonathan Owens,SS,0,0%,0,0%,12,41%,OwenJo01
Cairo Santos,K,0,0%,0,0%,10,34%,SantCa01
Scott Daly,LS,0,0%,0,0%,10,34%,DalySc01
Tory Taylor,P,0,0%,0,0%,10,34%,TaylTo01
Matt Pryor,T,0,0%,0,0%,4,14%,PryoMa00
Doug Kramer,C,0,0%,0,0%,4,14%,KramDo00
