Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA
2,10:23,1,10,PIT 20,6,7,Justin Fields pass complete short left to Connor Heyward for 4 yards (tackle by Charles Snowden and Nate Hobbs),0.280,0.270
2,9:45,2,6,PIT 24,6,7,Najee Harris right tackle for no gain (tackle by Isaiah Pola-Mao). Penalty on Darnell Washington: Offensive Holding 10 yards (accepted) (no play),0.270,-1.180
2,9:22,2,16,PIT 14,6,7,Justin Fields pass complete short middle to Najee Harris for 5 yards (tackle by Adam Butler),-1.180,-1.140
2,8:38,3,11,PIT 19,6,7,Justin Fields pass complete deep left to Calvin Austin for 20 yards (tackle by Nate Hobbs),-1.140,1.530
2,7:55,1,10,PIT 39,6,7,Jaylen Warren up the middle for no gain. Penalty on Isaac Seumalo: Offensive Holding 10 yards (accepted) (no play),1.530,0.870
2,7:35,1,20,PIT 29,6,7,Jaylen Warren left tackle for 7 yards (tackle by Tre'von Moehrig),0.870,0.580
2,6:56,2,13,PIT 36,6,7,Justin Fields up the middle for 18 yards (tackle by Isaiah Pola-Mao),0.580,2.520
2,6:09,1,10,LVR 46,6,7,Justin Fields pass incomplete deep right intended for Calvin Austin,2.520,1.980
2,6:04,2,10,LVR 46,6,7,Justin Fields sacked by Divine Deablo for -13 yards,1.980,-0.430
2,5:18,3,23,PIT 41,6,7,Penalty on Justin Fields: Delay of Game 5 yards (accepted) (no play),-0.430,-1.090
2,4:53,3,28,PIT 36,6,7,Justin Fields pass incomplete short left intended for Calvin Austin (defended by Robert Spillane),-1.090,-0.980
2,4:47,4,28,PIT 36,6,7,Corliss Waitman punts 47 yards returned by Ameer Abdullah for -1 yards (tackle by Miles Killebrew),-0.980,0.140
2,4:37,1,10,LVR 16,6,7,Alexander Mattison left end for -3 yards (tackle by T.J. Watt and Patrick Queen),-0.140,-0.990
2,3:54,2,13,LVR 13,6,7,Aidan O'Connell pass complete short left to Harrison Bryant for 14 yards (tackle by Minkah Fitzpatrick),-0.990,0.740
2,3:18,1,10,LVR 27,6,7,Alexander Mattison up the middle for 3 yards (tackle by DeShon Elliott),0.740,0.600
2,2:42,2,7,LVR 30,6,7,Dylan Laube right end for no gain. Dylan Laube fumbles (forced by T.J. Watt) recovered by Keeanu Benton at LV-30,0.600,-3.580
2,2:32,1,10,LVR 30,6,7,Najee Harris right guard for 3 yards (tackle by John Jenkins and Matthew Butler),3.580,3.440
2,2:00,2,7,LVR 27,6,7,Najee Harris up the middle for 3 yards (tackle by Adam Butler and Robert Spillane),3.440,3.140
