Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
2,13:38,1,20,TAM 14,17,3,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Johnathan Abram),-0.500,-1.470
2,13:33,2,20,TAM 14,17,3,Baker Mayfield pass incomplete short right intended for Chris Godwin,-1.470,-2.450
2,13:27,3,20,TAM 14,17,3,Baker Mayfield pass complete short left to Chris Godwin for no gain (tackle by Demario Davis). Penalty on Sterling Shepard: Unnecessary Roughness / Offense 7 yards (accepted),-2.450,-2.490
2,13:18,4,27,TAM 7,17,9,Jake Camarda punts 47 yards returned by Rashid Shaheed for 54 yards touchdown,-2.490,-7.000
2,13:04,,,TAM 15,17,10,Blake Grupe kicks extra point good,0.000,0.000
2,13:04,,,NOR 35,17,10,Blake Grupe kicks off 65 yards returned by Sean Tucker for 25 yards (tackle by Cedrick Wilson and Jaylan Ford),0.000,0.610
2,12:59,1,10,TAM 25,17,10,Bucky Irving right tackle for 8 yards (tackle by Johnathan Abram and Jordan Howden). Penalty on Sterling Shepard: Unsportsmanlike Conduct / Offense 15 yards (accepted),0.610,-0.980
2,12:37,2,17,TAM 18,17,10,Baker Mayfield pass short right intended for Mike Evans is intercepted by Paulson Adebo at TB-33 and returned for 20 yards (tackle by Bucky Irving). Penalty on Alontae Taylor: Unsportsmanlike Conduct / Defense 15 yards (accepted),-0.980,-3.710
2,12:24,1,10,TAM 28,17,10,Spencer Rattler scrambles right end for 5 yards (tackle by K.J. Britt and Lavonte David),3.710,3.840
2,11:44,2,5,TAM 23,17,10,Alvin Kamara left guard for 3 yards (tackle by Lavonte David),3.840,3.530
2,11:13,3,2,TAM 20,17,10,Alvin Kamara left guard for no gain (tackle by YaYa Diaby). Penalty on Calijah Kancey: Defensive Holding 6 yards (accepted) (no play),3.530,4.650
2,10:57,1,10,TAM 14,17,10,Rashid Shaheed right end for 2 yards (tackle by Jordan Whitehead),4.650,4.330
2,10:20,2,8,TAM 12,17,10,Spencer Rattler pass complete short left to Alvin Kamara for 1 yard (tackle by Logan Hall),4.330,3.620
2,9:42,3,7,TAM 11,17,10,Spencer Rattler sacked by Vita Vea for no gain,3.620,2.700
2,9:03,4,7,TAM 11,17,13,Blake Grupe 29 yard field goal good,2.700,3.000
2,9:00,,,NOR 35,17,13,Blake Grupe kicks off 67 yards returned by Sean Tucker for 30 yards (tackle by Cedrick Wilson),0.000,0.810
2,8:55,1,10,TAM 28,17,13,Baker Mayfield pass incomplete short right intended for Chris Godwin,0.810,0.260
2,8:50,2,10,TAM 28,17,13,Baker Mayfield pass short middle (defended by Willie Gay) intended for Jalen McMillan is intercepted by Johnathan Abram at TB-40 and returned for 30 yards (tackle by Cade Otton),0.260,-4.910
