Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
2,12:26,2,10,DET 37,10,3,Jared Goff pass complete short left to Amon-Ra St. Brown for 11 yards (tackle by Damone Clark),0.860,2.130
2,11:49,1,10,DET 48,16,3,Jared Goff pass complete deep right to Sam LaPorta for 52 yards touchdown,2.130,7.000
2,11:39,,,DAL 15,17,3,Jake Bates kicks extra point good,0.000,0.000
2,11:39,,,DET 35,17,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,11:39,1,10,DAL 30,17,3,Ezekiel Elliott right guard for no gain (tackle by Josh Paschal),0.940,0.390
2,11:12,2,10,DAL 30,17,3,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Carlton Davis),0.390,-0.300
2,11:08,3,10,DAL 30,17,3,Dak Prescott sacked by Alim McNeill for -10 yards,-0.300,-2.030
2,10:27,4,20,DAL 20,17,3,Bryan Anger punts 55 yards returned by Kalif Raymond for 6 yards (tackle by C.J. Goodwin),-2.030,-1.000
2,10:17,1,10,DET 31,17,3,David Montgomery up the middle for 3 yards (tackle by Damone Clark and Carl Lawson),1.000,0.870
2,9:45,2,7,DET 34,17,3,David Montgomery right end for 17 yards (tackle by Osa Odighizuwa),0.870,2.320
2,9:05,1,10,DAL 49,17,3,Jared Goff pass complete short left to Amon-Ra St. Brown for 16 yards (tackle by Amani Oruwariye),2.320,3.380
2,8:21,1,10,DAL 33,17,3,Jared Goff scrambles left end for 1 yard (tackle by Mazi Smith),3.380,2.970
2,7:34,2,9,DAL 32,17,3,Jared Goff pass incomplete deep middle intended for Kalif Raymond,2.970,2.280
2,7:24,3,9,DAL 32,17,3,Jared Goff pass complete short right to Kalif Raymond for 7 yards (tackle by Osa Odighizuwa),2.280,1.930
2,6:46,4,2,DAL 25,17,3,Jahmyr Gibbs left end for 2 yards (tackle by Carl Lawson and Jourdan Lewis),1.930,4.040
2,6:02,1,10,DAL 23,17,3,David Montgomery right tackle for 1 yard (tackle by Malik Hooker and Osa Odighizuwa),4.040,3.630
2,5:24,2,9,DAL 22,17,3,Jared Goff pass complete short right to David Montgomery for no gain (tackle by Donovan Wilson and Mazi Smith),3.630,2.940
2,4:41,3,9,DAL 22,17,3,Jared Goff sacked by and Damone Clark for -8 yards and Chauncey Golston for -8 yards,2.940,1.410
2,4:01,4,17,DAL 30,20,3,Jake Bates 48 yard field goal good,1.410,3.000
2,3:57,,,DET 35,20,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,3:57,1,10,DAL 30,20,3,Dak Prescott pass complete short middle to Rico Dowdle for 4 yards (tackle by Alex Anzalone and Jack Campbell),0.940,0.930
2,3:25,2,6,DAL 34,20,3,Dak Prescott pass incomplete short right intended for CeeDee Lamb,0.930,0.230
2,3:20,3,6,DAL 34,20,3,Dak Prescott pass complete short right to Jalen Tolbert for 4 yards (tackle by Carlton Davis),0.230,-0.850
2,2:46,4,2,DAL 38,20,3,Dak Prescott pass incomplete short left intended for KaVontae Turpin (defended by Terrion Arnold),-0.850,-3.050
2,2:39,1,10,DAL 38,20,3,Jahmyr Gibbs left end for -4 yards (tackle by Chauncey Golston),3.050,1.970
2,2:00,2,14,DAL 42,20,3,Penalty on Osa Odighizuwa: Encroachment 5 yards (accepted) (no play),1.970,2.640
2,2:00,2,9,DAL 37,20,3,Jared Goff pass complete deep right to Tim Patrick for 18 yards (tackle by Malik Hooker),2.640,4.310
2,1:22,1,10,DAL 19,20,3,Jahmyr Gibbs left tackle for 4 yards (tackle by Damone Clark and Tyrus Wheat),4.310,4.350
2,0:52,2,6,DAL 15,20,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Damone Clark),4.350,5.140
2,0:44,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:44,1,9,DAL 9,20,3,Jared Goff pass complete short left to Tim Patrick for no gain touchdown Replay Assistant challenged the short of the line to gain ruling and the original play was overturned. Jared Goff pass complete short left to Tim Patrick for 8 yards (tackle by Trevon Diggs),5.140,5.910
2,0:40,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:40,2,1,DAL 1,26,3,David Montgomery right guard for 1 yard touchdown,5.910,7.000
2,0:36,,,DAL 15,27,3,Jake Bates kicks extra point good,0.000,0.000
2,0:36,,,DET 35,27,3,Jake Bates kicks off 74 yards returned by KaVontae Turpin for 79 yards (tackle by Jake Bates),0.000,3.580
2,0:28,1,10,DET 30,27,3,Dak Prescott sacked by Alim McNeill for -8 yards,3.580,1.950
2,0:23,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:23,2,18,DET 38,27,3,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,1.950,1.290
2,0:18,3,18,DET 38,27,3,Dak Prescott pass complete short left to CeeDee Lamb for 9 yards (tackle by Amik Robertson),1.290,1.500
2,0:12,4,9,DET 29,27,6,Brandon Aubrey 47 yard field goal good,1.500,3.000
2,0:08,,,DAL 35,27,6,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
2,0:08,1,10,DET 30,27,6,Jared Goff kneels for -1 yards,0.940,0.260
3,15:00,,,DAL 35,27,6,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DET 30,27,6,Jahmyr Gibbs right end for 11 yards (tackle by Damone Clark and DeMarvion Overshown),0.940,1.660
3,14:16,1,10,DET 41,27,6,Jared Goff pass complete short right to Jahmyr Gibbs for 20 yards (tackle by Mazi Smith),1.660,2.980
3,13:33,1,10,DAL 39,27,6,Jahmyr Gibbs left tackle for 2 yards (tackle by Donovan Wilson),2.980,2.710
3,12:49,2,8,DAL 37,27,6,Jared Goff pass incomplete deep left intended for Kalif Raymond,2.710,2.020
3,12:42,3,8,DAL 37,33,6,Jared Goff pass complete deep right to Jameson Williams for 37 yards touchdown,2.020,7.000
3,12:35,,,DAL 15,34,6,Jake Bates kicks extra point good,0.000,0.000
3,12:35,,,DET 35,34,6,Jake Bates kicks off 69 yards returned by KaVontae Turpin for 33 yards (tackle by Sione Vaki and Trevor Nowaske),0.000,0.870
3,12:30,1,10,DAL 29,34,6,Dak Prescott pass complete short middle to CeeDee Lamb for 5 yards (tackle by Alex Anzalone and Jack Campbell),0.870,1.000
3,11:59,2,5,DAL 34,34,6,Dak Prescott sacked by Aidan Hutchinson for -6 yards,1.000,-0.490
3,11:35,3,11,DAL 28,34,6,Dak Prescott pass incomplete short right intended for Jalen Tolbert. Penalty on Carlton Davis: Defensive Pass Interference 10 yards (accepted) (no play),-0.490,1.470
3,11:24,1,10,DAL 38,34,6,Dak Prescott scrambles right end for 1 yard (tackle by Brian Branch),1.470,1.060
3,10:52,2,9,DAL 39,34,6,Dak Prescott pass complete short right to Jake Ferguson for 4 yards (tackle by Carlton Davis),1.060,0.890
3,10:28,3,5,DAL 43,34,6,Dak Prescott pass incomplete deep right intended for Jalen Tolbert (defended by Kindle Vildor),0.890,-0.520
3,10:20,4,5,DAL 43,34,6,Dak Prescott pass complete short right to CeeDee Lamb for 19 yards (tackle by Amik Robertson and Kerby Joseph),-0.520,3.050
3,9:52,1,10,DET 38,34,6,Dak Prescott pass incomplete short right intended for Jalen Brooks. Penalty on Kindle Vildor: Defensive Pass Interference 8 yards (accepted) (no play),3.050,3.580
3,9:47,1,10,DET 30,34,6,Dak Prescott pass incomplete deep left intended for KaVontae Turpin,3.580,3.030
3,9:41,2,10,DET 30,34,6,Dak Prescott sacked by Trevor Nowaske for -2 yards,3.030,2.080
3,8:58,3,12,DET 32,34,6,Dak Prescott pass incomplete short left intended for Jalen Brooks,2.080,1.240
3,8:52,4,12,DET 32,34,9,Brandon Aubrey 50 yard field goal good,1.240,3.000
3,8:48,,,DAL 35,34,9,Brandon Aubrey kicks off 58 yards returned by Khalil Dorsey for 34 yards (tackle by Israel Mukuamu),0.000,1.660
3,8:40,1,10,DET 41,34,9,Jared Goff pass complete deep left to Kalif Raymond for 38 yards (tackle by Amani Oruwariye),1.660,4.170
3,8:07,1,10,DAL 21,34,9,David Montgomery up the middle for 19 yards (tackle by Linval Joseph),4.170,6.740
3,7:19,1,2,DAL 2,34,9,Jared Goff pass incomplete short left intended for Taylor Decker (defended by Damone Clark),6.740,5.720
3,7:14,2,2,DAL 2,34,9,David Montgomery up the middle for 1 yard (tackle by Malik Hooker and Chauncey Golston),5.720,5.170
3,6:25,3,1,DAL 1,34,9,Penalty on Jared Goff: Delay of Game 5 yards (accepted) (no play),5.170,4.040
3,6:16,3,6,DAL 6,34,9,Jared Goff sacked by Donovan Wilson for -9 yards,4.040,2.440
3,5:29,4,15,DAL 15,37,9,Jake Bates 33 yard field goal good,2.440,3.000
3,5:26,,,DET 35,37,9,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,5:26,1,10,DAL 30,37,9,Rico Dowdle up the middle for 1 yard (tackle by D.J. Reader and Jack Campbell),0.940,0.530
3,5:05,2,9,DAL 31,37,9,Dak Prescott pass incomplete short middle intended for Rico Dowdle (defended by Alex Anzalone),0.530,-0.160
3,5:00,3,9,DAL 31,37,9,Dak Prescott pass complete deep left to CeeDee Lamb for 19 yards (tackle by Kerby Joseph),-0.160,2.260
3,4:35,1,10,DET 50,37,9,Dak Prescott pass complete short left to Ryan Flournoy for 12 yards. Ryan Flournoy fumbles (forced by Brian Branch) recovered by Terrion Arnold at DET-29 and returned for -1 yards (tackle by Ryan Flournoy) Replay Assistant challenged the fumble ruling and the play was upheld.,2.260,-0.810
3,4:24,1,10,DET 28,37,9,Jared Goff pass complete short left to Jameson Williams for 24 yards (tackle by Malik Hooker),0.810,2.390
3,3:53,1,10,DAL 48,37,9,Jahmyr Gibbs up the middle for 15 yards (tackle by Chauncey Golston),2.390,3.380
3,3:11,1,10,DAL 33,37,9,David Montgomery left tackle for 2 yards (tackle by Chauncey Golston),3.380,3.110
3,2:38,2,8,DAL 31,37,9,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by Amani Oruwariye),3.110,4.110
3,1:55,1,10,DAL 22,37,9,Jahmyr Gibbs up the middle for 10 yards (tackle by Donovan Wilson and Jourdan Lewis),4.110,4.780
3,1:19,1,10,DAL 12,37,9,Jahmyr Gibbs right end for 2 yards (tackle by Amani Oruwariye),4.780,4.450
3,0:42,2,8,DAL 10,37,9,Jared Goff pass complete short right to Amon-Ra St. Brown for no gain lateral to Penei Sewell for 6 yards (tackle by Donovan Wilson). Penalty on Frank Ragnow: Ineligible Downfield Pass 5 yards (accepted) (no play),4.450,3.660
3,0:22,2,13,DAL 15,37,9,Jared Goff scrambles left end for 5 yards (tackle by Linval Joseph),3.660,3.480
4,15:00,3,8,DAL 10,37,9,Jared Goff pass complete short left to Jameson Williams for no gain touchdown. Penalty on Jahmyr Gibbs: Offensive Pass Interference 10 yards (accepted) (no play),3.480,2.480
4,14:55,3,18,DAL 20,37,9,Jared Goff pass complete short right to Jahmyr Gibbs for 5 yards (tackle by DeMarvion Overshown),2.480,2.440
4,14:15,4,13,DAL 15,40,9,Jake Bates 33 yard field goal good,2.440,3.000
4,14:12,,,DET 35,40,9,Jake Bates kicks off 70 yards returned by KaVontae Turpin for 33 yards (tackle by Malcolm Rodriguez),0.000,0.810
4,14:06,1,10,DAL 28,40,9,Dak Prescott pass complete short left to Jalen Tolbert for 4 yards (tackle by Amik Robertson),0.810,0.800
4,13:43,2,6,DAL 32,40,9,Dak Prescott pass incomplete short right intended for CeeDee Lamb,0.800,0.100
4,13:39,3,6,DAL 32,40,9,Dak Prescott pass incomplete short right intended for CeeDee Lamb,0.100,-1.240
4,13:34,4,6,DAL 32,40,9,Dak Prescott pass deep middle intended for Jalen Brooks is intercepted by Brian Branch at DET-49 and returned for 47 yards (tackle by Jalen Brooks),-1.240,-6.280
4,13:22,1,4,DAL 4,46,9,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards touchdown. Penalty on Amon-Ra St. Brown: Unsportsmanlike Conduct / Offense 15 yards (accepted),6.280,7.000
4,13:18,,,DAL 30,47,9,Jake Bates kicks extra point good,0.000,0.000
4,13:18,,,DET 35,47,9,Jake Bates kicks off 73 yards returned by KaVontae Turpin for 49 yards (tackle by Kerby Joseph and Kindle Vildor),0.000,1.660
4,13:12,1,10,DAL 41,47,9,Rico Dowdle left tackle for 12 yards (tackle by Brian Branch),1.660,2.460
4,12:46,1,10,DET 47,47,9,Rico Dowdle up the middle for 6 yards (tackle by Malcolm Rodriguez),2.460,2.720
4,12:17,2,4,DET 41,47,9,Cooper Rush pass complete short left to Rico Dowdle for 4 yards (tackle by Ennis Rakestraw),2.720,3.120
4,11:37,1,10,DET 37,47,9,Ezekiel Elliott left end for 2 yards (tackle by Isaac Ukwu),3.120,2.840
4,11:01,2,8,DET 35,47,9,Cooper Rush pass complete short right to Jalen Tolbert for 9 yards (tackle by Amik Robertson),2.840,3.840
4,10:22,1,10,DET 26,47,9,Cooper Rush pass complete short right to Rico Dowdle for 5 yards (tackle by Malcolm Rodriguez),3.840,3.970
4,9:36,2,5,DET 21,47,9,Cooper Rush pass complete short left to Jalen Brooks for 15 yards (tackle by Jalen Reeves-Maybin and Ennis Rakestraw),3.970,5.830
4,8:57,1,6,DET 6,47,9,Cooper Rush pass incomplete short left intended for Jalen Brooks,5.830,4.950
4,8:49,2,6,DET 6,47,9,Cooper Rush pass incomplete short right intended for Jalen Brooks (defended by Khalil Dorsey),4.950,4.040
4,8:45,3,6,DET 6,47,9,Cooper Rush pass complete short left to Jake Ferguson for 1 yard (tackle by Kerby Joseph),4.040,3.010
4,8:07,,,,,,Timeout #1 by Dallas Cowboys,,
4,8:07,4,5,DET 5,47,9,Cooper Rush pass short right intended for KaVontae Turpin is intercepted by Kerby Joseph in end zone and returned for no gain,3.010,-0.280
4,8:02,1,10,DET 20,47,9,Hendon Hooker pass complete short right to Kalif Raymond for 19 yards (tackle by Tyrus Wheat),0.280,1.530
4,7:21,1,10,DET 39,47,9,Craig Reynolds left end for 5 yards (tackle by Andrew Booth and Damone Clark),1.530,1.660
4,6:40,2,5,DET 44,47,9,Craig Reynolds left tackle for 3 yards (tackle by Markquese Bell). Penalty on Markquese Bell: Face Mask (15 Yards) 15 yards (accepted),1.660,3.050
4,6:09,1,10,DAL 38,47,9,Craig Reynolds right guard for 2 yards. Craig Reynolds fumbles (forced by DeMarvion Overshown) recovered by Craig Reynolds at DAL-36,3.050,2.780
4,5:27,2,8,DAL 36,47,9,Hendon Hooker pass incomplete short right intended for Allen Robinson (defended by Amani Oruwariye),2.780,2.080
4,5:19,3,8,DAL 36,47,9,Sione Vaki right end for 5 yards (tackle by Markquese Bell),2.080,1.380
4,4:30,4,3,DAL 31,47,9,Hendon Hooker sacked by K.J. Henry for -9 yards,1.380,-1.600
4,4:23,1,10,DAL 40,47,9,Ezekiel Elliott up the middle for 6 yards (tackle by Khalil Dorsey),1.600,1.860
4,3:49,2,4,DAL 46,47,9,Cooper Rush pass complete short right to KaVontae Turpin for 6 yards (tackle by Ennis Rakestraw),1.860,2.390
4,3:42,1,10,DET 48,47,9,Ezekiel Elliott right tackle for 3 yards (tackle by Trevor Nowaske),2.390,2.250
4,3:08,2,7,DET 45,47,9,KaVontae Turpin left end for 6 yards (tackle by Isaac Ukwu),2.250,2.340
4,2:59,3,1,DET 39,47,9,Cooper Rush up the middle for 2 yards (tackle by Levi Onwuzurike),2.340,3.120
4,2:32,1,10,DET 37,47,9,Cooper Rush pass complete short right to KaVontae Turpin for 3 yards (tackle by Kindle Vildor),3.120,2.980
4,2:25,2,7,DET 34,47,9,Cooper Rush pass complete short middle to KaVontae Turpin for 3 yards. KaVontae Turpin fumbles (tackle by Jack Campbell recovered by Malcolm Rodriguez at DET-33,2.980,-1.140
4,2:18,1,10,DET 33,47,9,Craig Reynolds left end for 4 yards (tackle by Andrew Booth),1.140,1.130
4,2:00,2,6,DET 37,47,9,Craig Reynolds right tackle for 1 yard (tackle by Nick Vigil and K.J. Henry),1.130,0.560
4,1:14,,,,,,Timeout #1 by Detroit Lions,,
4,1:14,3,5,DET 38,47,9,Craig Reynolds left tackle for 6 yards (tackle by Tyrus Wheat),0.560,1.860
4,0:34,1,10,DET 44,47,9,Hendon Hooker kneels for -1 yards,1.860,1.180
