Quarter,Time,Down,ToGo,Location,CIN,NYG,Detail,EPB,EPA
2,11:13,4,11,CIN 29,7,0,Ryan Rehkow punts 55 yards returned by Ihmir Smith-Marsette for 1 yard (tackle by Tycen Anderson),-1.440,0.060
2,11:01,1,10,NYG 17,7,0,Eric Gray left guard for 3 yards (tackle by Jordan Battle),-0.060,-0.060
2,10:23,2,7,NYG 20,7,0,Eric Gray left tackle for 4 yards (tackle by Jordan Battle and Logan Wilson),-0.060,-0.370
2,9:43,3,3,NYG 24,7,0,Daniel Jones scrambles right end for 4 yards (tackle by DJ Turner and Logan Wilson),-0.370,0.810
2,8:54,1,10,NYG 28,7,0,Daniel Jones pass complete short right to Tyrone Tracy for 12 yards (tackle by Logan Wilson and Jordan Battle),0.810,1.600
2,8:16,1,10,NYG 40,7,0,Daniel Jones pass incomplete deep right intended for Darius Slayton,1.600,1.050
2,8:09,2,10,NYG 40,7,0,Daniel Jones pass complete short middle to Daniel Bellinger for no gain (tackle by Geno Stone and Germaine Pratt). Penalty on Daniel Bellinger: Illegal Shift 5 yards (accepted) (no play),1.050,0.380
2,7:43,2,15,NYG 35,7,0,Tyrone Tracy left tackle for no gain (tackle by Mike Hilton),0.380,-0.300
2,7:03,3,15,NYG 35,7,0,Daniel Jones scrambles right end for 10 yards (tackle by Geno Stone and B.J. Hill),-0.300,-0.390
2,6:27,4,5,NYG 45,7,0,Matt Haack punts 43 yards fair catch by Charlie Jones at CIN-12,-0.390,0.350
2,6:19,1,10,CIN 12,7,0,Chase Brown up the middle for 4 yards (tackle by Brian Burns and Bobby Okereke),-0.350,-0.370
2,5:40,2,6,CIN 16,7,0,Joe Burrow pass complete short right to Tee Higgins for 24 yards (tackle by Jason Pinnock),-0.370,1.600
2,4:57,1,10,CIN 40,7,0,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Micah McFadden),1.600,2.000
2,4:17,2,3,CIN 47,7,0,Chase Brown left end for -2 yards (tackle by Tyler Nubin and Cordale Flott),2.000,1.030
2,3:35,3,5,CIN 45,7,0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,1.030,-0.390
2,3:25,4,5,CIN 45,7,0,Ryan Rehkow punts 46 yards,-0.390,0.380
2,3:14,1,10,NYG 9,7,0,Daniel Jones pass complete short middle to Darius Slayton for no gain (tackle by Geno Stone). Penalty on Andrew Thomas: Ineligible Downfield Pass 4 yards (accepted) (no play),-0.380,-0.530
2,2:46,1,14,NYG 5,7,0,Daniel Jones pass incomplete deep left intended for Jalin Hyatt,-0.530,-1.070
2,2:40,2,14,NYG 5,7,0,Daniel Jones pass incomplete short right intended for Darius Slayton,-1.070,-1.890
2,2:37,3,14,NYG 5,7,0,Daniel Jones pass complete short right to Tyrone Tracy for 7 yards (tackle by Logan Wilson),-1.890,-2.490
2,2:00,4,7,NYG 12,7,0,Matt Haack punts 42 yards returned by Charlie Jones for -1 yards (tackle by Nick McCloud),-2.490,-1.930
2,1:50,1,10,CIN 45,7,0,Joe Burrow sacked by Azeez Ojulari for -1 yards,1.930,1.250
2,1:13,2,11,CIN 44,7,0,Joe Burrow pass complete short middle to Andrei Iosivas for 7 yards (tackle by Tyler Nubin),1.250,1.490
2,0:35,3,4,NYG 49,7,0,Joe Burrow sacked by Azeez Ojulari for -8 yards,1.490,-0.520
2,0:29,,,,,,Timeout #2 by New York Giants,,
2,0:29,4,12,CIN 43,7,0,Ryan Rehkow punts 57 yards touchback.,-0.520,-0.280
2,0:21,1,10,NYG 20,7,0,Daniel Jones kneels for -1 yards,0.280,-0.460
3,15:00,,,CIN 35,7,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,7,0,Daniel Jones pass incomplete short left intended for Darius Slayton,0.940,0.390
3,14:55,2,10,NYG 30,7,0,Tyrone Tracy left end for no gain (tackle by B.J. Hill),0.390,-0.300
3,14:17,3,10,NYG 30,7,0,Daniel Jones pass complete short right to Theo Johnson for 8 yards (tackle by DJ Turner). Penalty on Andrew Thomas: Illegal Formation 5 yards (declined),-0.300,-0.850
3,13:58,4,2,NYG 38,7,0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Mike Hilton),-0.850,-3.050
3,13:53,1,10,NYG 38,7,0,Zack Moss left guard for 3 yards (tackle by Dexter Lawrence),3.050,2.910
3,13:17,2,7,NYG 35,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Jason Pinnock and Cordale Flott),2.910,3.840
3,12:38,1,10,NYG 26,7,0,Zack Moss right guard for 1 yard. Zack Moss fumbles (tackle by Azeez Ojulari recovered by Micah McFadden at NYG-21,3.840,-0.340
3,12:30,1,10,NYG 21,7,0,Tyrone Tracy up the middle for 9 yards (tackle by Mike Hilton and Geno Stone),0.340,1.020
3,12:22,2,1,NYG 30,7,0,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Cam Taylor-Britt),1.020,0.300
3,12:09,3,1,NYG 30,7,0,Daniel Jones up the middle for 2 yards (tackle by B.J. Hill),0.300,1.070
3,11:39,1,10,NYG 32,7,0,Tyrone Tracy left end for 2 yards (tackle by Germaine Pratt),1.070,0.800
3,11:18,2,8,NYG 34,7,0,Daniel Jones pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Mike Hilton),0.800,0.890
3,10:55,3,2,NYG 40,7,0,Tyrone Tracy right guard for no gain (tackle by Germaine Pratt and B.J. Hill),0.890,-0.720
3,10:11,,,,,,Timeout #1 by New York Giants,,
3,10:11,4,2,NYG 40,7,0,Tyrone Tracy right end for 4 yards (tackle by Vonn Bell and Sam Hubbard),-0.720,1.860
3,9:43,1,10,NYG 44,7,0,Tyrone Tracy right tackle for 2 yards (tackle by B.J. Hill and Myles Murphy),1.860,1.590
3,9:11,2,8,NYG 46,7,0,Daniel Jones pass complete short left to Tyrone Tracy for 10 yards (tackle by Geno Stone),1.590,2.650
3,8:44,1,10,CIN 44,7,0,Eric Gray right guard for 6 yards (tackle by Germaine Pratt),2.650,2.920
3,8:19,2,4,CIN 38,7,0,Daniel Jones pass incomplete short right,2.920,2.210
3,8:14,3,4,CIN 38,7,0,Daniel Jones pass complete short left to Darius Slayton for 3 yards (tackle by Cam Taylor-Britt),2.210,1.000
3,7:31,4,1,CIN 35,7,0,Tyrone Tracy left guard for 5 yards (tackle by Joseph Ossai),1.000,3.580
3,7:01,1,10,CIN 30,7,0,Daniel Jones right guard for 5 yards (tackle by Germaine Pratt),3.580,3.710
3,6:34,2,5,CIN 25,7,0,Tyrone Tracy right end for 6 yards (tackle by Joseph Ossai),3.710,4.310
3,6:00,1,10,CIN 19,7,0,Daniel Jones pass incomplete deep right intended for Darius Slayton. Penalty on DJ Turner: Defensive Pass Interference 18 yards (accepted) (no play),4.310,6.970
3,5:52,1,1,CIN 1,7,6,Tyrone Tracy left guard for 1 yard touchdown,6.970,7.000
3,5:48,,,CIN 15,7,7,Greg Joseph kicks extra point good,0.000,0.000
3,5:48,,,NYG 35,7,7,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
3,5:48,1,10,CIN 30,7,7,Joe Burrow pass complete deep left to Ja'Marr Chase for 33 yards (tackle by Cordale Flott),0.940,3.120
3,5:06,1,10,NYG 37,7,7,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Deonte Banks and Brian Burns),3.120,3.380
3,4:25,2,4,NYG 31,7,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 11 yards (tackle by Tyler Nubin and Boogie Basham),3.380,4.240
3,3:47,1,10,NYG 20,7,7,Joe Burrow pass complete short left to Erick All for 1 yard (tackle by Tyler Nubin),4.240,3.820
3,3:00,2,9,NYG 19,7,7,Joe Burrow pass complete short middle to Erick All for 9 yards (tackle by Micah McFadden),3.820,5.080
3,2:30,1,9,NYG 10,7,7,Joe Burrow pass incomplete short middle intended for Andrei Iosivas,5.080,4.190
3,2:23,2,10,NYG 10,7,7,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Micah McFadden and Tyler Nubin),4.190,5.170
3,1:38,3,1,NYG 1,7,7,Chase Brown right guard for no gain touchdown. Penalty on Cordell Volson: Offensive Holding 10 yards (accepted) (no play),5.170,3.120
3,1:34,3,11,NYG 11,7,7,Joe Burrow sacked by Dexter Lawrence for -8 yards,3.120,2.180
3,0:45,4,19,NYG 19,10,7,Evan McPherson 37 yard field goal good,2.180,3.000
3,0:41,,,CIN 35,10,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,0:41,1,10,NYG 30,10,7,Daniel Jones pass complete short right to Theo Johnson for 15 yards (tackle by Logan Wilson),0.940,1.930
4,15:00,1,10,NYG 45,10,7,Tyrone Tracy right tackle for 4 yards (tackle by Jordan Battle),1.930,1.920
4,14:35,2,6,NYG 49,10,7,Daniel Jones up the middle for 5 yards (tackle by Sam Hubbard and Germaine Pratt),1.920,1.880
4,14:11,3,1,CIN 46,10,7,Tyrone Tracy left guard for no gain (tackle by Sam Hubbard and Kris Jenkins),1.880,0.200
4,13:32,4,1,CIN 46,10,7,Daniel Jones right guard for 1 yard (tackle by B.J. Hill),0.200,2.590
4,12:44,1,10,CIN 45,10,7,Daniel Jones pass complete short right to Tyrone Tracy for 9 yards (tackle by Sheldon Rankins),2.590,3.260
4,12:01,2,1,CIN 36,10,7,Daniel Jones up the middle for 3 yards (tackle by Germaine Pratt),3.260,3.380
4,11:20,1,10,CIN 33,10,7,Daniel Jones pass complete short left to Tyrone Tracy for 5 yards (tackle by Logan Wilson),3.380,3.510
4,10:44,2,5,CIN 28,10,7,Daniel Jones pass incomplete short right intended for Jalin Hyatt,3.510,2.810
4,10:37,3,5,CIN 28,10,7,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by B.J. Hill),2.810,1.630
4,10:32,4,5,CIN 28,10,7,Greg Joseph 47 yard field goal no good,1.630,-1.400
4,10:27,1,10,CIN 37,10,7,Chase Brown right guard for 5 yards (tackle by Micah McFadden and Azeez Ojulari),1.400,1.530
4,9:53,2,5,CIN 42,10,7,Joe Burrow pass complete short middle to Tee Higgins for 14 yards (tackle by Andru Phillips and Tyler Nubin),1.530,2.650
4,9:10,1,10,NYG 44,10,7,Joe Burrow pass incomplete short middle,2.650,2.110
4,9:03,2,10,NYG 44,10,7,Joe Burrow pass complete short right to Chase Brown for no gain (tackle by Andru Phillips),2.110,1.420
4,8:18,3,10,NYG 44,10,7,Joe Burrow pass incomplete short middle,1.420,0.330
4,8:13,4,10,NYG 44,10,7,Ryan Rehkow punts 33 yards fair catch by Ihmir Smith-Marsette at NYG-11,0.330,0.370
4,8:06,1,10,NYG 11,10,7,Daniel Jones pass complete short left to Darius Slayton for 15 yards (tackle by Cam Taylor-Britt),-0.370,0.670
4,7:28,1,10,NYG 26,10,7,Daniel Jones pass complete short middle to Darius Slayton for 9 yards (tackle by Cam Taylor-Britt),0.670,1.350
4,7:03,2,1,NYG 35,10,7,Daniel Jones up the middle for 3 yards (tackle by Myles Murphy),1.350,1.470
4,6:32,1,10,NYG 38,10,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Mike Hilton and Geno Stone),1.470,1.870
4,5:56,2,3,NYG 45,10,7,Daniel Jones pass incomplete deep left intended for Jalin Hyatt (defended by Cam Taylor-Britt),1.870,1.160
4,5:44,3,3,NYG 45,10,7,Tyrone Tracy left guard for 11 yards (tackle by Myles Murphy),1.160,2.650
4,5:12,1,10,CIN 44,10,7,Tyrone Tracy left tackle for 4 yards (tackle by Joseph Ossai and Logan Wilson),2.650,2.580
4,4:35,2,7,CIN 40,10,7,Daniel Jones pass complete short left to Isaiah Hodgins for 5 yards (tackle by Cam Taylor-Britt),2.580,2.540
4,3:53,3,2,CIN 35,10,7,Tyrone Tracy left tackle for -1 yards (tackle by DJ Turner),2.540,0.890
4,3:12,4,3,CIN 36,10,7,Daniel Jones pass incomplete short middle intended for Darius Slayton (defended by DJ Turner),0.890,-1.330
4,3:01,1,10,CIN 36,10,7,Chase Brown left tackle for -2 yards (tackle by Andru Phillips and Brian Burns),1.330,0.520
4,2:18,2,12,CIN 34,10,7,Chase Brown up the middle for no gain (tackle by Brian Burns),0.520,-0.160
4,2:12,,,,,,Timeout #2 by New York Giants,,
4,2:12,3,12,CIN 34,10,7,Joe Burrow pass complete deep left to Andrei Iosivas for 29 yards,-0.160,3.120
