Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
2,11:26,2,6,GNB 47,0,14,Jordan Love pass complete short middle to Tucker Kraft for 8 yards (tackle by Krys Barnes),1.790,2.590
2,10:47,1,10,ARI 45,0,14,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Mack Wilson),2.590,2.850
2,10:03,2,4,ARI 39,0,14,Josh Jacobs up the middle for 2 yards (tackle by Zaven Collins),2.850,2.410
2,9:24,3,2,ARI 37,0,14,Josh Jacobs left guard for 1 yard (tackle by Dante Stills and Khyiris Tonga),2.410,0.890
2,8:44,,,,,,Timeout #1 by Green Bay Packers,,
2,8:44,4,1,ARI 36,0,14,Jordan Love pass complete short middle to Christian Watson for 14 yards (tackle by Sean Murphy-Bunting),0.890,4.110
2,8:06,1,10,ARI 22,0,14,Josh Jacobs left tackle for 2 yards (tackle by Mack Wilson and L.J. Collier),4.110,3.830
2,7:24,2,8,ARI 20,0,14,Jordan Love pass complete short right to Jayden Reed for 2 yards (tackle by Krys Barnes),3.830,3.400
2,6:41,3,6,ARI 18,0,14,Jordan Love pass incomplete deep left intended for Christian Watson (defended by Garrett Williams),3.400,2.270
2,6:36,4,6,ARI 18,0,17,Brayden Narveson 36 yard field goal good,2.270,3.000
2,6:32,,,GNB 35,0,17,Brayden Narveson kicks off 67 yards recovered by Emari Demercado in end zone (tackle by Edgerrin Cooper),0.000,0.410
2,6:28,1,10,ARI 22,0,17,Kyler Murray pass incomplete short left intended for Marvin Harrison (defended by Jaire Alexander),0.410,-0.130
2,6:25,2,10,ARI 22,0,17,Kyler Murray pass complete short middle to James Conner for 9 yards (tackle by Quay Walker),-0.130,0.370
2,5:39,3,1,ARI 31,0,17,Kyler Murray left end for -2 yards (tackle by Evan Williams),0.370,-1.440
2,5:07,4,3,ARI 29,0,17,Blake Gillikin punts returned by Jayden Reed for no gain. Jayden Reed fumbles (forced by Zach Pascal) recovered by Owen Pappoe at GB-23. Penalty on Zayne Anderson: Offensive Holding 10 yards (offset) . Penalty on DeeJay Dallas: Horse Collar Tackle 15 yards (offset) (no play),-1.440,-1.440
2,4:54,4,3,ARI 29,0,17,Blake Gillikin punts 54 yards returned by Keisean Nixon for 39 yards (tackle by Blake Gillikin),-1.440,-2.650
2,4:39,1,10,ARI 44,0,23,Jordan Love pass complete deep middle to Christian Watson for 44 yards touchdown,2.650,7.000
2,4:32,,,ARI 15,0,24,Brayden Narveson kicks extra point good,0.000,0.000
2,4:32,,,GNB 35,0,24,Brayden Narveson kicks off 64 yards returned by DeeJay Dallas for 29 yards (tackle by Ty'Ron Hopper),0.000,0.940
2,4:26,1,10,ARI 30,0,24,James Conner left guard for 1 yard (tackle by Xavier McKinney),0.940,0.530
2,3:38,2,9,ARI 31,0,24,Kyler Murray scrambles right end for 4 yards (tackle by Javon Bullard). Penalty on Jaire Alexander: Unnecessary Roughness / Defense 15 yards (accepted),0.530,2.260
2,3:16,1,10,ARI 50,0,24,James Conner right end for 8 yards (tackle by Xavier McKinney). Penalty on Keisean Nixon: Illegal Use of Hands / Defense 5 yards (accepted),2.260,3.120
2,3:03,1,10,GNB 37,0,24,Kyler Murray pass complete deep right to Trey McBride for 27 yards (tackle by Xavier McKinney and Keisean Nixon),3.120,4.910
2,2:16,1,10,GNB 10,0,24,James Conner left end for 2 yards (tackle by Javon Bullard). Penalty on Elijah Higgins: Offensive Holding 10 yards (accepted),4.910,4.240
2,2:00,1,18,GNB 18,6,24,Kyler Murray pass complete deep middle to Michael Wilson for 18 yards touchdown,4.240,7.000
2,1:56,,,GNB 15,7,24,Chad Ryland kicks extra point good,0.000,0.000
2,1:56,,,ARI 35,7,24,Chad Ryland kicks off 66 yards returned by Keisean Nixon for 23 yards (tackle by Jesse Luketa),0.000,0.410
2,1:50,1,10,GNB 22,7,24,Josh Jacobs right guard for 5 yards (tackle by Dante Stills),0.410,0.540
2,1:16,2,5,GNB 27,7,24,Jordan Love pass complete short left to Josh Jacobs for 5 yards (tackle by Garrett Williams),0.540,1.070
