Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
3,5:22,1,10,SFO 42,23,10,Zach Charbonnet right guard for 4 yards (tackle by Sam Okuayinonu),2.790,2.780
3,4:57,2,6,SFO 38,23,10,Geno Smith pass complete short right to Noah Fant for 12 yards (tackle by Fred Warner),2.780,3.840
3,4:17,1,10,SFO 26,23,10,Geno Smith pass complete short left to Kenneth Walker for 8 yards (tackle by Ji'Ayir Brown),3.840,4.450
3,3:50,2,2,SFO 18,23,10,Kenneth Walker left end for -1 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),4.450,3.570
3,3:22,3,3,SFO 19,23,10,Geno Smith pass complete short left to D.K. Metcalf for 8 yards (tackle by Renardo Green),3.570,4.840
3,2:59,1,10,SFO 11,23,10,Kenneth Walker up the middle for 8 yards (tackle by George Odum and Robert Beal),4.840,5.660
3,2:37,2,2,SFO 3,23,10,Kenneth Walker left guard for 2 yards (tackle by Ji'Ayir Brown and Fred Warner),5.660,6.970
3,2:14,1,1,SFO 1,23,10,Geno Smith up the middle for no gain (tackle by Evan Anderson and Fred Warner),6.970,5.910
3,1:28,2,1,SFO 1,23,16,Kenneth Walker left guard for 1 yard touchdown,5.910,7.000
3,1:24,,,SFO 15,23,17,Jason Myers kicks extra point good,0.000,0.000
3,1:24,,,SEA 35,23,17,Jason Myers kicks off 62 yards returned by Deebo Samuel for 23 yards (tackle by Jake Bobo),0.000,0.670
3,1:20,1,10,SFO 26,23,17,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,0.670,0.130
3,1:14,2,10,SFO 26,23,17,Brock Purdy pass complete short right to Kyle Juszczyk for no gain (tackle by Jerome Baker),0.130,-0.560
3,0:30,3,10,SFO 26,23,17,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Julian Love),-0.560,-1.180
4,15:00,4,3,SFO 33,23,17,Mitch Wishnowsky punts 49 yards fair catch by Dee Williams at SEA-18 SFO challenged the kick touched ruling and the play was upheld.,-1.180,-0.040
4,14:51,1,10,SEA 18,23,17,Zach Charbonnet right guard for 3 yards (tackle by Fred Warner and Nick Bosa),0.040,0.010
4,14:23,2,7,SEA 21,23,17,Zach Charbonnet up the middle for 9 yards (tackle by Dee Winters),0.010,0.940
4,13:36,1,10,SEA 30,23,17,Geno Smith pass incomplete short right. Penalty on Charles Cross: Ineligible Downfield Pass 5 yards (declined),0.940,0.390
4,13:31,2,10,SEA 30,23,17,Zach Charbonnet up the middle for no gain (tackle by Kevin Givens and Nick Bosa),0.390,-0.300
4,12:55,3,10,SEA 30,23,17,Geno Smith pass incomplete short right,-0.300,-1.370
4,12:46,4,10,SEA 30,23,17,Michael Dickson punts 58 yards returned by Jacob Cowing for no gain (tackle by Dee Williams),-1.370,0.350
4,12:38,1,10,SFO 12,23,17,Deebo Samuel left end for no gain (tackle by Devon Witherspoon). Penalty on Eric Saubert: Illegal Shift 5 yards (accepted) (no play),-0.350,-0.570
4,12:19,1,15,SFO 7,23,17,Brock Purdy pass complete short left to Kyle Juszczyk for 13 yards (tackle by Jerome Baker and Tyrel Dodson),-0.570,0.290
4,11:33,2,2,SFO 20,23,17,Patrick Taylor up the middle for 3 yards (tackle by Johnathan Hankins),0.290,0.480
4,11:09,1,10,SFO 23,23,17,Deebo Samuel right end for no gain. Penalty on Leonard Williams: Face Mask (15 Yards) 15 yards (accepted) (no play),0.480,1.470
4,11:08,1,10,SFO 38,23,17,Brock Purdy pass complete deep middle to Brandon Aiyuk for 21 yards (tackle by Devon Witherspoon),1.470,2.850
4,10:26,1,10,SEA 41,23,17,Deebo Samuel left end for 1 yard (tackle by Devon Witherspoon and Jerome Baker),2.850,2.440
4,9:43,2,9,SEA 40,23,17,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,2.440,1.750
4,9:38,,,,,,Timeout #2 by San Francisco 49ers,,
4,9:38,3,9,SEA 40,23,17,Brock Purdy pass incomplete short middle intended for Jauan Jennings,1.750,0.590
