Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
2,9:10,2,10,DEN 26,10,0,Derius Davis right end for 10 yards (tackle by Brandon Jones),3.300,4.510
2,8:32,1,10,DEN 16,10,0,J.K. Dobbins right tackle for 2 yards (tackle by D.J. Jones),4.510,4.210
2,7:50,2,8,DEN 14,10,0,Justin Herbert pass incomplete short left,4.210,3.370
2,7:43,3,8,DEN 14,10,0,Justin Herbert pass incomplete short middle intended for Josh Palmer. Penalty on Ja'Quan McMillian: Defensive Pass Interference 7 yards (accepted) (no play),3.370,5.600
2,7:43,1,7,DEN 7,10,0,Kimani Vidal left end for -1 yards (tackle by Zach Allen),5.600,4.570
2,7:17,2,8,DEN 8,10,0,Justin Herbert pass incomplete short right,4.570,3.580
2,7:09,3,8,DEN 8,10,0,Justin Herbert sacked by and Zach Allen for -7 yards and Jonathon Cooper for -7 yards. Justin Herbert fumbles (forced by Jonathon Cooper) recovered by Justin Herbert at DEN-15,3.580,2.440
2,6:24,4,15,DEN 15,13,0,Cameron Dicker 33 yard field goal good,2.440,3.000
2,6:21,,,LAC 35,13,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,6:21,1,10,DEN 30,13,0,Javonte Williams up the middle for 13 yards (tackle by Alohi Gilman),0.940,1.800
2,5:43,1,10,DEN 43,13,0,Javonte Williams right end for 4 yards (tackle by Denzel Perryman),1.800,1.790
2,5:07,2,6,DEN 47,13,0,Bo Nix pass incomplete deep middle intended for Courtland Sutton,1.790,1.090
2,5:03,3,6,DEN 47,13,0,Bo Nix pass complete short left to Courtland Sutton for 8 yards (tackle by Kristian Fulton),1.090,2.590
2,4:38,1,10,LAC 45,13,0,Javonte Williams up the middle for 1 yard. Javonte Williams fumbles (forced by Khalil Mack) recovered by Teair Tart at LAC-44,2.590,-1.860
2,4:32,1,10,LAC 44,13,0,Justin Herbert pass complete short right to J.K. Dobbins for 1 yard (tackle by Jonathon Cooper),1.860,1.450
2,3:53,2,9,LAC 45,13,0,Justin Herbert pass incomplete short left intended for Quentin Johnston (defended by Jonah Elliss),1.450,0.760
2,3:50,3,9,LAC 45,13,0,Justin Herbert pass complete short right to Ladd McConkey for 12 yards (tackle by Riley Moss),0.760,2.720
2,3:28,1,10,DEN 43,13,0,J.K. Dobbins left end for no gain (tackle by Malcolm Roach),2.720,2.180
2,3:16,,,,,,Timeout #1 by Denver Broncos,,
2,3:16,2,10,DEN 43,13,0,Justin Herbert pass complete short left to Will Dissly for 20 yards (tackle by Malcolm Roach and P.J. Locke),2.180,4.040
2,2:32,1,10,DEN 23,13,0,J.K. Dobbins right tackle for 9 yards (tackle by Brandon Jones and Cody Barton),4.040,4.950
2,2:00,2,1,DEN 14,13,0,Justin Herbert pass complete short left to Will Dissly for no gain (tackle by P.J. Locke),4.950,4.280
2,1:52,,,,,,Timeout #2 by Denver Broncos,,
2,1:52,3,1,DEN 14,13,0,J.K. Dobbins up the middle for 2 yards (tackle by Brandon Jones),4.280,4.780
2,1:16,1,10,DEN 12,13,0,Justin Herbert pass complete short left to Quentin Johnston for 8 yards (tackle by Levi Wallace),4.780,5.600
2,1:10,2,2,DEN 4,13,0,Justin Herbert pass incomplete short right intended for Josh Palmer,5.600,4.840
2,1:03,3,2,DEN 4,19,0,J.K. Dobbins left guard for 4 yards touchdown,4.840,7.000
2,1:00,,,DEN 15,20,0,Cameron Dicker kicks extra point good,0.000,0.000
2,1:00,,,LAC 35,20,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,1:00,1,10,DEN 30,20,0,Bo Nix pass complete short middle to Lucas Krull for 8 yards (tackle by Elijah Molden and Junior Colson),0.940,1.470
2,0:44,2,2,DEN 38,20,0,Bo Nix pass incomplete short left intended for Javonte Williams (defended by Khalil Mack),1.470,0.760
2,0:36,3,2,DEN 38,20,0,Bo Nix pass complete deep middle to Courtland Sutton for no gain (tackle by Alohi Gilman). Penalty on Quinn Meinerz: Offensive Holding 10 yards (accepted) (no play),0.760,-0.560
2,0:26,3,12,DEN 28,20,0,Bo Nix pass incomplete short middle intended for Lucas Krull,-0.560,-1.500
2,0:19,4,12,DEN 28,20,0,Riley Dixon punts 54 yards returned by Derius Davis for 8 yards (tackle by Mitchell Fraboni),-1.500,-0.670
2,0:08,1,10,LAC 26,20,0,Justin Herbert kneels for -1 yards,0.670,-0.010
3,15:00,,,DEN 35,20,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAC 30,20,0,J.K. Dobbins left guard for 6 yards (tackle by Brandon Jones),0.940,1.200
3,14:24,2,4,LAC 36,20,0,J.K. Dobbins up the middle for 3 yards (tackle by P.J. Locke and Cody Barton),1.200,0.890
