Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2,9:43,1,7,NYG 7,0,0,Kenneth Gainwell right guard for 4 yards (tackle by Rakeem Nunez-Roches and Micah McFadden),5.600,5.530
2,9:05,2,3,NYG 3,6,0,Saquon Barkley up the middle for 3 yards touchdown,5.530,7.000
2,8:58,,,NYG 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
2,8:58,,,PHI 35,7,0,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,8:58,1,10,NYG 30,7,0,Daniel Jones pass complete short right to Tyrone Tracy for 4 yards (tackle by Zack Baun),0.940,0.930
2,8:31,2,6,NYG 34,7,0,Daniel Jones pass complete short left to Darius Slayton for no gain (tackle by Quinyon Mitchell). Penalty on John Michael Schmitz: Ineligible Downfield Pass 5 yards (accepted) (no play),0.930,0.260
2,8:07,2,11,NYG 29,7,0,Daniel Jones pass incomplete deep middle intended for Darius Slayton,0.260,-0.430
2,8:00,3,11,NYG 29,7,0,Daniel Jones sacked by Bryce Huff for -7 yards,-0.430,-1.900
2,7:06,4,18,NYG 22,7,0,Matt Haack punts 64 yards returned by Cooper DeJean for 28 yards (tackle by Daniel Bellinger and Bryce Ford-Wheaton),-1.900,-1.730
2,6:50,1,10,PHI 42,7,0,Kenneth Gainwell right guard for -1 yards (tackle by Rakeem Nunez-Roches and Jordon Riley),1.730,1.050
2,6:16,2,11,PHI 41,7,0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 11 yards (tackle by Bobby Okereke),1.050,2.390
2,5:47,1,10,NYG 48,7,0,Kenneth Gainwell left guard for 2 yards (tackle by Jordon Riley and Brian Burns),2.390,2.120
2,5:13,2,8,NYG 46,7,0,Jalen Hurts pass complete short left to Grant Calcaterra for 5 yards (tackle by Tyler Nubin),2.120,2.080
2,4:41,3,3,NYG 41,7,0,Jalen Hurts pass incomplete short left intended for DeVonta Smith,2.080,0.530
2,4:34,4,3,NYG 41,13,0,Jalen Hurts pass complete deep left to A.J. Brown for 41 yards touchdown,0.530,7.000
2,4:27,,,NYG 15,14,0,Jake Elliott kicks extra point good,0.000,0.000
2,4:27,,,PHI 35,14,0,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,4:27,1,10,NYG 30,14,0,Daniel Jones sacked by Jalen Carter for -4 yards,0.940,-0.150
2,4:02,2,14,NYG 26,14,0,Daniel Jones pass complete short left to Tyrone Tracy for 1 yard (tackle by Zack Baun),-0.150,-0.690
2,3:17,3,13,NYG 27,14,0,Daniel Jones pass incomplete deep left intended for Malik Nabers,-0.690,-1.570
2,3:12,4,13,NYG 27,14,0,Matt Haack punts 46 yards fair catch by Cooper DeJean at PHI-27,-1.570,-0.740
2,3:05,1,10,PHI 27,14,0,Jalen Hurts pass complete short left to DeVonta Smith for -2 yards (tackle by Andru Phillips),0.740,-0.070
2,2:23,2,12,PHI 25,14,0,Jalen Hurts scrambles up the middle for 1 yard (tackle by Dexter Lawrence),-0.070,-0.620
2,2:00,3,11,PHI 26,14,0,Jalen Hurts sacked by Dexter Lawrence for -8 yards,-0.620,-2.240
2,1:53,,,,,,Timeout #1 by New York Giants,,
2,1:53,4,19,PHI 18,14,0,Braden Mann punts 58 yards returned by Ihmir Smith-Marsette for 12 yards (tackle by Kelee Ringo). Penalty on Sydney Brown: Player Out of Bounds on a Punt 5 yards (accepted),-2.240,-1.660
2,1:41,1,10,NYG 41,14,0,Daniel Jones pass complete short left to Tyrone Tracy for 4 yards (tackle by Zack Baun),1.660,1.660
2,1:36,2,6,NYG 45,14,0,Daniel Jones up the middle for 3 yards (tackle by Moro Ojomo),1.660,1.360
2,1:13,3,3,NYG 48,14,0,Daniel Jones pass complete short left to Malik Nabers for 5 yards (tackle by Reed Blankenship),1.360,2.460
2,0:54,1,10,PHI 47,14,0,Daniel Jones pass incomplete short left,2.460,1.910
2,0:47,2,10,PHI 47,14,0,Daniel Jones scrambles right end for 9 yards (tackle by Darius Slay),1.910,2.410
2,0:39,3,1,PHI 38,14,0,Daniel Jones up the middle for 3 yards (tackle by Nakobe Dean),2.410,3.250
2,0:37,,,,,,Timeout #2 by New York Giants,,
2,0:37,1,10,PHI 35,14,0,Penalty on Moro Ojomo: Encroachment 5 yards (accepted) (no play),3.250,3.980
2,0:37,1,5,PHI 30,14,0,Daniel Jones pass complete short right to Malik Nabers for 14 yards (tackle by Darius Slay and Avonte Maddox),3.980,4.510
2,0:28,,,,,,Timeout #3 by New York Giants,,
2,0:28,1,10,PHI 16,14,0,Daniel Jones pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Nakobe Dean),4.510,4.970
2,0:15,2,4,PHI 10,14,0,Daniel Jones spiked the ball,4.970,4.170
2,0:14,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:14,3,4,PHI 10,14,0,Daniel Jones pass complete short middle to Theo Johnson for no gain touchdown. Penalty on Theo Johnson: Offensive Pass Interference 10 yards (accepted) (no play),4.170,2.740
2,0:09,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:09,3,14,PHI 20,14,3,Greg Joseph 38 yard field goal good,2.740,3.000
2,0:05,,,NYG 35,14,3,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,0:05,1,10,PHI 30,14,3,Jalen Hurts kneels for -1 yards,0.940,0.260
3,15:00,,,NYG 35,14,3,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,PHI 30,14,3,Jalen Hurts pass complete short right to Saquon Barkley for 1 yard (tackle by Dane Belton),0.940,0.530
3,14:20,2,9,PHI 31,14,3,Saquon Barkley left tackle for 3 yards (tackle by Jason Pinnock),0.530,0.230
3,13:37,3,6,PHI 34,14,3,Jalen Hurts pass incomplete deep left intended for Jahan Dotson (defended by Nick McCloud),0.230,-1.110
3,13:29,4,6,PHI 34,14,3,Braden Mann punts 55 yards returned by Ihmir Smith-Marsette for 9 yards (tackle by Sydney Brown),-1.110,-0.280
3,13:19,1,10,NYG 20,14,3,Devin Singletary right guard for 4 yards (tackle by Nakobe Dean and Jalen Carter),0.280,0.270
3,12:42,2,6,NYG 24,14,3,Devin Singletary right guard for 3 yards (tackle by Zack Baun and Bryce Huff),0.270,-0.030
3,12:02,3,3,NYG 27,14,3,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Darius Slay),-0.030,-1.570
3,11:57,4,3,NYG 27,14,3,Matt Haack punts 50 yards fair catch by Cooper DeJean at PHI-23,-1.570,-0.480
3,11:50,1,10,PHI 23,14,3,Jalen Hurts pass complete short left to A.J. Brown for 15 yards (tackle by Jason Pinnock and Deonte Banks),0.480,1.470
3,11:26,1,10,PHI 38,14,3,Saquon Barkley right end for 6 yards (tackle by Tre Hawkins),1.470,1.730
3,10:52,2,4,PHI 44,14,3,Saquon Barkley up the middle for 5 yards (tackle by Brian Burns),1.730,2.190
3,10:15,1,10,PHI 49,14,3,Saquon Barkley right guard for 38 yards (tackle by Tre Hawkins),2.190,4.710
3,9:43,1,10,NYG 13,14,3,Saquon Barkley right end for 6 yards (tackle by Tre Hawkins),4.710,5.150
3,9:19,2,4,NYG 7,14,3,Saquon Barkley up the middle for 2 yards (tackle by Micah McFadden and D.J. Davidson),5.150,4.780
