Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
1,1:42,1,10,CIN 10,7,0,Ja'Marr Chase left end for 11 yards (tackle by Grant Delpit),-0.380,0.340
1,1:14,1,10,CIN 21,7,0,Joe Burrow pass complete deep left to Tee Higgins for 21 yards (tackle by Martin Emerson),0.340,1.730
1,0:45,1,10,CIN 42,7,0,Joe Burrow pass complete short left to Chase Brown for 3 yards (tackle by Martin Emerson),1.730,1.590
2,15:00,2,7,CIN 45,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Denzel Ward and Mohamoud Diabate),1.590,1.550
2,14:29,3,2,CIN 50,7,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Martin Emerson),1.550,-0.060
2,14:23,4,2,CIN 50,7,0,Penalty on Joe Burrow: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
2,14:23,4,7,CIN 45,7,0,Ryan Rehkow punts 46 yards fair catch by Jaelon Darden at CLE-9,-0.390,0.380
2,14:16,1,10,CLE 9,7,0,Deshaun Watson pass complete short middle to Nick Chubb for 10 yards (tackle by Joseph Ossai),-0.380,0.150
2,13:50,1,10,CLE 19,7,0,Deshaun Watson pass incomplete deep right intended for Jerry Jeudy. Penalty on Joel Bitonio: Illegal Use of Hands / Offense 10 yards (accepted) (no play),0.150,-0.760
2,13:42,1,20,CLE 9,7,0,Nick Chubb left guard for no gain (tackle by Germaine Pratt and Joseph Ossai),-0.760,-1.510
2,13:00,2,20,CLE 9,7,0,Deshaun Watson pass complete short left to Elijah Moore for 3 yards (tackle by Germaine Pratt),-1.510,-2.240
2,12:27,3,17,CLE 12,7,0,Deshaun Watson pass complete short middle to Jordan Akins for 9 yards (tackle by Germaine Pratt and Vonn Bell). Penalty on Jedrick Wills: Illegal Formation 5 yards (declined),-2.240,-1.960
2,12:03,4,8,CLE 21,7,0,Corey Bojorquez punts 58 yards returned by Charlie Jones for 23 yards (tackle by Tony Brown and Khaleke Hudson),-1.960,-1.860
2,11:53,1,10,CIN 44,7,0,Chase Brown up the middle for 2 yards (tackle by Jeremiah Owusu-Koramoah),1.860,1.590
2,11:15,2,8,CIN 46,7,0,Joe Burrow pass incomplete short left intended for Tee Higgins,1.590,0.890
2,11:13,3,8,CIN 46,7,0,Joe Burrow pass incomplete deep right intended for Andrei Iosivas (defended by Denzel Ward),0.890,-0.320
2,11:07,4,8,CIN 46,7,0,Ryan Rehkow punts 45 yards fair catch by Jaelon Darden at CLE-9,-0.320,0.380
2,11:01,1,10,CLE 9,7,0,Deshaun Watson pass complete short middle to David Njoku for 15 yards (tackle by Germaine Pratt),-0.380,0.540
2,10:18,1,10,CLE 24,7,0,Nick Chubb left guard for no gain (tackle by Logan Wilson and Germaine Pratt) (no play),0.540,0.130
2,9:55,1,15,CLE 19,7,0,Deshaun Watson sacked by Sheldon Rankins for -7 yards,0.130,-1.660
2,9:10,2,22,CLE 12,7,0,Deshaun Watson pass complete short middle to David Njoku for 6 yards (tackle by Logan Wilson and Germaine Pratt),-1.660,-1.640
2,8:30,3,16,CLE 18,7,0,Deshaun Watson pass complete short left to Elijah Moore for 6 yards (tackle by Germaine Pratt),-1.640,-1.770
2,7:56,4,10,CLE 24,7,0,Corey Bojorquez punts 47 yards fair catch by Charlie Jones at CIN-29,-1.770,-0.870
2,7:44,1,10,CIN 29,7,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 17 yards (tackle by Rodney McLeod and Mohamoud Diabate). Penalty on Martin Emerson: Illegal Use of Hands / Defense 5 yards (declined),0.870,1.990
2,7:26,1,10,CIN 46,7,0,Zack Moss up the middle for 2 yards (tackle by Jeremiah Owusu-Koramoah and Michael Hall),1.990,1.720
2,6:54,2,8,CIN 48,7,0,Joe Burrow sacked by and Maurice Hurst for -5 yards and Isaiah McGuire for -5 yards,1.720,0.370
2,6:08,3,13,CIN 43,7,0,Joe Burrow sacked by Za'Darius Smith for -7 yards,0.370,-0.980
2,5:35,4,20,CIN 36,7,0,Ryan Rehkow punts 48 yards returned by Jaelon Darden for 6 yards (tackle by Jordan Battle),-0.980,-0.410
2,5:25,1,10,CLE 22,7,0,Nick Chubb left tackle for 5 yards (tackle by Joseph Ossai),0.410,0.540
2,4:47,2,5,CLE 27,7,0,Nick Chubb right guard for 4 yards (tackle by Geno Stone),0.540,0.370
2,4:21,3,1,CLE 31,7,0,Deshaun Watson right guard for 2 yards (tackle by Logan Wilson and B.J. Hill),0.370,1.140
2,3:34,,,,,,Timeout #1 by Cleveland Browns,,
2,3:34,1,10,CLE 33,7,0,Deshaun Watson pass complete short right to David Njoku for 13 yards (tackle by Vonn Bell),1.140,1.990
2,2:58,1,10,CLE 46,7,0,Deshaun Watson pass complete short left to Elijah Moore for 8 yards (tackle by Cam Taylor-Britt),1.990,2.530
2,2:17,2,2,CIN 46,7,0,Deshaun Watson pass complete deep right to Jordan Akins for 21 yards (tackle by DJ Turner),2.530,3.910
2,2:00,1,10,CIN 25,7,0,Pierre Strong right tackle for 4 yards (tackle by Sam Hubbard),3.910,3.900
2,1:26,2,6,CIN 21,7,0,Deshaun Watson up the middle for -2 yards,3.900,2.940
2,1:22,,,,,,Timeout #2 by Cleveland Browns,,
2,1:22,3,8,CIN 23,7,0,Dorian Thompson-Robinson pass incomplete deep right intended for Cedric Tillman. Penalty on DJ Turner: Defensive Pass Interference 22 yards (accepted) (no play),2.940,6.970
2,1:17,1,1,CIN 1,7,0,Nick Chubb up the middle for no gain touchdown. Penalty on Michael Dunn: Offensive Offside 5 yards (accepted) (no play),6.970,5.830
2,1:15,1,6,CIN 6,7,0,Nick Chubb up the middle for 5 yards (tackle by Sam Hubbard and Geno Stone),5.830,5.910
2,1:09,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:09,2,1,CIN 1,7,0,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku (defended by Myles Murphy),5.910,5.170
2,1:06,3,1,CIN 1,7,0,Nick Chubb right guard for no gain (tackle by Joe Bachie and Vonn Bell),5.170,3.550
2,0:59,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:59,4,1,CIN 1,7,6,Nick Chubb left end for 1 yard touchdown,3.550,7.000
2,0:56,,,CIN 15,7,6,Dustin Hopkins kicks extra point no good,0.000,-1.000
2,0:56,,,CLE 35,7,6,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,0:52,1,10,CIN 30,7,6,Joe Burrow pass incomplete short left intended for Zack Moss (defended by Myles Garrett). Penalty on Ogbonnia Okoronkwo: Roughing the Passer 15 yards (accepted) (no play),0.940,1.930
2,0:52,1,10,CIN 45,7,6,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.930,1.380
2,0:42,2,10,CIN 45,7,6,Joe Burrow pass complete short right to Mike Gesicki for 2 yards (tackle by Denzel Ward),1.380,0.960
2,0:41,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:41,3,8,CIN 47,7,6,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Martin Emerson),0.960,-0.260
2,0:37,4,8,CIN 47,7,6,Ryan Rehkow punts 38 yards returned by Jaelon Darden for 5 yards (tackle by Tycen Anderson),-0.260,-0.280
2,0:30,1,10,CLE 20,7,6,Dorian Thompson-Robinson kneels for -2 yards,0.280,-0.630
3,15:00,,,CIN 35,7,6,Evan McPherson kicks off 64 yards returned by D'Onta Foreman for 7 yards (tackle by Akeem Davis-Gaither),0.000,-0.380
3,14:58,1,10,CLE 8,7,6,Dorian Thompson-Robinson pass complete short middle to David Njoku for 9 yards (tackle by Geno Stone and Logan Wilson),-0.380,0.050
3,14:20,2,1,CLE 17,7,6,Dorian Thompson-Robinson pass complete short right to David Njoku for 6 yards (tackle by Geno Stone and Logan Wilson),0.050,0.480
3,13:45,1,10,CLE 23,7,6,Dorian Thompson-Robinson pass incomplete deep left intended for Cedric Tillman (defended by DJ Turner),0.480,-0.070
3,13:35,2,10,CLE 23,7,6,Dorian Thompson-Robinson right end for 34 yards (tackle by DJ Turner),-0.070,2.720
3,12:55,1,10,CIN 43,7,6,Dorian Thompson-Robinson pass incomplete short left intended for David Njoku,2.720,2.180
3,12:46,2,10,CIN 43,7,6,Dorian Thompson-Robinson scrambles right end for no gain (tackle by DJ Turner) (no play),2.180,1.500
3,12:20,2,15,CIN 48,7,6,Dorian Thompson-Robinson pass complete short right to Cedric Tillman for 5 yards (tackle by Mike Hilton),1.500,1.490
3,11:35,3,10,CIN 43,7,6,Dorian Thompson-Robinson pass complete short middle to Elijah Moore for 8 yards (tackle by Josh Newton),1.490,0.990
3,10:55,4,2,CIN 35,7,6,Dorian Thompson-Robinson pass incomplete short right intended for Nick Chubb,0.990,-1.270
3,10:49,1,10,CIN 35,7,6,Chase Brown right end for 22 yards (tackle by Grant Delpit),1.270,2.720
3,10:21,1,10,CLE 43,7,6,Zack Moss up the middle for 1 yard (tackle by Dalvin Tomlinson),2.720,2.310
3,9:46,2,9,CLE 42,7,6,Joe Burrow pass complete short left to Zack Moss for 19 yards (tackle by Martin Emerson),2.310,4.040
3,8:57,1,10,CLE 23,7,6,Penalty on Myles Garrett: Defensive Offside 5 yards (accepted) (no play),4.040,4.860
3,8:37,1,5,CLE 18,7,6,Chase Brown left guard for no gain (tackle by Jeremiah Owusu-Koramoah),4.860,4.210
3,8:00,2,5,CLE 18,13,6,Joe Burrow pass complete deep left to Ja'Marr Chase for 18 yards touchdown,4.210,7.000
3,7:56,,,CLE 15,14,6,Evan McPherson kicks extra point good,0.000,0.000
3,7:56,,,CIN 35,14,6,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,7:56,1,10,CLE 30,14,6,Dorian Thompson-Robinson pass complete short left to Jordan Akins for no gain (tackle by Logan Wilson and Cam Taylor-Britt). Penalty on Joel Bitonio: Ineligible Downfield Pass 5 yards (accepted) (no play),0.940,0.610
3,7:34,1,15,CLE 25,14,6,Dorian Thompson-Robinson pass complete short right to Pierre Strong for 9 yards (tackle by Geno Stone and DJ Turner),0.610,0.930
3,6:50,2,6,CLE 34,14,6,Dorian Thompson-Robinson pass short middle intended for Cedric Tillman is intercepted by Sam Hubbard at CLE-43 and returned for no gain (tackle by Jordan Akins),0.930,-2.720
3,6:44,1,10,CLE 43,14,6,Chase Brown right tackle for 2 yards (tackle by Jordan Hicks and Isaiah McGuire),2.720,2.450
3,6:08,2,8,CLE 41,14,6,Joe Burrow pass incomplete short right intended for Erick All,2.450,1.750
3,6:02,3,8,CLE 41,14,6,Zack Moss left guard for 1 yard (tackle by Myles Garrett),1.750,0.590
