Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
2,8:50,1,10,LAC 32,3,0,James Conner up the middle for 14 yards (tackle by Derwin James and Tarheeb Still),3.450,4.370
2,8:00,1,10,LAC 18,3,0,Penalty on Teair Tart: Neutral Zone Infraction 5 yards (accepted) (no play),4.370,5.410
2,7:43,1,5,LAC 13,3,0,Kyler Murray pass complete short right to Trey McBride for 3 yards (tackle by Cam Hart),5.410,5.230
2,7:03,2,2,LAC 10,3,0,James Conner up the middle for 3 yards (tackle by Bud Dupree),5.230,5.600
2,6:27,1,7,LAC 7,3,0,James Conner left end for 2 yards (tackle by Daiyan Henley),5.600,5.150
2,5:44,2,5,LAC 5,3,6,Kyler Murray pass complete short right to Greg Dortch for 5 yards touchdown,5.150,7.000
2,5:40,,,LAC 15,3,7,Chad Ryland kicks extra point good,0.000,0.000
2,5:40,,,ARI 35,3,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,5:40,1,10,LAC 30,3,7,J.K. Dobbins left tackle for 2 yards (tackle by Mack Wilson),0.940,0.660
2,5:01,2,8,LAC 32,3,7,Justin Herbert pass incomplete short right intended for Ladd McConkey,0.660,-0.030
2,4:56,3,8,LAC 32,3,7,Justin Herbert pass complete short middle to Will Dissly for 5 yards (tackle by Jalen Thompson and Budda Baker),-0.030,-0.910
2,4:08,4,3,LAC 37,3,7,JK Scott punts 36 yards out of bounds,-0.910,-0.740
2,4:01,1,10,ARI 27,3,7,Kyler Murray pass complete short left to Tip Reiman for 1 yard (tackle by Derwin James),0.740,0.330
2,3:22,2,9,ARI 28,3,7,Kyler Murray pass complete short middle to Trey McBride for 14 yards (tackle by Junior Colson and Alohi Gilman),0.330,1.730
2,2:43,1,10,ARI 42,3,7,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Ja'Sir Taylor),1.730,1.190
2,2:38,2,10,ARI 42,3,7,James Conner left end for -6 yards (tackle by Ja'Sir Taylor and Alohi Gilman),1.190,-0.290
2,2:00,3,16,ARI 36,3,7,Emari Demercado right end for 14 yards (tackle by Tarheeb Still),-0.290,-0.060
2,1:52,,,,,,Timeout #2 by Los Angeles Chargers,,
2,1:52,4,2,ARI 50,3,7,Penalty on Kyler Murray: Delay of Game 5 yards (accepted) (no play),-0.060,-0.390
2,1:52,4,7,ARI 45,3,7,Blake Gillikin punts 44 yards fair catch by Ladd McConkey at LAC-11,-0.390,0.370
2,1:47,1,10,LAC 11,3,7,Justin Herbert pass incomplete short right intended for Josh Palmer,-0.370,-0.780
2,1:42,2,10,LAC 11,3,7,Justin Herbert pass complete deep middle to Josh Palmer for 17 yards (tackle by Budda Baker),-0.780,0.810
2,1:22,1,10,LAC 28,3,7,Justin Herbert pass complete deep right to Josh Palmer for 24 yards (tackle by Max Melton),0.810,2.390
2,1:15,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:15,1,10,ARI 48,3,7,Justin Herbert pass complete short middle to Kimani Vidal for 9 yards (tackle by Krys Barnes and Kyzir White),2.390,3.060
2,0:55,2,1,ARI 39,3,7,Kimani Vidal left tackle for 7 yards (tackle by Zaven Collins and Kyzir White),3.060,3.450
2,0:35,1,10,ARI 32,3,7,Justin Herbert pass complete short right to Will Dissly for 4 yards (tackle by Jalen Thompson),3.450,3.440
2,0:30,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:30,2,6,ARI 28,3,7,Justin Herbert sacked by Ben Stille for -4 yards,3.440,2.210
2,0:04,3,10,ARI 32,3,7,Justin Herbert spiked the ball,2.210,1.240
2,0:03,4,10,ARI 32,6,7,Cameron Dicker 50 yard field goal good,1.240,3.000
3,15:00,,,ARI 35,6,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAC 30,6,7,J.K. Dobbins up the middle for 6 yards (tackle by Dennis Gardeck and L.J. Collier),0.940,1.200
3,14:25,2,4,LAC 36,6,7,J.K. Dobbins up the middle for 2 yards (tackle by L.J. Collier and Kyzir White),1.200,0.760
3,13:48,3,2,LAC 38,6,7,J.K. Dobbins left end for 11 yards (tackle by Garrett Williams and Budda Baker),0.760,2.190
3,13:06,1,10,LAC 49,6,7,Justin Herbert pass complete short middle to Josh Palmer for 13 yards (tackle by Max Melton),2.190,3.050
3,12:19,1,10,ARI 38,6,7,Justin Herbert pass complete short left to Jalen Reagor for no gain (tackle by Zaven Collins). Penalty on Rashawn Slater: Offensive Holding 10 yards (accepted) (no play),3.050,2.390
3,12:03,1,20,ARI 48,6,7,Justin Herbert pass incomplete short right intended for Ladd McConkey,2.390,1.160
3,11:59,2,20,ARI 48,6,7,Justin Herbert sacked by Naquan Jones for -8 yards,1.160,-0.560
3,11:15,3,28,LAC 44,6,7,Justin Herbert pass complete short right to J.K. Dobbins for 10 yards (tackle by Budda Baker),-0.560,0.200
3,10:34,4,18,ARI 46,6,7,JK Scott punts 39 yards downed by Troy Dye,0.200,0.380
3,10:25,1,10,ARI 7,6,7,James Conner up the middle for 4 yards (tackle by Otito Ogbonnia and Poona Ford),-0.380,-0.490
3,9:45,2,6,ARI 11,6,7,Kyler Murray pass incomplete short right intended for Marvin Harrison,-0.490,-0.950
3,9:40,3,6,ARI 11,6,7,Kyler Murray pass incomplete deep right intended for Michael Wilson. Penalty on Cam Hart: Defensive Pass Interference 22 yards (accepted) (no play),-0.950,1.140
3,9:35,1,10,ARI 33,6,7,James Conner right end for no gain (tackle by Elijah Molden),1.140,0.590
3,8:52,2,10,ARI 33,6,7,James Conner left tackle for 13 yards (tackle by Derwin James),0.590,1.990
3,8:10,1,10,ARI 46,6,7,Kyler Murray pass complete short right to Elijah Higgins for 1 yard (tackle by Daiyan Henley),1.990,1.590
3,7:21,2,9,ARI 47,6,7,Penalty on Kyler Murray: Delay of Game 5 yards (accepted) (no play),1.590,0.910
3,7:04,2,14,ARI 42,6,7,James Conner left end for 13 yards (tackle by Alohi Gilman),0.910,1.950
3,6:50,3,1,LAC 45,6,7,Clayton Tune up the middle for no gain (tackle by Daiyan Henley),1.950,0.270
3,6:10,4,1,LAC 45,6,7,Clayton Tune up the middle for no gain (tackle by Otito Ogbonnia and Khalil Mack),0.270,-1.930
3,6:06,1,10,LAC 45,6,7,J.K. Dobbins left tackle for 2 yards (tackle by Naquan Jones),1.930,1.650
3,5:24,2,8,LAC 47,6,7,Justin Herbert pass incomplete short right,1.650,0.960
3,5:15,3,8,LAC 47,6,7,Justin Herbert pass complete deep right to Simi Fehoko for 25 yards (tackle by Garrett Williams),0.960,3.710
3,4:27,1,10,ARI 28,6,7,Penalty on Joe Alt: False Start 5 yards (accepted) (no play),3.710,3.380
3,4:07,1,15,ARI 33,6,7,J.K. Dobbins left tackle for 2 yards (tackle by Jesse Luketa and Khyiris Tonga),3.380,2.760
3,3:27,2,13,ARI 31,6,7,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by Max Melton),2.760,2.870
3,2:56,3,7,ARI 25,6,7,Justin Herbert pass complete short right to J.K. Dobbins for 14 yards (tackle by Max Melton),2.870,4.840
3,2:12,,,,,,Timeout #1 by Los Angeles Chargers,,
3,2:12,1,10,ARI 11,6,7,Kimani Vidal up the middle for 2 yards (tackle by Zaven Collins),4.840,4.510
3,1:31,2,8,ARI 9,6,7,Justin Herbert sacked by Dante Stills for -1 yards,4.510,3.300
3,0:48,3,9,ARI 10,6,7,Justin Herbert pass incomplete short middle intended for Will Dissly (defended by Garrett Williams),3.300,2.760
3,0:43,4,9,ARI 10,9,7,Cameron Dicker 28 yard field goal good,2.760,3.000
3,0:40,,,LAC 35,9,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,0:40,1,10,ARI 30,9,7,Kyler Murray pass complete short middle to Michael Wilson for 15 yards (tackle by Denzel Perryman),0.940,1.930
3,0:01,1,10,ARI 45,9,7,James Conner right tackle for 1 yard (tackle by Bud Dupree and Khalil Mack),1.930,1.520
4,15:00,2,9,ARI 46,9,7,Kyler Murray pass complete short left to Marvin Harrison for 10 yards (tackle by Alohi Gilman),1.520,2.650
