Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
2,11:35,,,WAS 35,0,17,Austin Seibert kicks off 63 yards returned by Xavier Legette for 19 yards (tackle by Jeremy McNichols),0.000,0.340
2,11:27,1,10,CAR 21,0,17,Andy Dalton scrambles left end for 4 yards (tackle by Jeremy Chinn),0.340,0.340
2,10:53,2,6,CAR 25,0,17,Chuba Hubbard right guard for 4 yards (tackle by Jeremy Chinn and Bobby Wagner),0.340,0.170
2,10:15,3,2,CAR 29,0,17,Andy Dalton pass complete short left to Ian Thomas for 2 yards (tackle by Percy Butler),0.170,1.000
2,9:31,1,10,CAR 31,0,17,Chuba Hubbard up the middle for 8 yards (tackle by Jeremy Chinn and Quan Martin),1.000,1.540
2,8:57,2,2,CAR 39,0,17,Chuba Hubbard left guard for no gain (tackle by Daron Payne),1.540,0.830
2,8:18,3,2,CAR 39,0,17,Miles Sanders up the middle for 1 yard (tackle by Bobby Wagner and Clelin Ferrell),0.830,-0.720
2,7:34,4,1,CAR 40,0,17,Chuba Hubbard up the middle for -2 yards (tackle by Dante Fowler),-0.720,-3.050
2,7:32,1,10,CAR 38,0,17,Austin Ekeler left end for 3 yards (tackle by DJ Johnson and Shy Tuttle),3.050,2.910
2,7:05,2,7,CAR 35,0,17,Marcus Mariota pass incomplete short left intended for Zach Ertz (defended by Chau Smith-Wade). Penalty on Chau Smith-Wade: Defensive Holding 5 yards (accepted) (no play),2.910,3.580
2,6:57,1,10,CAR 30,0,17,Marcus Mariota up the middle for 9 yards (tackle by Chandler Wooten),3.580,4.250
2,6:21,2,1,CAR 21,0,17,Austin Ekeler right end for no gain (tackle by Chandler Wooten). Penalty on Andrew Wylie: Offensive Holding 10 yards (accepted) (no play),4.250,2.900
2,5:55,2,11,CAR 31,0,17,Marcus Mariota pass incomplete short left intended for Zach Ertz,2.900,2.210
2,5:49,3,11,CAR 31,0,17,Marcus Mariota pass incomplete short left intended for Dyami Brown (defended by Jaycee Horn),2.210,1.320
2,5:43,4,11,CAR 31,0,20,Austin Seibert 49 yard field goal good,1.320,3.000
2,5:39,,,WAS 35,0,20,Austin Seibert kicks off 61 yards returned by Raheem Blackshear for 28 yards (tackle by Darrick Forrest and Jeremy Chinn) WAS challenged the runner was down by contact ruling and the play was upheld.,0.000,1.070
2,5:26,1,10,CAR 32,0,20,Andy Dalton pass complete short right to Ja'Tavion Sanders for 16 yards (tackle by Noah Igbinoghene),1.070,2.130
2,4:42,1,10,CAR 48,0,20,Chuba Hubbard right tackle for -2 yards (tackle by Frankie Luvu),2.130,1.310
2,4:04,2,12,CAR 46,0,20,Chuba Hubbard left end for no gain (tackle by Mike Sainristil),1.310,0.630
2,3:22,3,12,CAR 46,0,20,Andy Dalton pass complete short right to Ja'Tavion Sanders for 2 yards (tackle by Noah Igbinoghene),0.630,-0.190
2,2:37,4,10,CAR 48,0,20,Johnny Hekker punts 44 yards downed by Jacoby Windmon,-0.190,0.380
2,2:22,1,10,WAS 8,0,20,Brian Robinson right guard for 3 yards (tackle by LaBryan Ray and Chandler Wooten),-0.380,-0.560
2,2:00,2,7,WAS 11,0,20,Marcus Mariota right end for 4 yards (tackle by Jaycee Horn),-0.560,-0.600
2,1:22,3,3,WAS 15,0,20,Penalty on Marquis Haynes: Neutral Zone Infraction 5 yards (accepted) (no play),-0.600,0.280
2,1:22,1,10,WAS 20,0,20,Marcus Mariota pass incomplete short left intended for Austin Ekeler. Penalty on Dane Jackson: Defensive Holding 5 yards (accepted) (no play),0.280,0.610
2,1:19,1,10,WAS 25,0,20,Marcus Mariota pass complete short middle to Zach Ertz for 7 yards (tackle by Xavier Woods),0.610,1.010
2,1:03,2,3,WAS 32,0,20,Marcus Mariota pass complete short left to Terry McLaurin for 18 yards (tackle by Chau Smith-Wade and Michael Jackson),1.010,2.260
2,0:43,1,10,WAS 50,0,20,Marcus Mariota pass complete short right to Terry McLaurin for 15 yards (tackle by Michael Jackson),2.260,3.250
2,0:39,,,,,,Timeout #2 by Washington Commanders,,
2,0:39,1,10,CAR 35,0,20,Marcus Mariota pass incomplete short right intended for Olamide Zaccheaus,3.250,2.700
2,0:36,2,10,CAR 35,0,20,Marcus Mariota pass complete deep middle to Dyami Brown for 23 yards (tackle by Nick Scott and Michael Jackson),2.700,4.780
2,0:16,1,10,CAR 12,0,26,Marcus Mariota pass complete short right to Zach Ertz for 12 yards touchdown,4.780,7.000
2,0:10,,,CAR 15,0,27,Austin Seibert kicks extra point good,0.000,0.000
2,0:10,,,WAS 35,0,27,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
2,0:10,1,10,CAR 30,0,27,Andy Dalton kneels for -1 yards,0.940,0.260
3,15:00,,,CAR 35,0,27,Eddy Pineiro kicks off 58 yards returned by Austin Ekeler for 34 yards (tackle by Raheem Blackshear),0.000,1.660
3,14:55,1,10,WAS 41,0,27,Tyler Biadasz aborted snap recovered by Marcus Mariota at WAS-41 (tackle by Shy Tuttle),1.660,1.260
3,14:21,2,9,WAS 42,0,27,Marcus Mariota scrambles left end for 11 yards (tackle by Chau Smith-Wade),1.260,2.460
3,13:41,1,10,CAR 47,0,27,Marcus Mariota pass complete short middle to Olamide Zaccheaus for no gain (tackle by Nick Scott). Penalty on Samuel Cosmi: Ineligible Downfield Pass 5 yards (accepted) (no play),2.460,2.130
3,13:19,1,15,WAS 48,0,27,Marcus Mariota pass complete short middle to Austin Ekeler for no gain (tackle by DJ Johnson),2.130,1.240
3,12:40,2,15,WAS 48,0,27,Marcus Mariota pass complete short left to Terry McLaurin for 19 yards (tackle by Michael Jackson),1.240,3.380
3,12:03,1,10,CAR 33,0,27,Marcus Mariota pass complete short left to Zach Ertz for 15 yards (tackle by Xavier Woods),3.380,4.370
3,11:40,1,10,CAR 18,0,27,Brian Robinson right guard for 3 yards (tackle by DeShawn Williams and Nick Thurman),4.370,4.250
3,11:01,2,7,CAR 15,0,27,Brian Robinson left tackle for 2 yards (tackle by DeShawn Williams and Nick Thurman),4.250,3.820
3,10:19,3,5,CAR 13,0,27,Marcus Mariota pass complete short right to Olamide Zaccheaus for 7 yards (tackle by Trevin Wallace),3.820,5.830
3,9:34,1,6,CAR 6,0,27,Austin Ekeler right tackle for 3 yards (tackle by Xavier Woods and LaBryan Ray),5.830,5.530
3,8:57,2,3,CAR 3,0,33,Marcus Mariota pass complete short right to Ben Sinnott for 3 yards touchdown,5.530,7.000
3,8:53,,,CAR 15,0,34,Austin Seibert kicks extra point good,0.000,0.000
3,8:53,,,WAS 35,0,34,Austin Seibert kicks off 66 yards returned by Raheem Blackshear for 24 yards. Raheem Blackshear fumbles (tackle by Nick Bellore recovered by Ja'Tavion Sanders at CAR-22 and returned for 2 yards and Michael Davis and Mike Sainristil),0.000,0.540
3,8:44,1,10,CAR 24,0,34,Andy Dalton sacked by Dante Fowler for no gain,0.540,0.000
