Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
2,11:22,3,7,SEA 47,3,0,Geno Smith pass complete short middle to Noah Fant for 28 yards (tackle by Mike Hughes),1.030,3.910
2,10:35,1,10,ATL 25,3,0,Geno Smith pass complete short left to AJ Barner for 5 yards (tackle by Mike Hughes),3.910,4.040
2,9:59,2,5,ATL 20,9,0,Kenneth Walker right tackle for 20 yards touchdown,4.040,7.000
2,9:52,,,ATL 15,10,0,Jason Myers kicks extra point good,0.000,0.000
2,9:52,,,SEA 35,10,0,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,9:52,1,10,ATL 30,10,0,Bijan Robinson left end for 26 yards (tackle by Julian Love),0.940,2.650
2,9:07,1,10,SEA 44,10,0,Bijan Robinson right tackle for 5 yards (tackle by Johnathan Hankins),2.650,2.780
2,8:25,2,5,SEA 39,10,0,Bijan Robinson left guard for 7 yards (tackle by K'Von Wallace),2.780,3.450
2,7:57,1,10,SEA 32,10,0,Bijan Robinson right tackle for 5 yards (tackle by Byron Murphy),3.450,3.580
2,7:38,2,5,SEA 27,10,0,Tyler Allgeier left end for 3 yards (tackle by Jarran Reed),3.580,3.270
2,7:11,3,2,SEA 24,10,0,Kirk Cousins pass complete short middle to Drake London for 12 yards (tackle by Coby Bryant),3.270,4.780
2,6:23,1,10,SEA 12,10,0,Bijan Robinson left end for 5 yards (tackle by Josh Jobe and Julian Love),4.780,5.020
2,5:42,2,5,SEA 7,10,0,Bijan Robinson right tackle for 2 yards (tackle by Julian Love and Coby Bryant),5.020,4.610
2,5:22,3,3,SEA 5,10,6,Bijan Robinson right tackle for 5 yards touchdown,4.610,7.000
2,5:18,,,SEA 15,10,7,Younghoe Koo kicks extra point good,0.000,0.000
2,5:18,,,ATL 35,10,7,Younghoe Koo kicks off 65 yards touchback.,0.000,0.940
2,5:18,1,10,SEA 30,10,7,Jaxon Smith-Njigba pass complete deep right to D.K. Metcalf for 35 yards (tackle by AJ Terrell),0.940,3.250
2,4:32,1,10,ATL 35,10,7,Geno Smith sacked by James Smith-Williams for -6 yards,3.250,1.890
2,3:57,2,16,ATL 41,10,7,Penalty on Christian Haynes: False Start 5 yards (accepted) (no play),1.890,1.220
2,3:40,2,21,ATL 46,10,7,Geno Smith pass complete short right to Zach Charbonnet for -5 yards (tackle by Grady Jarrett and Kaden Elliss),1.220,-0.100
2,2:58,3,26,SEA 49,10,7,Geno Smith scrambles right end for 5 yards (tackle by Matt Judon),-0.100,0.200
2,2:20,4,21,ATL 46,10,7,Michael Dickson punts 36 yards fair catch by Avery Williams at ATL-10,0.200,0.380
2,2:15,1,10,ATL 10,10,7,Tyler Allgeier right tackle for 24 yards (tackle by Julian Love and Byron Murphy),-0.380,1.200
2,2:00,1,10,ATL 34,10,7,Bijan Robinson right tackle for 7 yards (tackle by Tyrel Dodson and Julian Love),1.200,1.600
2,1:39,2,3,ATL 41,10,7,Kirk Cousins sacked by Leonard Williams for -7 yards,1.600,-0.030
2,1:30,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:30,3,10,ATL 34,10,7,Kirk Cousins pass complete short left to Kyle Pitts for 7 yards (tackle by Devon Witherspoon and Coby Bryant),-0.030,-0.650
